"","session_id","referrer","scalesgroup","scales"
"5861",2448165,"vcu","low category scale","less than 2 1/2 hrs"
"5863",2451903,"vcu","low category scale","less than 2 1/2 hrs"
"5864",2451987,"vcu","low category scale","less than 2 1/2 hrs"
"5865",2457829,"vcu","low category scale","less than 2 1/2 hrs"
"5866",2458789,"vcu","low category scale","less than 2 1/2 hrs"
"5867",2458795,"vcu","low category scale","less than 2 1/2 hrs"
"5868",2458799,"vcu","low category scale","less than 2 1/2 hrs"
"5869",2458838,"vcu","low category scale","less than 2 1/2 hrs"
"5870",2458840,"vcu","high category scale","less than 2 1/2 hrs"
"5871",2458846,"vcu","high category scale","less than 2 1/2 hrs"
"5872",2458891,"vcu","high category scale","less than 2 1/2 hrs"
"5873",2458896,"vcu","low category scale","less than 2 1/2 hrs"
"5874",2458907,"vcu","high category scale","more than 2 1/2 hrs"
"5875",2458917,"vcu","low category scale","less than 2 1/2 hrs"
"5876",2458939,"vcu","high category scale","less than 2 1/2 hrs"
"5877",2458963,"vcu","low category scale","less than 2 1/2 hrs"
"5878",2458993,"vcu","high category scale","less than 2 1/2 hrs"
"5879",2459055,"vcu","low category scale","less than 2 1/2 hrs"
"5880",2459062,"vcu","low category scale","less than 2 1/2 hrs"
"5881",2459110,"vcu","high category scale","less than 2 1/2 hrs"
"5882",2461604,"vcu","low category scale","less than 2 1/2 hrs"
"5883",2461607,"vcu","low category scale","less than 2 1/2 hrs"
"5884",2461614,"vcu","high category scale","less than 2 1/2 hrs"
"5885",2461714,"vcu","high category scale","less than 2 1/2 hrs"
"5886",2461716,"vcu","high category scale","less than 2 1/2 hrs"
"5888",2465638,"vcu","high category scale","less than 2 1/2 hrs"
"5889",2465639,"vcu","high category scale","less than 2 1/2 hrs"
"5890",2465710,"vcu","high category scale","less than 2 1/2 hrs"
"5891",2465711,"vcu","low category scale","less than 2 1/2 hrs"
"5892",2465713,"vcu","low category scale","less than 2 1/2 hrs"
"5893",2465756,"vcu","high category scale","less than 2 1/2 hrs"
"5895",2465793,"vcu","low category scale","less than 2 1/2 hrs"
"5898",2467333,"vcu","high category scale","less than 2 1/2 hrs"
"5899",2467427,"vcu","low category scale","less than 2 1/2 hrs"
"5900",2467490,"vcu","low category scale","less than 2 1/2 hrs"
"5901",2472268,"vcu","low category scale","less than 2 1/2 hrs"
"5902",2472270,"vcu","low category scale","more than 2 1/2 hrs"
"5903",2472311,"vcu","low category scale","less than 2 1/2 hrs"
"5904",2472313,"vcu","high category scale","less than 2 1/2 hrs"
"5905",2472314,"vcu","low category scale","less than 2 1/2 hrs"
"5906",2472424,"vcu","low category scale","less than 2 1/2 hrs"
"5907",2472454,"vcu","low category scale","less than 2 1/2 hrs"
"5908",2472461,"vcu","high category scale","less than 2 1/2 hrs"
"5909",2472484,"vcu","low category scale","less than 2 1/2 hrs"
"5910",2472527,"vcu","high category scale","less than 2 1/2 hrs"
"5911",2472533,"vcu","high category scale","less than 2 1/2 hrs"
"5912",2473443,"vcu","low category scale","less than 2 1/2 hrs"
"5913",2473491,"vcu","low category scale","less than 2 1/2 hrs"
"5914",2473628,"vcu","high category scale","less than 2 1/2 hrs"
"5915",2473629,"vcu","low category scale","less than 2 1/2 hrs"
"5916",2473630,"vcu","high category scale","more than 2 1/2 hrs"
"5917",2477381,"vcu","low category scale","less than 2 1/2 hrs"
"5918",2477384,"vcu","low category scale","less than 2 1/2 hrs"
"5919",2477392,"vcu","low category scale","less than 2 1/2 hrs"
"5920",2477407,"vcu","low category scale","less than 2 1/2 hrs"
"5921",2477432,"vcu","low category scale","less than 2 1/2 hrs"
"5922",2477481,"vcu","high category scale","less than 2 1/2 hrs"
"5923",2477552,"vcu","high category scale","less than 2 1/2 hrs"
