"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"15","R_2UftDyxC2hmI6xv","mercer",4,2.8,NA,NA,"liberal (2)","democrat (2)",NA,NA,NA,NA,"",NA,NA
"763","R_8vwXX2eERqfOW4R","mercer",4,3.9,"female",NA,"apolitical","independent",NA,"20-39,999","yes",NA,"Mercer","Currently In College","some college"
"764","R_3hEDlqBpxcofcHe","mercer",4,4.1,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","Mercer","Currently In College","some college"
"765","R_3Ok0Aq3xVc44MC8","mercer",3.5,3.4,"female",NA,"apolitical","middle (4)",NA,"80-99,999","yes","Caucasian","Mercer","Currently In College","some college"
"766","R_1n1q5yphs6LtZdD","mercer",4,3.1,"female",NA,"center (4)","conservative (6)",NA,"40-59,999","yes","Caucasian","Mercer","Currently In College","some college"
"767","R_vdxBxWQmRSAhLXj","mercer",4,3.7,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"200-999,999","yes",NA,"Mercer","Currently In College","some college"
"768","R_5yGu1pHBISziElX","mercer",3.5,3.4,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Mercer","Currently In College","some college"
"769","R_1IzMchnQeBR3yR7","mercer",3.5,2.4,"female",NA,"strongly conservative (7)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","Mercer","Currently In College","some college"
"770","R_xyCNZJ4IykKu8Gl","mercer",4,3.1,"female",NA,"center (4)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","Mercer","Currently In College","some college"
"771","R_PNcnI3SAHDyjCud","mercer",4,4.3,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","Mercer","Currently In College","some college"
"772","R_2YJHrzVaFGp8dJr","mercer",4,2.9,"male",NA,"apolitical","independent",NA,"100-199,999","yes","Other race/ethincity","Mercer","Currently In College","some college"
"773","R_21GlMhN3K6HSRxV","mercer",3.5,3.3,"female",NA,"apolitical","independent",NA,"20-39,999","yes","Caucasian","Mercer","Currently In College","some college"
"774","R_2SwpcFn2zVZPbjF","mercer",4,3.4,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","Mercer","Currently In College","some college"
"775","R_1HbKSwgf2xD4FA1","mercer",4,2.2,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","Mercer","Currently In College","some college"
"776","R_1DTINR2wS7YiYdr","mercer",3.5,3.1,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","Mercer","Currently In College","some college"
"777","R_3Dd3XSxuLbXdMcR","mercer",4,2.5,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes","Other race/ethincity","Mercer","Currently In College","some college"
"778","R_2V3gLvms2sIHV8f","mercer",4,3.2,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"100-199,999","yes","Caucasian","Mercer","Currently In College","some college"
