"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"69","R_vAYgUIIHNxtVkGJ","MtStMary",4,2.7,"male",NA,"strongly conservative (7)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","","Not In College","no college"
"1047","R_pmGQBzm0fwRL5Yt","MtStMary",2,1.8,"male",NA,"somewhat liberal (3)","middle (4)",NA,"20-39,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1048","R_3JiifkRFgczvq2R","MtStMary",3,4.2,"female",NA,"somewhat liberal (3)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","MtStMarys","Currently In College","some college"
"1049","R_XpvMtq8GyXne6tj","MtStMary",3.5,3.7,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1050","R_TdUDIBb18UIgCgp","MtStMary",4,4.5,"female",NA,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1051","R_ywqkLvP8SOCmVPz","MtStMary",4,2.5,"female",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1052","R_22WYF2r2u5Rvb6g","MtStMary",4,4,"male",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1053","R_1IFTNqetHO7cbJN","MtStMary",3,2.8,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"200-999,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1054","R_1Gxn9wSAd7HGZXj","MtStMary",2,3.1,"male",NA,"apolitical","middle (4)",NA,"20-39,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1055","R_3lXKFzTKxtqGB3u","MtStMary",4,3.3,"female",NA,"apolitical","democrat (2)",NA,"not say","yes","Other race/ethincity","MtStMarys","Currently In College","some college"
"1056","R_3j8bDX0UjXSBTd4","MtStMary",3,3,"male",NA,"conservative (6)","somewhat conservative (5)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1057","R_xFbKsCdVWIBSl3z","MtStMary",4,4.7,"female",NA,"conservative (6)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1058","R_2477L41kq1ANEIk","MtStMary",4,3.3,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1059","R_3p9n9gDZvAQvbnq","MtStMary",4,2.1,"female",NA,"apolitical","somewhat democrat (3)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1060","R_12hunWXMEYOKaOW","MtStMary",4,3,"female",NA,"conservative (6)","strongly conservative (7)",NA,"200-999,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1061","R_26fklHZjYHMsiU2","MtStMary",3.5,3.9,"female",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1062","R_3qvvAxsnd5yIs57","MtStMary",4,3,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1063","R_27g6Gvh7pjJ7GAJ","MtStMary",4,3.2,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"40-59,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1064","R_3ReAHRL7ODkM1iQ","MtStMary",3,3.3,"female",NA,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1065","R_1Nz6qj8fq5jr9gs","MtStMary",4,3.6,"female",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1066","R_120eAMA1JEaVzDg","MtStMary",3,2.9,"male",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","MtStMarys","Currently In College","some college"
"1067","R_1DOy3jkqsqkJCgP","MtStMary",3,3.3,"female",NA,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1068","R_2ylryViU1TbRP2f","MtStMary",3.5,4.1,"female",NA,"conservative (6)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","MtStMarys","Currently In College","some college"
"1069","R_2pXHUcciTbaedOp","MtStMary",4,2.5,"female",NA,"center (4)","somewhat conservative (5)",NA,"not say","yes",NA,"MtStMarys","Currently In College","some college"
"1070","R_zYCEZx56Qlj1ytX","MtStMary",3.5,3.5,"male",NA,"conservative (6)","conservative (6)",NA,"20-39,999","yes","Caucasian","MtStMarys","Currently In College","some college"
