"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"28","R_2uWYNk1lA4vG7gT","swansea",3.5,2.4,NA,NA,"apolitical","independent",NA,NA,NA,NA,"",NA,NA
"30","R_dnGlAU4RqGrSNJb","swansea",4,3.2,NA,NA,"strongly liberal (1)","strongly democrat (1)",NA,NA,NA,NA,"",NA,NA
"104","R_8e9RhfBQ11aXDAV","swansea",3,3.4,"male",NA,"liberal (2)","middle (4)",NA,"200-999,999","no","Caucasian","Swansea","Not In College","no college"
"105","R_6GajKVUZeGW4oEB","swansea",4,2.9,"female",20,"apolitical","independent",NA,"not say","no","Caucasian","Swansea","Not In College","no college"
"2312","R_1mxzJfrWWuGgdBZ","swansea",4,3.3,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","no","Caucasian","Swansea","Currently In College","some college"
"2313","R_1rqs1YbDEtnpuGz","swansea",3.5,3.1,"male",NA,"apolitical","independent",NA,"not say","no","Other race/ethincity","Swansea","Currently In College","some college"
"2314","R_1dM5UPxM3Aba6E0","swansea",4,3,"female",NA,"somewhat liberal (3)","conservative (6)",NA,"60-79,999","no","Caucasian","Swansea","Currently In College","some college"
"2315","R_31vJx6wF0RMRIkQ","swansea",3.5,3.5,"female",NA,"somewhat liberal (3)","conservative (6)",NA,"100-199,999","no","Caucasian","Swansea","Currently In College","some college"
"2316","R_3GuZXElKNcIc4ut","swansea",4,2,"female",NA,"center (4)","democrat (2)",NA,"80-99,999","no","Caucasian","Swansea","Currently In College","some college"
"2317","R_3OdIb8lfp118G4C","swansea",2,3.1,"female",NA,"center (4)","democrat (2)",NA,"not say","no","Caucasian","Swansea","Currently In College","some college"
"2318","R_r8rDOSPDzNPpBOp","swansea",4,3,"female",NA,"liberal (2)","strongly conservative (7)",NA,"not say","no","Caucasian","Swansea","Currently In College","some college"
"2319","R_2zkGtkKhO9b9TwF","swansea",3.5,2.9,"male",NA,"center (4)",NA,NA,"20-39,999","no","Caucasian","Swansea","Currently In College","some college"
