"","ResponseId","referrer","IDEA8_identity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"1980","R_O9Gue1sZ1Uoquml","stmartin",4,2.1,"female",NA,"center (4)","conservative (6)",NA,"60-79,999","yes","Caucasian","StMartins","Currently In College","some college"
"1981","R_2bZSJjy8yj5PfB3","stmartin",4,3.9,"female",NA,"conservative (6)","strongly conservative (7)",NA,"80-99,999","yes","Caucasian","StMartins","Currently In College","some college"
"1982","R_2xWdgusRt51fTEb","stmartin",3.5,3.4,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Caucasian","StMartins","Currently In College","some college"
"1983","R_30k5OaYW1rkL6Yk","stmartin",2.5,3.6,"female",NA,"somewhat conservative (5)","independent",NA,"40-59,999","yes",NA,"StMartins","Currently In College","some college"
"1984","R_w7RcOnepWH2wOnT","stmartin",4,4,"female",NA,"liberal (2)","strongly democrat (1)",NA,"not say","no","Caucasian","StMartins","Currently In College","some college"
"1985","R_O7KZbvEYS0CJSgx","stmartin",4,3.5,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","StMartins","Currently In College","some college"
"1986","R_V42Lx45G3Pf2kYV","stmartin",3,3.4,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","StMartins","Currently In College","some college"
"1987","R_2DMu2SkVm2Vv9Nz","stmartin",4,1.8,"female",21,"somewhat conservative (5)","middle (4)",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"1988","R_1gkLpPrAtzyUZLV","stmartin",4,3.3,"other",22,"liberal (2)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","StMartins","Currently In College","some college"
"1989","R_1eODPtY1LDc4aEN","stmartin",4,3.6,"female",22,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","StMartins","Currently In College","some college"
"1990","R_3fwtWCxp0YcdJOY","stmartin",3,2.2,"male",25,"somewhat conservative (5)","middle (4)","yes","20-39,999","yes","Caucasian","StMartins","Currently In College","some college"
"1991","R_1js4z2mtcVNTYaT","stmartin",3.5,2.9,"female",18,"apolitical","middle (4)",NA,"not say","yes","Other race/ethincity","StMartins","Currently In College","some college"
"1992","R_3mDwBIwoafq7kB3","stmartin",4,2.3,"female",21,"conservative (6)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","StMartins","Currently In College","some college"
"1993","R_3DkmbDnFIUVNZmF","stmartin",3,3.3,"female",19,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","StMartins","Currently In College","some college"
"1994","R_3PU2iSJAkO7m8np","stmartin",3,2.7,"male",21,"center (4)","conservative (6)",NA,"not say","yes","Caucasian","StMartins","Currently In College","some college"
"1995","R_2bPqj7ez9i537Hu","stmartin",3.5,2.5,"male",20,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","StMartins","Currently In College","some college"
"1996","R_2waaEXfwjy1JqfW","stmartin",4,2.9,"female",18,"conservative (6)","conservative (6)",NA,"200-999,999","yes","Caucasian","StMartins","Currently In College","some college"
"1997","R_zeVzInz0dHCKY6t","stmartin",3.5,4.1,"female",19,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","StMartins","Currently In College","some college"
"1998","R_xuupGEX4vq6A91L","stmartin",4,3.6,"female",20,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","StMartins","Currently In College","some college"
"1999","R_3koCAUdWI0bHIkF","stmartin",4,3.3,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"60-79,999","yes","Caucasian","StMartins","Currently In College","some college"
