"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"228","1","CarletonUniversity","Credentials",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"229","10","CarletonUniversity","Credentials",0,"24","First-year","Female","Other","Pass"
"230","11","CarletonUniversity","NoCredentials",0,"21","First-year","Male","Native Hawaiian and other Pacific Islander","Pass"
"231","12","CarletonUniversity","Credentials",0,"32","First-year","Male",NA,"Pass"
"232","13","CarletonUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"233","14","CarletonUniversity","NoCredentials",-1,"17","First-year","Female","Latino or Hispanic","Pass"
"235","16","CarletonUniversity","NoCredentials",0,"25","Sophomore","Female","White, non-Hispanic or latino","Pass"
"236","17","CarletonUniversity","Credentials",0,"18","First-year","Female","Other","Pass"
"237","18","CarletonUniversity","Credentials",0,"20","Sophomore","Male","African-American","Fail"
"238","19","CarletonUniversity","Credentials",0,"18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"239","2","CarletonUniversity","NoCredentials",0,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"240","20","CarletonUniversity","NoCredentials",0,"16","First-year","Female","African-American","Fail"
"241","21","CarletonUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"242","22","CarletonUniversity","Credentials",1,"18","First-year","Female","Other","Pass"
"243","23","CarletonUniversity","Credentials",0,"18","Sophomore","Female","African-American","Pass"
"244","25","CarletonUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"245","26","CarletonUniversity","Credentials",0,"17","First-year","Female","Other","Fail"
"246","27","CarletonUniversity","NoCredentials",1,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"248","29","CarletonUniversity","Credentials",0,"24","First-year","Male","African-American","Pass"
"249","3","CarletonUniversity","NoCredentials",2,"26","Junior","Female","Multiracial",NA
"250","30","CarletonUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"251","31","CarletonUniversity","Credentials",0,"19","First-year","Male","Native Hawaiian and other Pacific Islander","Pass"
"252","32","CarletonUniversity","Credentials",0,"19","Junior","Female","African-American","Pass"
"253","33","CarletonUniversity","NoCredentials",0,"18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"254","34","CarletonUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"255","35","CarletonUniversity","NoCredentials",0,"18","Sophomore","Female","African-American","Pass"
"256","36","CarletonUniversity","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"257","37","CarletonUniversity","NoCredentials",1,"20","Sophomore","Female","Asian-American","Pass"
"258","38","CarletonUniversity","NoCredentials",0,"22","First-year","Female","Multiracial","Fail"
"259","39","CarletonUniversity","Credentials",0,"20","Junior","Female","African-American","Pass"
"261","40","CarletonUniversity","Credentials",1,"21","Senior","Female","Multiracial","Pass"
"262","41","CarletonUniversity","NoCredentials",2,"22","Sophomore","Female","African-American","Fail"
"263","42","CarletonUniversity","Credentials",0,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"265","44","CarletonUniversity","Credentials",1,"18","Sophomore","Male","White, non-Hispanic or latino","Pass"
"266","45","CarletonUniversity","Credentials",0,"27","Junior","Female","Other","Pass"
"267","46","CarletonUniversity","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"269","6","CarletonUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"270","7","CarletonUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"271","8","CarletonUniversity","NoCredentials",0,"17","First-year","Male","White, non-Hispanic or latino","Pass"
"272","9","CarletonUniversity","NoCredentials",0,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"274",NA,"CarletonUniversity","Credentials",0,NA,NA,NA,NA,NA
"275",NA,"CarletonUniversity","NoCredentials",1,NA,NA,NA,NA,NA
"276",NA,"CarletonUniversity","Credentials",0,"29","First-year","Female","African-American","Fail"
"277",NA,"CarletonUniversity","NoCredentials",-3,"20","Sophomore","Female","African-American","Fail"
