"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"1906","1","OSUNewark","NoCredentials",1,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"1907","10","OSUNewark","NoCredentials",0,NA,"First-year","Female","White, non-Hispanic or latino","Pass"
"1908","100","OSUNewark","NoCredentials",2,NA,"First-year","Male","African-American","Pass"
"1909","101","OSUNewark","Credentials",0,"21",NA,"Female","White, non-Hispanic or latino","Pass"
"1910","102","OSUNewark","NoCredentials",0,"22","Junior","Female","White, non-Hispanic or latino","Pass"
"1911","103","OSUNewark","Credentials",2,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"1912","104","OSUNewark","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1913","105","OSUNewark","Credentials",0,"18","First-year","Female","Latino or Hispanic","Pass"
"1914","106","OSUNewark","Credentials",2,"19","First-year","Male","Multiracial","Fail"
"1915","107","OSUNewark","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"1916","108","OSUNewark","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"1917","109","OSUNewark","Credentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"1918","11","OSUNewark","NoCredentials",0,"18","Other","Female","White, non-Hispanic or latino","Fail"
"1919","110","OSUNewark","NoCredentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"1920","111","OSUNewark","Credentials",0,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"1921","112","OSUNewark","Credentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"1922","113","OSUNewark","Credentials",0,"20","Junior","Female","Latino or Hispanic","Pass"
"1923","114","OSUNewark","NoCredentials",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1924","115","OSUNewark","NoCredentials",0,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"1925","116","OSUNewark","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1926","117","OSUNewark","NoCredentials",0,"18","First-year","Male","Other","Fail"
"1927","118","OSUNewark","NoCredentials",0,"Too Old (18)","First-year","Male","Asian-American","Pass"
"1928","119","OSUNewark","Credentials",2,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"1929","12","OSUNewark","NoCredentials",0,"21","Junior","Female","White, non-Hispanic or latino","Fail"
"1930","120","OSUNewark","NoCredentials",2,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"1931","121","OSUNewark","Credentials",1,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"1932","122","OSUNewark","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"1933","123","OSUNewark","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1934","124","OSUNewark","Credentials",1,"18","First-year","Female","African-American","Pass"
"1935","125","OSUNewark","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
