"","session_id","referrer","d_art","IATexp.overall","IATEXPfilter"
"1677",2402411,"mturk",1.13204049110625,5.58333333333333,"Include"
"1678",2402412,"mturk",1.00115520680835,3.41666666666667,"Include"
"1681",2402416,"mturk",1.2523885273101,6,"Include"
"1682",2402417,"mturk",0.276020680691853,4.33333333333333,"Include"
"1683",2402421,"mturk",0.854873884566005,5.33333333333333,"Include"
"1685",2402426,"mturk",0.105132070281777,4.5,"Include"
"1686",2402447,"mturk",0.558766208765457,3.66666666666667,"Include"
"1687",2402449,"mturk",0.958931846321433,4.91666666666667,"Include"
"1688",2402450,"mturk",-0.205969322343201,5.25,"Include"
"1689",2402451,"mturk",0.710005361607903,5.83333333333333,"Include"
"1690",2402452,"mturk",0.973214699816291,4.41666666666667,"Include"
"1691",2402453,"mturk",0.534816109703134,4.08333333333333,"Include"
"1692",2402454,"mturk",0.596876949543326,3.91666666666667,"Include"
"1693",2402456,"mturk",0.545810074207826,3.25,"Include"
"1694",2402457,"mturk",-0.105765051536135,3.66666666666667,"Include"
"1695",2402459,"mturk",0.887466312031993,5.25,"Include"
"1696",2402460,"mturk",0.0181830832152393,4.25,"Include"
"1697",2402466,"mturk",0.247440361869963,4.33333333333333,"Include"
"1698",2402467,"mturk",-0.281845105218581,4,"Include"
"1699",2402468,"mturk",-0.284762443119422,4.08333333333333,"Include"
"1700",2402470,"mturk",0.378686403323723,4.75,"Include"
"1701",2402471,"mturk",0.495854954037001,5.5,"Include"
"1702",2402472,"mturk",0.377828691182819,6.16666666666667,"Include"
"1703",2402474,"mturk",1.12399958561299,5.58333333333333,"Include"
"1704",2402476,"mturk",-0.642647729468342,5.25,"Include"
"1705",2402478,"mturk",-0.268754148530918,4,"Include"
"1706",2402479,"mturk",0.907823498177003,3.66666666666667,"Include"
"1708",2402485,"mturk",0.449818360443544,6.16666666666667,"Include"
"1709",2402488,"mturk",0.732500616332936,4.75,"Include"
"1711",2402490,"mturk",0.528674558548723,4,"Include"
"1713",2402494,"mturk",0.129854903564743,4.41666666666667,"Include"
"1714",2402495,"mturk",-0.472452779884589,5.08333333333333,"Include"
"1717",2402499,"mturk",-0.207231794409684,4.66666666666667,"Include"
"1718",2402502,"mturk",-0.645119719747246,3.91666666666667,"Include"
"1719",2402504,"mturk",0.58904826821442,2.5,"Include"
"1720",2402507,"mturk",0.588951932686626,5.08333333333333,"Include"
"1721",2402508,"mturk",-0.495470127490097,3.75,"Include"
"1722",2402509,"mturk",0.376107955415972,4.5,"Include"
"1723",2402511,"mturk",0.365482785487182,4,"Include"
"1725",2402513,"mturk",1.03493752219008,4.75,"Include"
"1729",2402521,"mturk",0.907569549631095,5.75,"Include"
"1730",2402522,"mturk",-0.448960728458776,3.66666666666667,"Include"
"1731",2402525,"mturk",-0.29280829735001,6,"Include"
"1732",2402529,"mturk",0.577457888007031,4.58333333333333,"Include"
"1733",2402531,"mturk",0.600561530496138,4.41666666666667,"Include"
"1734",2402532,"mturk",0.201964978432735,5.33333333333333,"Include"
"1735",2402533,"mturk",-0.350854483663912,4.66666666666667,"Include"
"1736",2402534,"mturk",-0.0236385611651428,4.25,"Include"
"1737",2402535,"mturk",0.348201290850017,4,"Include"
"1738",2402537,"mturk",-0.54748042501406,4.5,"Include"
"1741",2402542,"mturk",0.4698423258334,4.58333333333333,"Include"
"1742",2402543,"mturk",0.850906651824183,4.75,"Include"
"1743",2402544,"mturk",0.757541431066128,3.91666666666667,"Include"
"1745",2402547,"mturk",0.269158505567711,4,"Include"
"1746",2402548,"mturk",1.41048416784403,5.66666666666667,"Include"
"1747",2402549,"mturk",0.226244355846237,4,"Include"
"1748",2402551,"mturk",1.3569271811053,5.25,"Include"
"1749",2402552,"mturk",0.659363856778063,5.91666666666667,"Include"
"1750",2402553,"mturk",0.626438417471864,5.5,"Include"
"1751",2402554,"mturk",0.847094959333063,5.41666666666667,"Include"
"1752",2402555,"mturk",0.166856736929796,3.91666666666667,"Include"
"1753",2402557,"mturk",-0.398755775652077,4.66666666666667,"Include"
"1754",2402559,"mturk",0.38782882130933,4.75,"Include"
"1755",2402563,"mturk",0.695313674447356,3.83333333333333,"Include"
"1756",2402565,"mturk",-0.0430290061989088,3.58333333333333,"Include"
"1757",2402566,"mturk",0.610169252463093,5.41666666666667,"Include"
"1758",2402567,"mturk",0.51933572293129,4.41666666666667,"Include"
"1759",2402571,"mturk",-0.570736223135051,3.83333333333333,"Include"
"1761",2402576,"mturk",-0.375126663592738,4.41666666666667,"Include"
"1762",2402577,"mturk",-0.652930602061495,4.91666666666667,"Include"
"1764",2402583,"mturk",0.902445453572149,4.41666666666667,"Include"
"1767",2402596,"mturk",-0.407837888848559,4.33333333333333,"Include"
"1770",2402630,"mturk",-0.142374658798791,4.5,"Include"
"1771",2402643,"mturk",0.826345199557452,4.58333333333333,"Include"
"1775",2402710,"mturk",0.087294930166006,3.91666666666667,"Include"
"1776",2407351,"mturk",0.277087806372586,4.83333333333333,"Include"
"1777",2407352,"mturk",1.13580307959334,5.16666666666667,"Include"
"1778",2407355,"mturk",0.494408017688462,4.25,"Include"
"1779",2407356,"mturk",0.810494852636923,3.75,"Include"
"1780",2407357,"mturk",0.900687008035638,4.41666666666667,"Include"
"1781",2407358,"mturk",0.395723667950869,5.75,"Include"
"1782",2407360,"mturk",0.825891957112381,4.83333333333333,"Include"
"1783",2407371,"mturk",0.483417203936411,5.16666666666667,"Include"
"1785",2407441,"mturk",0.638878019412111,5.75,"Include"
"1786",2407451,"mturk",0.368032409765637,4.08333333333333,"Include"
"1787",2407454,"mturk",0.924856005330736,5.91666666666667,"Include"
"1788",2407455,"mturk",1.09913775774964,4.25,"Include"
"1789",2407456,"mturk",0.768948404347251,5.91666666666667,"Include"
"1790",2407459,"mturk",0.70560886242599,5.16666666666667,"Include"
"1791",2407462,"mturk",0.875083880834041,4.25,"Include"
"1792",2407465,"mturk",0.390833150511709,3.08333333333333,"Include"
"1793",2407469,"mturk",-0.628710308086395,3.33333333333333,"Include"
"1794",2407470,"mturk",0.581355968493931,4.41666666666667,"Include"
"1795",2407473,"mturk",0.965595793790736,5.91666666666667,"Include"
"1796",2407475,"mturk",0.993013880337233,5.91666666666667,"Include"
"1797",2407477,"mturk",0.792015292335779,5.5,"Include"
"1798",2407485,"mturk",0.116695260285384,4.5,"Include"
"1799",2407489,"mturk",0.717055494755641,5,"Include"
"1802",2407514,"mturk",0.991467833629922,4.33333333333333,"Include"
"1803",2407518,"mturk",1.0685168282413,4.91666666666667,"Include"
"1804",2407550,"mturk",0.238664356794797,6,"Include"
"1805",2407556,"mturk",0.282479679451,4.83333333333333,"Include"
"1807",2407559,"mturk",-0.0368969103590242,4.66666666666667,"Include"
"1808",2407568,"mturk",0.631137469969948,5.41666666666667,"Include"
"1809",2407578,"mturk",0.416725629912934,2.41666666666667,"Include"
"1810",2407580,"mturk",0.913955403346869,4.25,"Include"
"1811",2407582,"mturk",0.553803665737441,4.75,"Include"
"1812",2407590,"mturk",1.00696304178706,4.75,"Include"
"1813",2407591,"mturk",0.506291620955273,4.33333333333333,"Include"
"1815",2407602,"mturk",0.715800370285798,3.91666666666667,"Include"
"1817",2407607,"mturk",0.519466483616106,4.25,"Include"
"1818",2407608,"mturk",-0.443897109137275,3.83333333333333,"Include"
"1819",2407609,"mturk",0.840150144918117,5.5,"Include"
"1820",2407610,"mturk",-0.545614911410546,5.5,"Include"
"1821",2407612,"mturk",-0.154381454776707,5.33333333333333,"Include"
"1822",2407614,"mturk",0.294053210959369,4.58333333333333,"Include"
"1824",2407616,"mturk",-0.283949990892692,5.58333333333333,"Include"
"1825",2407617,"mturk",-0.146685429865455,3.5,"Include"
"1826",2407618,"mturk",-0.597004627806815,4.33333333333333,"Include"
"1827",2407619,"mturk",0.782198967788615,4.16666666666667,"Include"
"1828",2407622,"mturk",0.599527162458636,4.33333333333333,"Include"
"1830",2407626,"mturk",-0.525974758650801,3.25,"Include"
"1832",2407628,"mturk",0.858582078869091,6,"Include"
"1833",2407633,"mturk",0.600972304063787,4,"Include"
"1834",2407634,"mturk",0.437313547266419,4,"Include"
"1835",2407636,"mturk",0.903643963426531,5,"Include"
"1836",2407638,"mturk",0.871781115201296,6,"Include"
"1837",2407640,"mturk",0.658282179048752,3.58333333333333,"Include"
"1838",2407641,"mturk",0.366699260328554,4,"Include"
"1839",2407644,"mturk",0.854934815870091,5.16666666666667,"Include"
"1840",2407645,"mturk",0.20131275266316,4.33333333333333,"Include"
"1841",2407646,"mturk",0.950478643912736,4.5,"Include"
"1842",2407647,"mturk",0.779604657042332,4.33333333333333,"Include"
"1843",2407652,"mturk",1.47101901126184,4.5,"Include"
"1844",2407656,"mturk",0.857448523704093,6.08333333333333,"Include"
"1845",2407657,"mturk",0.348102210994879,3.83333333333333,"Include"
"1846",2407658,"mturk",-0.465418816144969,5.08333333333333,"Include"
"1847",2407659,"mturk",0.195182064037499,3.83333333333333,"Include"
"1848",2407660,"mturk",0.0203374145255498,3.66666666666667,"Include"
"1849",2407661,"mturk",0.731697649347635,3.91666666666667,"Include"
"1850",2407665,"mturk",0.166524726627835,3.58333333333333,"Include"
"1851",2407667,"mturk",0.586815068232891,6.25,"Include"
"1852",2407668,"mturk",0.362760115332891,5.66666666666667,"Include"
"1854",2407677,"mturk",0.730717952679365,4.16666666666667,"Include"
"1855",2407678,"mturk",0.570365916582287,4.41666666666667,"Include"
"1856",2407682,"mturk",0.478710079799142,5.08333333333333,"Include"
"1857",2407683,"mturk",0.178817317614147,2.91666666666667,"Include"
"1858",2407684,"mturk",0.817464735948355,6.25,"Include"
"1859",2407685,"mturk",0.439689051882496,4,"Include"
"1861",2407692,"mturk",1.42882821988638,4.83333333333333,"Include"
"1862",2407695,"mturk",0.432106761766314,4.08333333333333,"Include"
"1863",2407696,"mturk",-0.537734122262991,3.58333333333333,"Include"
"1864",2407705,"mturk",0.493523541137333,5.58333333333333,"Include"
