.id,source,alt1.3,alt1.4,alt1.5,alt1.6,alt1.7,alt1.8,alt2.3,alt2.4,alt2.5,alt2.6,alt2.7,alt2.8,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,uID,study.order,analysis.type,subset,case.include
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,,,,6,3,8,3,7,7,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Kay|Miyamoto|Rottenstrich|Ross.Slate1|VanLange|Alter|Anderson|Hauser|Graham|Huang|Bauer|Critcher,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,4570,6,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,7,9,6,6,8,9,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Anderson|Alter|Kay|Hauser|Bauer|Ross.Slate1|Critcher|VanLange|Huang|Graham|Rottenstrich|Miyamoto,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,4571,2,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,8,4,2,1,3,7,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Bauer|Anderson|Miyamoto|Ross.Slate1|Rottenstrich|Huang|Kay|Hauser|Graham|Critcher|VanLange|Alter,ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,4572,12,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,7,9,5,8,4,8,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Miyamoto|Critcher|VanLange|Rottenstrich|Alter|Anderson|Hauser|Huang|Graham|Bauer|Ross.Slate1|Kay,ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five,4573,5,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,9,6,5,8,,5,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Rottenstrich|Hauser|Ross.Slate1|Critcher|VanLange|Kay|Anderson|Bauer|Miyamoto|Huang|Alter,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE,4574,12,Secondary,all,FALSE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,,,,9,9,9,9,4,9,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Critcher|Rottenstrich|VanLange|Hauser|Ross.Slate1|Bauer|Miyamoto|Anderson|Graham|Alter|Kay|Huang,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood,4575,10,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,,,,7,5,5,5,4,8,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Bauer|Ross.Slate1|Kay|Critcher|Alter|Rottenstrich|VanLange|Huang|Anderson|Miyamoto|Hauser,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood,4576,6,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,3,5,5,4,4,4,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Anderson|Miyamoto|Bauer|Rottenstrich|Critcher|Alter|VanLange|Graham|Huang|Kay|Ross.Slate1,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,4577,7,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,5,6,7,2,7,1,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Anderson|Miyamoto|Alter|Ross.Slate1|Huang|Kay|Bauer|Rottenstrich|Critcher|VanLange|Graham|Hauser,ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection,4578,3,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,3,5,5,3,4,3,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Bauer|Huang|VanLange|Anderson|Kay|Ross.Slate1|Hauser|Rottenstrich|Critcher|Graham|Miyamoto|Alter,ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE,4579,12,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,,,,7,7,5,6,4,8,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Hauser|Anderson|Rottenstrich|VanLange|Bauer|Alter|Ross.Slate1|Miyamoto|Kay|Critcher|Huang,ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,4580,7,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,7,9,5,9,4,2,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Alter|Graham|Ross.Slate1|Critcher|Rottenstrich|Anderson|Hauser|VanLange|Huang|Kay|Bauer|Miyamoto,ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,4581,1,Secondary,all,TRUE
ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,7,5,5,5,3,8,,,,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Ross.Slate1|Alter|Anderson|Hauser|Graham|Rottenstrich|Bauer|Critcher|Miyamoto|Kay|Huang,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing,4582,3,Secondary,all,TRUE
