uID,variable,factor,.id,source,haus1.1,haus1.1t_1,haus1.2,haus2.1,haus2.1t_1,haus2.2,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
4570,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,64.692,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Kay|Miyamoto|Rottenstrich|Ross.Slate1|VanLange|Alter|Anderson|Hauser|Graham|Huang|Bauer|Critcher,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,8,Secondary,all,TRUE
4572,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,58.385,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Bauer|Anderson|Miyamoto|Ross.Slate1|Rottenstrich|Huang|Kay|Hauser|Graham|Critcher|VanLange|Alter,ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,8,Secondary,all,TRUE
4574,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,44.433,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Rottenstrich|Hauser|Ross.Slate1|Critcher|VanLange|Kay|Anderson|Bauer|Miyamoto|Huang|Alter,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Subjective wellbeing|ID: Global self-esteem SISE,3,Secondary,all,TRUE
4576,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,38.533,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Bauer|Ross.Slate1|Kay|Critcher|Alter|Rottenstrich|VanLange|Huang|Anderson|Miyamoto|Hauser,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood,12,Secondary,all,TRUE
4583,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,47.602,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Ross.Slate1|Rottenstrich|Critcher|Miyamoto|Anderson|Alter|Bauer|Kay|Huang|VanLange,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood,1,Secondary,all,TRUE
4584,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,36.882,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Ross.Slate1|Kay|Miyamoto|Hauser|Anderson|Graham|Critcher|VanLange|Rottenstrich|Bauer|Alter,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,5,Secondary,all,TRUE
4587,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,37.867,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Ross.Slate1|Kay|Anderson|Bauer|Critcher|Miyamoto|VanLange|Hauser|Rottenstrich|Graham|Alter,ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection,9,Secondary,all,TRUE
4589,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,60.722,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Ross.Slate1|Huang|Alter|Miyamoto|Critcher|Kay|Anderson|VanLange|Rottenstrich|Bauer,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE,1,Secondary,all,TRUE
4590,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,56.926,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Critcher|Miyamoto|Huang|Alter|Rottenstrich|Ross.Slate1|Kay|Bauer|Anderson|VanLange|Graham,ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE,1,Secondary,all,TRUE
4595,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,54.524,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Graham|Bauer|Hauser|Ross.Slate1|VanLange|Rottenstrich|Anderson|Alter|Huang|Miyamoto|Critcher|Kay,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood,3,Secondary,all,TRUE
4599,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,39.479,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Critcher|Anderson|Hauser|Bauer|Rottenstrich|Kay|Graham|Ross.Slate1|Alter|Miyamoto|Huang|VanLange,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Mood,3,Secondary,all,TRUE
4600,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,24.498,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Bauer|Anderson|Huang|Critcher|Kay|Ross.Slate1|VanLange|Graham|Hauser|Miyamoto|Rottenstrich|Alter,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing,9,Secondary,all,TRUE
4602,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,33.803,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Rottenstrich|Alter|Miyamoto|Graham|VanLange|Bauer|Kay|Ross.Slate1|Critcher|Huang|Anderson|Hauser,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood,12,Secondary,all,TRUE
4606,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,50.473,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Miyamoto|Kay|VanLange|Bauer|Ross.Slate1|Graham|Hauser|Anderson|Rottenstrich|Critcher|Alter,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection,8,Secondary,all,TRUE
4612,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,56.707,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Miyamoto|Kay|Critcher|Rottenstrich|Anderson|Bauer|Graham|Alter|Huang|VanLange,ID: Subjective wellbeing|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE,1,Secondary,all,TRUE
4617,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,50.233,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Alter|Ross.Slate1|Rottenstrich|Bauer|Huang|Kay|Graham|Miyamoto|Anderson|Critcher|Hauser,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing,12,Secondary,all,TRUE
4626,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,58.124,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Kay|VanLange|Rottenstrich|Ross.Slate1|Huang|Anderson|Bauer|Alter|Miyamoto|Critcher,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection,1,Secondary,all,TRUE
4627,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,60.436,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Critcher|Rottenstrich|Anderson|Alter|Graham|Ross.Slate1|VanLange|Hauser|Bauer|Kay|Miyamoto,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE,9,Secondary,all,TRUE
4630,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,30.907,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate1|Bauer|Graham|Kay|Huang|Anderson|Rottenstrich|Miyamoto|VanLange|Critcher|Hauser|Alter,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood,11,Secondary,all,TRUE
4633,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,48.634,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Critcher|Huang|Kay|Anderson|Rottenstrich|Ross.Slate1|Bauer|Graham|Miyamoto|VanLange|Alter,ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Secondary,all,TRUE
4637,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,68.904,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Miyamoto|Critcher|Hauser|Anderson|Bauer|Rottenstrich|Kay|Graham|Ross.Slate1|VanLange|Alter|Huang,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing,3,Secondary,all,TRUE
4638,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,43.725,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Huang|Graham|Kay|Ross.Slate1|Hauser|Miyamoto|Alter|Anderson|VanLange|Bauer|Rottenstrich|Critcher,ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,5,Secondary,all,TRUE
4644,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,65.553,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate1|Kay|Bauer|Anderson|Critcher|Miyamoto|Huang|Graham|Rottenstrich|VanLange|Hauser|Alter,ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five,11,Secondary,all,TRUE
4645,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,71.017,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Critcher|Ross.Slate1|Miyamoto|Huang|VanLange|Graham|Kay|Anderson|Rottenstrich|Alter|Bauer|Hauser,ID: Mood|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Subjective wellbeing,12,Secondary,all,TRUE
4648,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,44.465,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",VanLange|Critcher|Miyamoto|Alter|Anderson|Bauer|Graham|Ross.Slate1|Rottenstrich|Kay|Hauser|Huang,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,11,Secondary,all,TRUE
4651,No,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,2,5.798,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate1|Critcher|Graham|Kay|Anderson|Huang|VanLange|Alter|Rottenstrich|Bauer|Miyamoto|Hauser,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Cognitive reflection,12,Secondary,all,TRUE
4655,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,28.166,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate1|Critcher|Miyamoto|Graham|Kay|Anderson|Huang|Hauser|Bauer|Rottenstrich|VanLange|Alter,ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection,8,Secondary,all,TRUE
4661,Yes,SideEffect,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,1,35.412,2,,,,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Anderson|Kay|Critcher|Miyamoto|Graham|VanLange|Alter|Hauser|Rottenstrich|Huang|Ross.Slate1|Bauer,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE,8,Secondary,all,TRUE
4571,No,GreaterGood,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,aus,,,,2,33.446,2,aus,aus,aus,United Arab Emirates,"American University of Sharjah, United Arab Emirates",English,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Anderson|Alter|Kay|Hauser|Bauer|Ross.Slate1|Critcher|VanLange|Huang|Graham|Rottenstrich|Miyamoto,ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Mood|ID: TIPI for Big-Five,4,Secondary,all,TRUE
