"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"12","R_9EPStPMnugteJXn","juniata",6,2,NA,NA,"liberal (2)","democrat (2)",NA,NA,NA,NA,"",NA,NA
"13","R_1eqLDmi2ErVt72R","juniata",4.13333333333333,2.5,NA,NA,"liberal (2)","strongly democrat (1)",NA,NA,NA,NA,"",NA,NA
"14","R_57LWbv4901LDBM5","juniata",3.06666666666667,5.33333333333333,NA,NA,"liberal (2)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"53","R_5u9nqQ4StGwBeGl","juniata",3.06666666666667,2,"male",NA,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","","Not In College","no college"
"54","R_2SqQ8vMzojQ51cr","juniata",2.4,2.66666666666667,"other",NA,"strongly liberal (1)","democrat (2)",NA,"not say","yes","Caucasian","none","Not In College","no college"
"55","R_2V4nqc7ym0nh4eV","juniata",1.53333333333333,1.33333333333333,"male",NA,"strongly liberal (1)","strongly democrat (1)",NA,"under20,000","yes",NA,"","Not In College","no college"
"56","R_2osbNCr7gUpEPIN","juniata",3.6,3.66666666666667,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes",NA,"","Not In College","some college"
"57","R_78IpAgOjaNyBYvH","juniata",3.46666666666667,1.66666666666667,"other",NA,"center (4)","independent",NA,"under20,000","yes","Caucasian","","Not In College","some college"
"58","R_2XgGvGezEvYWA2v","juniata",3,3.5,"male",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"not say","yes","Caucasian","","Not In College","no college"
"59","R_3m8DqYV8BrLKxoE","juniata",3.6,1.16666666666667,"female",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"not say","yes","Caucasian","","Not In College","no college"
"60","R_2c5U0m8sjJ5Mknq","juniata",2.8,2.66666666666667,"other",NA,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","","Not In College","no college"
"61","R_3ReesXNgtFTosyC","juniata",2.6,3.83333333333333,"other",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"not say","yes","Caucasian","","Not In College","no college"
"62","R_81UHlGSspdHJ21z","juniata",2,2.5,"other",NA,"apolitical","middle (4)",NA,"under20,000","yes","Caucasian","","Not In College","no college"
"63","R_210VzGyh6OVgSzk","juniata",1.33333333333333,1,"other",NA,"liberal (2)","strongly democrat (1)",NA,"20-39,999","no","Caucasian","","Not In College","no college"
"64","R_3KPbYoPjTSVkxdo","juniata",4,4.33333333333333,"female",19,"center (4)","middle (4)",NA,"100-199,999","yes","Other race/ethincity","Juniata","Not In College","some college"
"569","R_38z2hcZ3Pskk4gB","juniata",2.73333333333333,4.16666666666667,"other",NA,"liberal (2)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","Juniata","Currently In College","some college"
"570","R_1LidVOhzFcMo2kl","juniata",3.2,3.16666666666667,"other",NA,"apolitical","independent",NA,"under20,000","yes",NA,"Juniata","Currently In College","some college"
"571","R_6PbR34Zsy6J2XNH","juniata",3.8,3.83333333333333,"female",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"572","R_1Izwi4NxtTBTEyB","juniata",2.6,5,"female",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"573","R_W25VncXfjvum6Up","juniata",3.66666666666667,2.5,"female",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Hamline","Currently In College","some college"
"574","R_xgrhw19BNeutEvT","juniata",3.6,3.33333333333333,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","no","Caucasian","Seneca","Currently In College","some college"
"575","R_WcyIKDc69mbiwWB","juniata",3.06666666666667,4.16666666666667,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","UC-Davis","Currently In College","some college"
"576","R_3LgR6SRFCEGexyl","juniata",4.06666666666667,6,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","WilliamMary","Currently In College","some college"
"577","R_3qWm4tRRmgrOBgm","juniata",1.4,1.16666666666667,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","ECU","Currently In College","some college"
"578","R_10Iu1euwQG7u8Sd","juniata",3.06666666666667,4.16666666666667,"other",NA,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","DurhamCC","Currently In College","some college"
"579","R_32R4H1QDwJ6gLbx","juniata",3.46666666666667,4.16666666666667,"female",NA,"strongly liberal (1)","democrat (2)",NA,"200-999,999","yes","Other race/ethincity","Uconn","Currently In College","some college"
"580","R_eqECUvsketOflHL","juniata",2.4,2,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","WestFlorida","Currently In College","some college"
"581","R_77q0pyIuAbXfgi1","juniata",2.6,3.33333333333333,"female",NA,"center (4)","independent",NA,"20-39,999","yes","Other race/ethincity","","Currently In College","some college"
"582","R_enPSSgcAveRqVRX","juniata",3.2,3.16666666666667,"female",NA,"apolitical","independent",NA,"under20,000","no","Caucasian","Juniata","Currently In College","some college"
"583","R_57MeguqmliyKUnL","juniata",1.73333333333333,2,"other",NA,"liberal (2)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","OrangeCoast","Currently In College","some college"
"584","R_0pRBGCJnrZVUpM1","juniata",2.86666666666667,5.16666666666667,"male",NA,"liberal (2)","democrat (2)",NA,"80-99,999","yes","Caucasian","Juniata","Currently In College","some college"
"585","R_6nwsMCksZxipjMh","juniata",2.93333333333333,3,"other",NA,"strongly liberal (1)","middle (4)",NA,"not say","no","Caucasian","WilfridLaurier","Currently In College","some college"
"586","R_3CO89oPu4ojk1r0","juniata",2.4,5.33333333333333,"other",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","EastKentucky","Currently In College","some college"
"587","R_3gCho15YS5TaMnz","juniata",2.4,2.16666666666667,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"under20,000","no","Caucasian","WilfridLaurier","Currently In College","some college"
"588","R_0fhBPYN8EIDum8J","juniata",4.73333333333333,6,"female",NA,"center (4)","middle (4)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"589","R_bORf5dfnvgKEJk9","juniata",3.13333333333333,2.66666666666667,"other",NA,"strongly liberal (1)","middle (4)",NA,"not say","yes","Caucasian","UNC","Currently In College","some college"
"590","R_CkRfZD0vy0bDL8J","juniata",3.06666666666667,4,"female",NA,"strongly liberal (1)","somewhat democrat (3)",NA,"not say","yes","Caucasian","NewYorkU","Currently In College","some college"
"591","R_zeapSz3oRBGLfGx","juniata",3.86666666666667,5,"female",NA,"strongly liberal (1)","independent",NA,"not say","yes","Caucasian","Redwoods","Currently In College","some college"
"592","R_1QhC4vSkgvauPnG","juniata",3.4,5,"other",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","UC-SB","Currently In College","some college"
"593","R_10qO2qYgU3X0g49","juniata",3.13333333333333,3.33333333333333,"female",NA,"center (4)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"594","R_beDNIQWGcMxHbPT","juniata",1.73333333333333,5,"female",NA,"liberal (2)","middle (4)",NA,"not say","no","Caucasian","YorkStJohn","Currently In College","some college"
"595","R_1fdTIgxr4jeMPwG","juniata",4.46666666666667,6.33333333333333,"male",NA,"conservative (6)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"596","R_2CfR4BpC8uEXUDl","juniata",3.4,5.83333333333333,"female",NA,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Other race/ethincity","Juniata","Currently In College","some college"
"597","R_3fee2GSM5LSWbk0","juniata",5,4.16666666666667,"female",NA,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","Juniata","Currently In College","some college"
"598","R_3fJ2QTSknkRRMCx","juniata",2.53333333333333,4.66666666666667,"female",NA,"center (4)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","Juniata","Currently In College","some college"
"599","R_2S0uDCimlCLm9lA","juniata",4.53333333333333,5.16666666666667,"female",NA,"apolitical","democrat (2)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"600","R_2eWnlvcOJJheSjh","juniata",5.2,5.16666666666667,"male",NA,"center (4)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"601","R_1C8xsbJ9NbVPoyh","juniata",3,4,"female",NA,"center (4)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Juniata","Currently In College","some college"
"602","R_1LNZUEuJSz049nh","juniata",3.86666666666667,4.66666666666667,"female",NA,"somewhat conservative (5)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Juniata","Currently In College","some college"
"603","R_5prfKUv0Web5vHz","juniata",3.6,5.66666666666667,"female",NA,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","Juniata","Currently In College","some college"
"604","R_3G7lr5JDWRm7ScN","juniata",3.8,4.83333333333333,"female",NA,"conservative (6)","conservative (6)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"605","R_2CkXjg55mw9QrKX","juniata",4.6,5.5,"male",NA,"center (4)","somewhat conservative (5)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"606","R_1LdL5uW5T07GMGZ","juniata",2.53333333333333,7,"female",NA,"apolitical","conservative (6)",NA,"200-999,999","yes","Caucasian","Juniata","Currently In College","some college"
"607","R_2Xbz087MqZ5uT3T","juniata",3.53333333333333,1.66666666666667,"female",NA,"liberal (2)","middle (4)",NA,"not say","yes",NA,"NorthEastCC","Currently In College","some college"
"608","R_3ml40NJBygutEYL","juniata",4.73333333333333,5.83333333333333,"female",NA,"apolitical",NA,NA,"not say","yes",NA,"Juniata","Currently In College","some college"
"609","R_oYN97s3lldFB0bv","juniata",3.13333333333333,3.66666666666667,"male",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"610","R_4HfZsfqEWH6H4pb","juniata",4.73333333333333,5.16666666666667,"male",NA,"liberal (2)","strongly democrat (1)",NA,"200-999,999","yes",NA,"Juniata","Currently In College","some college"
"611","R_agSbDvJ3FecSrZf","juniata",3.2,3.5,"female",NA,"center (4)","somewhat conservative (5)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"612","R_2D5fqGtnrVELn4K","juniata",3.86666666666667,5.5,"female",NA,"center (4)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"613","R_31sKZM1rr92rP96","juniata",4.8,6,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","Juniata","Currently In College","some college"
"614","R_3DwMaUnkg6HSnrg","juniata",4.86666666666667,6.5,"male",NA,"liberal (2)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","Juniata","Currently In College","some college"
"615","R_25tl3L8vLPXOqPO","juniata",4.06666666666667,3.5,"other",NA,"liberal (2)","strongly democrat (1)",NA,"200-999,999","yes","Caucasian","Waynesburg","Currently In College","some college"
"616","R_1DXYVEVPhR5tF2j","juniata",1.86666666666667,4.33333333333333,"female",NA,"somewhat conservative (5)","middle (4)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"617","R_6R7pV8JQ8QFgiit","juniata",2.46666666666667,3.5,"male",NA,"liberal (2)","democrat (2)",NA,"80-99,999","yes","Caucasian","Juniata","Currently In College","some college"
"618","R_esacBdA1oHSnedH","juniata",2.93333333333333,1.16666666666667,"female",NA,"liberal (2)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","Juniata","Currently In College","some college"
"619","R_3MEAqa0UVAGYffr","juniata",3.6,5.16666666666667,"male",NA,"center (4)","middle (4)",NA,"80-99,999","yes","Caucasian","Juniata","Currently In College","some college"
"620","R_2QzE8CsbnsyinG4","juniata",3.53333333333333,4.16666666666667,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"621","R_z07k9TQvgpqxnJn","juniata",3.6,2.16666666666667,"male",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"622","R_2rT4rlj4YEPlom3","juniata",2.26666666666667,3.33333333333333,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","Juniata","Currently In College","some college"
"623","R_UaPcDZ7hCLzrKFP","juniata",4.4,3.83333333333333,"male",NA,"strongly conservative (7)","strongly conservative (7)",NA,"40-59,999","yes","Caucasian","Juniata","Currently In College","some college"
"624","R_2fe1lFcL7O25udZ","juniata",3.06666666666667,6.83333333333333,"female",NA,"apolitical","conservative (6)",NA,"100-199,999","yes","Caucasian","Juniata","Currently In College","some college"
"625","R_yP9ZidBGyFTJmY9","juniata",4.53333333333333,5,"male",NA,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"626","R_2uxHaS227Md7imW","juniata",3.06666666666667,6.66666666666667,"male",NA,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"627","R_tKRN7CtFIQqY8qB","juniata",3.26666666666667,3.66666666666667,"male",NA,"conservative (6)","conservative (6)",NA,"80-99,999","yes","Caucasian","Juniata","Currently In College","some college"
"628","R_2uqufY8ThQ7i8tP","juniata",4.8,5.83333333333333,"male",NA,"center (4)","middle (4)",NA,"200-999,999","yes","Caucasian","Juniata","Currently In College","some college"
"629","R_pxFjVHPvgLR7Bx7","juniata",3.4,5.5,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","no","Other race/ethincity","Juniata","Currently In College","some college"
"630","R_2WJClcBwEuk6828","juniata",4.6,5.5,"male",NA,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"631","R_2UbdD7hwbugCAZg","juniata",3.66666666666667,6,"female",NA,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","Juniata","Currently In College","some college"
"632","R_31sgj3XaSCNbQuT","juniata",4.06666666666667,4.5,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"633","R_2aIBERctdlaKAYp","juniata",4.26666666666667,3.16666666666667,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","Juniata","Currently In College","some college"
"634","R_2PAuiqxwYof9VcG","juniata",3,4.66666666666667,"female",19,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","Juniata","Currently In College","some college"
"635","R_1H6l3BKP7B5Id1f","juniata",2.6,4.66666666666667,"female",20,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"636","R_3oHmLvr1ktF4iTU","juniata",3.6,3,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Juniata","Currently In College","some college"
"637","R_WcA58ouQdChPVTz","juniata",1.93333333333333,4.5,"female",19,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","Juniata","Currently In College","some college"
"638","R_3qfeT3TI1xZFeBa","juniata",3.86666666666667,3.83333333333333,"female",20,"apolitical","middle (4)",NA,"under20,000","yes","Caucasian","Juniata","Currently In College","some college"
