"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"42","R_2rUzOXbEarq0G9Z","ballstate",3.6,3.33333333333333,"male",21,"apolitical","democrat (2)",NA,"under20,000","yes","Caucasian","","Not In College","no college"
"277","R_2Xc8FrTGRYij9o3","ballstate",3.73333333333333,3.83333333333333,"female",22,"apolitical","independent",NA,NA,"yes","Caucasian","BallState","Currently In College","some college"
"278","R_2y49P03W40icqp9","ballstate",3.93333333333333,6.66666666666667,"male",21,"somewhat conservative (5)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","Bellarmine","Currently In College","some college"
"279","R_2WvX16Jq7ft6dcL","ballstate",3.33333333333333,5,"male",19,"center (4)","conservative (6)",NA,"60-79,999","yes","Caucasian","BallState","Currently In College","some college"
"280","R_2f3TjrzvGhTZwzU","ballstate",3.8,4.16666666666667,"female",21,"somewhat conservative (5)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","BallState","Currently In College","some college"
"281","R_2tJxRaBfFii1QhI","ballstate",4.66666666666667,6.5,"female",19,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","","Currently In College","some college"
"282","R_1P5y1VQzMytAy1C","ballstate",3.93333333333333,4.33333333333333,"male",23,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","BallState","Currently In College","some college"
"283","R_1jfZ1BkmGysBYoz","ballstate",3.66666666666667,5.83333333333333,"female",21,"apolitical","independent",NA,"not say","yes","Caucasian","BallState","Currently In College","some college"
"284","R_2ClxTt4sxIKmDRD","ballstate",3.66666666666667,5.5,"female",21,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","BallState","Currently In College","some college"
"285","R_3EPZyr6mq42Mc0Z","ballstate",2.2,5.16666666666667,"female",21,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","BallState","Currently In College","some college"
"286","R_2SdZAMJrZeXgYSY","ballstate",3.6,6,"female",22,"center (4)","somewhat conservative (5)",NA,"not say","yes","Caucasian","BallState","Currently In College","some college"
"287","R_uvP3C9DUBZWP46B","ballstate",3.93333333333333,4,"female",21,"strongly conservative (7)","strongly conservative (7)",NA,"not say","yes","Caucasian","BallState","Currently In College","some college"
"288","R_3lSUkAPN4hLOVvp","ballstate",3.33333333333333,5.83333333333333,"male",22,"center (4)","independent",NA,"not say","yes","Caucasian","BallState","Currently In College","some college"
"289","R_3kd0EjQ7wvc7Doa","ballstate",3.66666666666667,4.83333333333333,"female",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","BYU","Currently In College","some college"
"290","R_3CTPGAArCW20AOy","ballstate",4.53333333333333,6.16666666666667,"female",18,"apolitical","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","BallState","Currently In College","some college"
"291","R_3ENeLxAsJMJdU2u","ballstate",3.4,5.16666666666667,"female",19,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","BYU","Currently In College","some college"
"292","R_1K1og4GJ0MsRQbN","ballstate",3.2,4.66666666666667,"female",29,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","UtahValley","Currently In College","some college"
"293","R_1GHUmHNEnDpMar4","ballstate",3.86666666666667,5.33333333333333,"female",20,"somewhat liberal (3)","somewhat democrat (3)",NA,"60-79,999","yes","Caucasian","BYU-I","Currently In College","some college"
"294","R_2eXw1m6bmfbeKvJ","ballstate",4.33333333333333,5.16666666666667,"female",25,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","IvyTech","Currently In College","some college"
"2823","R_3RlsTEUExN6kFQP","ballstate",4.06666666666667,4.5,"female",25,"somewhat liberal (3)","independent",NA,"not say","yes","Caucasian","none","Completed 4 year degree","some college"
"2824","R_5jOsdNDoizODcgV","ballstate",4.2,4.5,"female",40,"conservative (6)","somewhat conservative (5)",NA,"40-59,999","yes","Caucasian","","Completed 4 year degree","some college"
"2825","R_2pXYUnAopqTTBWR","ballstate",3.2,2.5,"female",25,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","","Completed 4 year degree","some college"
"2826","R_33p6YTOXzv26GD2","ballstate",4.06666666666667,3.5,"female",25,"conservative (6)","conservative (6)",NA,"under20,000","yes","Caucasian","","Completed 4 year degree","some college"
"2964","R_2YR2AAK9kxcBVfE","ballstate",1.86666666666667,3.83333333333333,"female",35,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Rutgers","Graduate Education",NA
"2965","R_3RqfkxJG4aj4eIM","ballstate",2.86666666666667,5.33333333333333,"female",24,"strongly liberal (1)","middle (4)",NA,"40-59,999","yes","Caucasian","","Graduate Education",NA
