"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"17","R_10AzVnMI4oarcO1","Norco",3.6,6,NA,NA,"center (4)","somewhat conservative (5)",NA,NA,NA,NA,"",NA,NA
"18","R_3hitqtbi73aOwQi","Norco",3.86666666666667,3.16666666666667,NA,NA,"liberal (2)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"19","R_1nZ7JvK0kfABSAb","Norco",3.73333333333333,5.16666666666667,NA,NA,"strongly liberal (1)","strongly democrat (1)",NA,NA,NA,NA,"",NA,NA
"20","R_T0MObkJ7GpF4seJ","Norco",4.53333333333333,5.16666666666667,NA,NA,"apolitical","middle (4)",NA,NA,NA,NA,"",NA,NA
"70","R_3F31D0OFETbLpJL","Norco",3.86666666666667,4.66666666666667,"female",22,"conservative (6)","somewhat democrat (3)",NA,"40-59,999","no","Other race/ethincity","none","Not In College","some college"
"71","R_1Q4n1iXe2kQPAeD","Norco",3.46666666666667,1.5,"female",22,"strongly liberal (1)","middle (4)",NA,"40-59,999","yes","Other race/ethincity","","Not In College","some college"
"72","R_1mPH5l6lonV8vLT","Norco",2.73333333333333,1.16666666666667,"male",22,"strongly liberal (1)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","none","Not In College","no college"
"73","R_3ekTGWgkdaPa0xD","Norco",2.33333333333333,3.16666666666667,"female",22,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","","Not In College","no college"
"74","R_3MoMnfM2yvwBqek","Norco",2,3.83333333333333,"female",22,"apolitical","independent",NA,"60-79,999","yes",NA,"","Not In College","some college"
"75","R_VPbz3XSFJJVzfDb","Norco",3.73333333333333,1.83333333333333,"female",22,"center (4)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","","Not In College","some college"
"76","R_2rC7omdbgAZpAhS","Norco",4.8,5.66666666666667,"female",24,"conservative (6)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","","Not In College","no college"
"77","R_27PXY1pcsFUnBEh","Norco",3.6,4,"male",22,"apolitical","independent",NA,"not say","yes","Other race/ethincity","","Not In College","some college"
"78","R_2sbFRoR3RmwtrNn","Norco",4.33333333333333,4,"female",44,"conservative (6)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","","Not In College","some college"
"79","R_3jeNpnLoIBJXkBk","Norco",5.33333333333333,5,"male",21,"apolitical","independent",NA,"100-199,999","yes","Caucasian","","Not In College","no college"
"80","R_1gzrQgbumEIJfqx","Norco",3.06666666666667,3.33333333333333,"male",22,"apolitical","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","","Not In College","some college"
"81","R_7V4apAPdj6yRwfT","Norco",4.4,6.16666666666667,"female",30,"liberal (2)","somewhat democrat (3)",NA,"60-79,999","yes",NA,"","Not In College","no college"
"82","R_126hlQCkLu4yrOw","Norco",3,4.16666666666667,"female",24,"somewhat liberal (3)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","","Not In College","some college"
"83","R_3PIcJkreQ4Rl97s","Norco",2.46666666666667,1,"female",23,"conservative (6)","middle (4)",NA,"under20,000","yes","Caucasian","","Not In College","some college"
"84","R_27pzsSLk3FWWnuq","Norco",4.93333333333333,5.66666666666667,"female",24,"apolitical","independent",NA,"80-99,999","yes","Other race/ethincity","","Not In College","some college"
"85","R_1jNHqZIl13akeER","Norco",3.2,4.5,"female",26,"liberal (2)","democrat (2)",NA,"20-39,999","yes",NA,"","Not In College","some college"
"86","R_s5wX18VCu98nlMR","Norco",3.8,1,"female",24,"liberal (2)","democrat (2)",NA,"under20,000","yes",NA,"","Not In College","some college"
"1095","R_qURPMz0jlppHP6V","Norco",4.93333333333333,3.66666666666667,"female",22,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","Norco","Currently In College","some college"
"1096","R_3rHvfDpmtuOxfuL","Norco",1.66666666666667,5.66666666666667,"female",20,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1097","R_1FRIvDGJw0IvJ7t","Norco",3.86666666666667,6.33333333333333,"male",20,"somewhat liberal (3)","somewhat democrat (3)","yes","60-79,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1098","R_0AnPM5x7wfwX1bf","Norco",4.66666666666667,6,"male",20,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","CSU-Fullerton","Currently In College","some college"
