"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"1219","R_3O7kwCwBezXHXgE","OhioWesleyan",4.93333333333333,4.5,"male",22,"somewhat liberal (3)","democrat (2)",NA,"20-39,999","yes","Caucasian","RhodeIsland","Currently In College","some college"
"1220","R_1DHZxCSx0PEdq0i","OhioWesleyan",4.13333333333333,2.5,"female",23,"liberal (2)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","Maine","Currently In College","some college"
"1221","R_2X4A0xrzxGRDOM1","OhioWesleyan",3.2,5.66666666666667,"female",21,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1222","R_1C8zOh7WDlKOW7N","OhioWesleyan",2.46666666666667,4.66666666666667,"female",21,"strongly liberal (1)","independent",NA,"60-79,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1223","R_2mJyHsqGHtusuQx","OhioWesleyan",2.86666666666667,5.66666666666667,"male",20,"apolitical","independent",NA,"80-99,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1224","R_2B4D1HP1xVhUUja","OhioWesleyan",2.53333333333333,2.5,"female",20,"liberal (2)","democrat (2)",NA,"80-99,999","yes","Other race/ethincity","OhioWesleyan","Currently In College","some college"
"1225","R_TuAwlqvdn6YL6CZ","OhioWesleyan",3,2.33333333333333,"female",19,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Other race/ethincity","OhioWesleyan","Currently In College","some college"
"1226","R_11cg45iNm9C0EkE","OhioWesleyan",2.6,3.66666666666667,"male",21,"somewhat conservative (5)","somewhat conservative (5)",NA,"60-79,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1227","R_1ey46oxQ0LGBtZe","OhioWesleyan",4.86666666666667,6.5,"female",21,"strongly conservative (7)","strongly conservative (7)",NA,"under20,000","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1228","R_qEFU2SvYkTzIJ2N","OhioWesleyan",2.6,4.66666666666667,"female",20,"apolitical","independent",NA,"60-79,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1229","R_2RadrKbhpbnRctL","OhioWesleyan",4.2,5.5,"male",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1230","R_ZpEp1PVdm66wrWV","OhioWesleyan",3.46666666666667,6,"female",20,"liberal (2)","democrat (2)",NA,"80-99,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1231","R_3PdTxlzucDTtuo0","OhioWesleyan",4.73333333333333,6,"male",20,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1232","R_UKrL3P70iccKwqR","OhioWesleyan",4.2,5,"female",20,"apolitical","independent",NA,"60-79,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1233","R_2v60LvJLvhuEyj6","OhioWesleyan",5.13333333333333,5.33333333333333,"male",20,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1234","R_3gSN6O14UiHdpl3","OhioWesleyan",3.53333333333333,5.83333333333333,"male",21,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1235","R_cRMFaGxJdE3cknj","OhioWesleyan",3.66666666666667,6.16666666666667,"female",21,"liberal (2)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1236","R_eKuQFYu8gwYgbER","OhioWesleyan",3.06666666666667,4.16666666666667,"female",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1237","R_XvTh7edKJftNE4h","OhioWesleyan",3.4,4,"female",18,"somewhat conservative (5)","conservative (6)",NA,"100-199,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1238","R_4YCmjtXDIUT7AVX","OhioWesleyan",3,2.33333333333333,"female",20,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1239","R_T1V4sUqO8mIWYOl","OhioWesleyan",3.73333333333333,5.83333333333333,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","OhioWesleyan","Currently In College","some college"
"1240","R_3pnA7QvhP1oAI3v","OhioWesleyan",3.8,2.83333333333333,"male",22,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","OhioWesleyan","Currently In College","some college"
