"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"66","R_3s6zODDSzCGnr3Z","mcdaniel",4.33333333333333,5.16666666666667,"female",NA,"apolitical","strongly conservative (7)","yes","60-79,999","yes","Caucasian","McDaniel","Not In College","no college"
"698","R_1l6RAWzTLc10QYM","mcdaniel",3.4,5,"female",NA,"apolitical","independent",NA,"not say","yes","Caucasian","UNC","Currently In College","some college"
"699","R_2tg9wK2iuM4JGo3","mcdaniel",4,4.66666666666667,"male",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","UNC","Currently In College","some college"
"700","R_1esjPnwrno36UUY","mcdaniel",4.06666666666667,5.5,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","McDaniel","Currently In College","some college"
"701","R_wRi8WjZEQps2e2d","mcdaniel",1.86666666666667,1.83333333333333,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"702","R_s6GlOpP1WJSh6oN","mcdaniel",4.6,5,"female",NA,"apolitical","strongly democrat (1)",NA,"20-39,999","yes",NA,"McDaniel","Currently In College","some college"
"703","R_1rvQjb1e4I1YHCy","mcdaniel",3.2,4.16666666666667,"female",NA,"somewhat liberal (3)","middle (4)",NA,"60-79,999","yes","Caucasian","McDaniel","Currently In College","some college"
"704","R_YVRsM1SqLTXKZdn","mcdaniel",3.6,5.66666666666667,"female",NA,"center (4)","middle (4)",NA,"100-199,999","yes","Caucasian","McDaniel","Currently In College","some college"
"705","R_10o5g7NBIliz7y7","mcdaniel",4,1.33333333333333,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"706","R_yrq35WjNwdZD4Ix","mcdaniel",4,5,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"707","R_3Hn2IdEFU7JMw6t","mcdaniel",3.26666666666667,4.66666666666667,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"708","R_2f9TX8lzrD3Tc7d","mcdaniel",4.2,3,"female",NA,"apolitical","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"709","R_3dRIqZtKdrLMB9V","mcdaniel",2.66666666666667,4.83333333333333,"female",NA,"conservative (6)","strongly conservative (7)","yes","80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"710","R_32JRS5kwmFJkAnl","mcdaniel",4.26666666666667,4.5,"male",NA,"strongly conservative (7)","strongly conservative (7)",NA,"100-199,999","yes",NA,"McDaniel","Currently In College","some college"
"711","R_3qKBkj449gIqfe8","mcdaniel",4,2.83333333333333,"male",NA,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"712","R_2aJGTf8bxZaITtq","mcdaniel",4.2,6,"male",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"713","R_3kce8tyA0kq7KMj","mcdaniel",3.06666666666667,3.5,"male",NA,"apolitical","conservative (6)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"714","R_tFEbTPyWjAKVkzL","mcdaniel",3.86666666666667,1,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"715","R_WcEmFSCFvsfZ6XD","mcdaniel",3.93333333333333,4.83333333333333,"male",NA,"apolitical","independent",NA,"not say","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"716","R_2sduwgQjkuWh9cc","mcdaniel",3.33333333333333,5.5,"female",NA,"center (4)","democrat (2)",NA,"not say","yes",NA,"McDaniel","Currently In College","some college"
"717","R_1F5uWdCFOIdF5WY","mcdaniel",4.73333333333333,5.16666666666667,"male",NA,"apolitical","independent",NA,"20-39,999","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"718","R_vV2wMq8yEKDZDNf","mcdaniel",4.26666666666667,5.66666666666667,"male",NA,"center (4)","conservative (6)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"719","R_2U9PxGKxLeIr0Eq","mcdaniel",3.73333333333333,5.66666666666667,"male",NA,"liberal (2)","democrat (2)",NA,"40-59,999","yes","Caucasian","McDaniel","Currently In College","some college"
"720","R_3Ev6fKNNDgZKIIW","mcdaniel",2.86666666666667,5.83333333333333,"male",NA,"center (4)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"721","R_1JCPaHh2wUmofJd","mcdaniel",3.53333333333333,5.5,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"722","R_1mQKi0TNEi3qhsQ","mcdaniel",3.93333333333333,6.16666666666667,"male",NA,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"723","R_3s6wfuxvQ3i7d7b","mcdaniel",3.86666666666667,3.5,"female",NA,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"724","R_3nIYDO4szdJI9GN","mcdaniel",3.86666666666667,4,"male",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","McDaniel","Currently In College","some college"
"725","R_3CWuGgWVdEuO9Lw","mcdaniel",4.26666666666667,6.5,"male",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
"726","R_2dQFgNnVsESJ2Ln","mcdaniel",2.86666666666667,4.33333333333333,"female",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","McDaniel","Currently In College","some college"
"727","R_1P7Q7u5T5gPQq13","mcdaniel",4.26666666666667,2.83333333333333,"male",NA,"somewhat liberal (3)","democrat (2)",NA,"under20,000","yes","Caucasian","McDaniel","Currently In College","some college"
"728","R_28D5HGcsmzbwDOd","mcdaniel",5.2,7,"female",NA,"center (4)","middle (4)",NA,"60-79,999","yes","Caucasian","McDaniel","Currently In College","some college"
"729","R_27xHZXfRbmJvxqz","mcdaniel",4.13333333333333,4,"male",NA,"apolitical","conservative (6)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"730","R_210V2oLiT6QEhWk","mcdaniel",4.46666666666667,5.83333333333333,"male",NA,"liberal (2)","democrat (2)",NA,"40-59,999","yes","Caucasian","McDaniel","Currently In College","some college"
"731","R_1DSFe3GjGeiuCkp","mcdaniel",4.6,5,"male",NA,"conservative (6)","conservative (6)",NA,"200-999,999","yes","Caucasian","McDaniel","Currently In College","some college"
"732","R_3iF2IMIy0gfh6ms","mcdaniel",3.33333333333333,4.83333333333333,"female",NA,"somewhat liberal (3)","democrat (2)",NA,"100-199,999","yes","Caucasian","McDaniel","Currently In College","some college"
"733","R_1g89MwkzvujpyJm","mcdaniel",4.33333333333333,5.5,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","McDaniel","Currently In College","some college"
"734","R_1QFqVN0ZSwwm7Xp","mcdaniel",2.66666666666667,6.16666666666667,"male",NA,"apolitical","somewhat conservative (5)",NA,"60-79,999","yes","Caucasian","McDaniel","Currently In College","some college"
"735","R_1EhgfyZuqzIJOPR","mcdaniel",5.06666666666667,7,"male",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","McDaniel","Currently In College","some college"
"736","R_rkzxn4KkNzgMWRP","mcdaniel",3.4,5.5,"male",19,"somewhat conservative (5)","conservative (6)",NA,"200-999,999","yes","Caucasian","McDaniel","Currently In College","some college"
"737","R_2VgboFy1qHnZHHX","mcdaniel",4.73333333333333,7,"female",19,"center (4)","middle (4)",NA,"60-79,999","yes","Caucasian","McDaniel","Currently In College","some college"
"738","R_1FQgPZ58XGYbtKq","mcdaniel",4.46666666666667,3.16666666666667,"female",20,"apolitical","independent",NA,"under20,000","yes","Caucasian","McDaniel","Currently In College","some college"
"739","R_1KoLFZPDMBQlvxI","mcdaniel",3.93333333333333,6.5,"female",19,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","McDaniel","Currently In College","some college"
"740","R_3HpEumvieN4bSDg","mcdaniel",2.8,3,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","McDaniel","Currently In College","some college"
