"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"25","R_6sO4a1z8iDHY1kV","StGeorges",2.86666666666667,1.66666666666667,NA,NA,"apolitical","democrat (2)",NA,NA,NA,NA,"",NA,NA
"26","R_3Liivsm4gvzqmP0","StGeorges",3.2,5.83333333333333,NA,NA,"somewhat conservative (5)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"27","R_305Key80H7Ngi5j","StGeorges",4.86666666666667,4.66666666666667,NA,NA,"conservative (6)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"96","R_1ocnmDdiI7iMQ9X","StGeorges",4.93333333333333,5.16666666666667,"female",21,"center (4)","democrat (2)",NA,"not say","no","Other race/ethincity","StGeorges","Not In College","no college"
"97","R_2S32Sx0KOo2BgMs","StGeorges",5.4,4.33333333333333,"female",32,"apolitical","independent",NA,"not say","no","Other race/ethincity","StGeorges","Not In College","no college"
"98","R_1KqZDnDKWqvqcSa","StGeorges",4.33333333333333,3,"male",22,"apolitical","independent",NA,"not say","no","Other race/ethincity","","Not In College","no college"
"99","R_22y7uLZWzTI3s2O","StGeorges",3.8,6.66666666666667,"female",23,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","no",NA,"StGeorges","Not In College","no college"
"100","R_28zYNLtoYHUK24M","StGeorges",4.06666666666667,5.83333333333333,"female",26,"apolitical","strongly democrat (1)",NA,"not say","no","Other race/ethincity","StGeorges","Not In College","no college"
"1959","R_2BhBKwXTxFJECJt","StGeorges",3.33333333333333,3.66666666666667,"female",25,"liberal (2)","democrat (2)",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1960","R_1DLOJSE9D2PTGQr","StGeorges",4.06666666666667,2,"female",21,"liberal (2)","independent",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1961","R_1MLZuixXpfAKWXY","StGeorges",4.46666666666667,4.5,"female",25,"apolitical","middle (4)",NA,"not say","no",NA,"StGeorges","Currently In College","some college"
"1962","R_DM0AMqNatMtraVz","StGeorges",4.53333333333333,2.83333333333333,"female",19,"conservative (6)","middle (4)",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1963","R_dp8T55s5Z8l3nKd","StGeorges",3.53333333333333,2.66666666666667,"female",35,"apolitical","democrat (2)",NA,"under20,000","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1964","R_2uJ4F6XHIVA5jLO","StGeorges",2.73333333333333,3.5,"female",18,"apolitical","independent",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
