"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2414","R_27r6ACgeWUdSump","tennknox",4.66666666666667,6,"female",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2415","R_YbFSLhmurtOWZJ7","tennknox",2.86666666666667,5.83333333333333,"male",NA,"center (4)","middle (4)",NA,"60-79,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2416","R_qIUP7nPS48ZINFL","tennknox",3.06666666666667,4.33333333333333,"female",NA,"center (4)","somewhat conservative (5)",NA,"40-59,999","yes",NA,"UT-Knoxville","Currently In College","some college"
"2417","R_3MG3QOs9gXbeh1D","tennknox",4.6,4.5,"female",NA,"somewhat liberal (3)","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","UT-Knoxville","Currently In College","some college"
"2418","R_oXnq409WsdfBKuJ","tennknox",2.33333333333333,7,"male",NA,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","UT-Knoxville","Currently In College","some college"
"2419","R_WDoTF7qZXCfkIbD","tennknox",3.66666666666667,4.16666666666667,"male",22,"somewhat conservative (5)","conservative (6)",NA,"20-39,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2420","R_cutMtotPBvuuxxz","tennknox",3.2,6.5,"female",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2421","R_4SDT2vqWhmmXFnj","tennknox",3.26666666666667,3.16666666666667,"female",NA,"center (4)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","UT-Knoxville","Currently In College","some college"
"2422","R_ywki5fArUkja91f","tennknox",3.4,6,"female",NA,"strongly conservative (7)","strongly conservative (7)",NA,"200-999,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2423","R_ey2PQi7GAQsHapP","tennknox",3.26666666666667,2.5,"male",NA,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2424","R_UKiODuTDvxOlV7z","tennknox",5.13333333333333,6.16666666666667,"female",NA,"conservative (6)","conservative (6)",NA,"60-79,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2425","R_3Iaw1qfUEgztcTX","tennknox",2.66666666666667,5,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"under20,000","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2426","R_2X7rnNpwzHLO7nM","tennknox",3.4,6,"female",NA,"center (4)","middle (4)",NA,"not say","yes","Caucasian","UT-Knoxville","Currently In College","some college"
