"","ResponseId","referrer","MindfulnessScale","SWBscale","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"91","R_3EorfeQIIy4TMFQ","plu",3.4,6,"male",NA,"conservative (6)","middle (4)",NA,"100-199,999","yes","Caucasian","","Not In College","no college"
"93","R_3EchSoM0RXLCiRG","plu",3.53333333333333,5.33333333333333,"male",18,"somewhat liberal (3)","democrat (2)",NA,"under20,000","yes","Caucasian","PLU","Not In College","no college"
"1301","R_ylrlUzwFzk6D0L7","plu",5.26666666666667,4.83333333333333,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","PLU","Currently In College","some college"
"1302","R_3RxsdyQAbJwJKWK","plu",4.33333333333333,4.5,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","PLU","Currently In College","some college"
"1303","R_1rNbEmfkJQkopc5","plu",3.53333333333333,5.66666666666667,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","PLU","Currently In College","some college"
"1304","R_1ItkqL2yuD3Mo82","plu",3.33333333333333,4.16666666666667,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"PLU","Currently In College","some college"
"1305","R_zTIWeOowIY0VPQR","plu",3.33333333333333,6.16666666666667,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes",NA,"PLU","Currently In College","some college"
"1306","R_3JfQtsuRvmVi3s4","plu",4.2,4.16666666666667,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","PLU","Currently In College","some college"
"1307","R_2ccI0mwWBJgUA3D","plu",3.4,6,"female",NA,"strongly liberal (1)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","PLU","Currently In College","some college"
"1308","R_2tc817r1ndfTHAl","plu",3,2.66666666666667,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","PLU","Currently In College","some college"
"1309","R_3jSrgtSu59YxpQg","plu",3.46666666666667,4.16666666666667,"other",NA,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Caucasian","PLU","Currently In College","some college"
"1310","R_869rMWvB780FYe5","plu",4.2,5.66666666666667,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes",NA,"PLU","Currently In College","some college"
"1311","R_3NDmSpf4Qk1z3yA","plu",1.93333333333333,2.83333333333333,"female",NA,"liberal (2)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","PLU","Currently In College","some college"
