"","Participant_ID","referrer","Conscientiousness","Persistence","age","year","Genderfactor","ethnicity","AttentionCheck"
"97","1","BradleyUniversity",7,214.9999981,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"98","10","BradleyUniversity",6,240.0000014,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"99","100","BradleyUniversity",6.5,160.9999974,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"101","102","BradleyUniversity",5,207.0000063,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"102","103","BradleyUniversity",4.5,240.000002,"23","Senior","Female","White, non-Hispanic or latino","Pass"
"103","104","BradleyUniversity",6,239.9999932,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"104","105","BradleyUniversity",2.5,240.9999954,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"105","106","BradleyUniversity",6,76.00000645,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"106","107","BradleyUniversity",7,43.00000125,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"107","108","BradleyUniversity",6,176.9999986,"19","First-year","Female","African-American","Pass"
"108","109","BradleyUniversity",5,227.0000072,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"109","11","BradleyUniversity",5.5,125.0000034,"18","First-year","Female","Asian-American","Pass"
"110","110","BradleyUniversity",5.5,239.9999932,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"111","111","BradleyUniversity",7,190.9999962,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"112","112","BradleyUniversity",6,112.0000004,"19","Sophomore","Male","Latino or Hispanic","Pass"
"113","113","BradleyUniversity",2,35.99999459,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"114","114","BradleyUniversity",3.5,143.0000007,"20","Sophomore","Female","African-American","Fail"
"115","115","BradleyUniversity",6,58.00000036,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"116","116","BradleyUniversity",6.5,125.9999968,"18","First-year","Female",NA,"Fail"
"117","117","BradleyUniversity",4,155.000001,"18","First-year","Female","African-American","Pass"
"118","118","BradleyUniversity",7,201.9999944,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"119","119","BradleyUniversity",5.5,240.000002,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"120","12","BradleyUniversity",5,240.000002,"18","Sophomore","Female","African-American","Pass"
"122","121","BradleyUniversity",5.5,226.999999,"19","First-year","Male","Latino or Hispanic","Fail"
"123","13","BradleyUniversity",7,63.00000278,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"124","14","BradleyUniversity",6,210.0000038,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"125","15","BradleyUniversity",5,63.00000278,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"126","16","BradleyUniversity",7,151.0000007,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"128","18","BradleyUniversity",7,60.99999854,"19","Sophomore","Female","Asian-American","Pass"
"129","19","BradleyUniversity",6.5,109.9999962,"18","First-year","Female","Latino or Hispanic","Pass"
"130","2","BradleyUniversity",6,213.9999953,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"132","21","BradleyUniversity",6.5,109.0000022,"18 almost 19","First-year","Female","White, non-Hispanic or latino","Pass"
"133","22","BradleyUniversity",4.5,240.000002,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"134","23","BradleyUniversity",6,240.000002,"18","First-year",NA,"White, non-Hispanic or latino","Fail"
"135","24","BradleyUniversity",7,219.0000066,"18","First-year","Female","Latino or Hispanic","Pass"
"136","25","BradleyUniversity",6,197.0000008,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"137","26","BradleyUniversity",6,129.9999971,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"139","28","BradleyUniversity",5,120.0000004,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"140","29","BradleyUniversity",5.5,121.0000031,"18","First-year","Female","Latino or Hispanic","Pass"
"141","3","BradleyUniversity",6,99.99999949,"19","Sophomore","Female","White, non-Hispanic or latino",NA
"142","30","BradleyUniversity",6,79.00000401,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"143","31","BradleyUniversity",6.5,59.00000248,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"144","32","BradleyUniversity",4.5,60.99999854,"18","First-year","Male","Other","Fail"
"146","34","BradleyUniversity",3.5,157.9999998,"20","Sophomore","Female","Asian-American","Fail"
"149","37","BradleyUniversity",5.5,91.99999887,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"150","38","BradleyUniversity",7,85.00000038,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"151","39","BradleyUniversity",4.5,112.9999937,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"153","40","BradleyUniversity",6.5,240.000002,"20","Sophomore","Female","Other","Fail"
"154","41","BradleyUniversity",6.5,163.0000023,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"155","42","BradleyUniversity",5.5,140.9999959,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"156","43","BradleyUniversity",4,139.0000004,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"157","44","BradleyUniversity",6.5,230.9999987,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"158","45","BradleyUniversity",4.5,156.9999971,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"159","46","BradleyUniversity",5.5,43.00000125,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"160","47","BradleyUniversity",3,241.0000042,"19","Sophomore","Male","Asian-American","Pass"
"161","48","BradleyUniversity",4.5,66.00000097,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"162","49","BradleyUniversity",6,62.00000066,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"163","5","BradleyUniversity",6,230.0000054,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"164","50","BradleyUniversity",6.5,195.9999987,"19","Sophomore","Female","Multiracial","Fail"
"165","51","BradleyUniversity",6.5,70.99999522,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"166","52","BradleyUniversity",6,93.00000099,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"167","53","BradleyUniversity",6.5,78.99999584,"18","First-year","Female","Latino or Hispanic","Fail"
"168","54","BradleyUniversity",3.5,156.9999977,"21","Senior","Female","Multiracial","Fail"
"169","55","BradleyUniversity",6,101.9999949,"18","First-year","Female","African-American","Pass"
"170","56","BradleyUniversity",7,95.99999918,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"171","57","BradleyUniversity",6.5,81.00000008,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"172","58","BradleyUniversity",5,32.00000245,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"173","59","BradleyUniversity",5,70.99999522,"18","First-year","Female","Latino or Hispanic","Fail"
"174","6","BradleyUniversity",6,189.0000002,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"176","61","BradleyUniversity",3.5,240.0000014,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"177","62","BradleyUniversity",4.5,95.00000523,NA,"First-year","Female","Latino or Hispanic","Pass"
"178","63","BradleyUniversity",4,36.9999967,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"179","64","BradleyUniversity",4,180.9999996,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"180","65","BradleyUniversity",4,198.0000029,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"181","66","BradleyUniversity",6.5,241.0000042,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"182","67","BradleyUniversity",6.5,108.0000001,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"183","68","BradleyUniversity",3,170.9999947,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"184","69","BradleyUniversity",7,55.99999549,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"185","7","BradleyUniversity",6,202.9999972,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"186","70","BradleyUniversity",7,214.9999975,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"187","71","BradleyUniversity",6,240.0000014,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"188","72","BradleyUniversity",6,130.9999998,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"189","73","BradleyUniversity",6,167.9999965,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"190","74","BradleyUniversity",6,218.0000044,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"191","75","BradleyUniversity",4.5,82.0000022,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"192","76","BradleyUniversity",6,156.9999977,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"193","77","BradleyUniversity",4.5,130.9999998,"21","Senior","Male","African-American","Pass"
"194","78","BradleyUniversity",5.5,240.000002,"18","First-year","Female","Latino or Hispanic","Pass"
"195","79","BradleyUniversity",7,220.0000005,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"196","8","BradleyUniversity",5.5,225.9999963,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"197","80","BradleyUniversity",5,147.9999944,"19","Sophomore",NA,"Multiracial","Pass"
"198","81","BradleyUniversity",3.5,97.0000013,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"199","82","BradleyUniversity",7,100.9999928,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"200","83","BradleyUniversity",7,240.9999954,"18","First-year","Female","White, non-Hispanic or latino","Pass"
