"","Participant_ID","referrer","Conscientiousness","Persistence","age","year","Genderfactor","ethnicity","AttentionCheck"
"3656","10","VirginiaCommonwealthUniversity",5.5,97.99999462,"19","Sophomore","Male","Asian-American","Fail"
"3657","100","VirginiaCommonwealthUniversity",5.5,207.9999996,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"3658","101","VirginiaCommonwealthUniversity",2.5,241.0000042,"19","Sophomore","Female","African-American","Pass"
"3659","102","VirginiaCommonwealthUniversity",6,240.999996,"18","First-year","Female","African-American","Pass"
"3660","103","VirginiaCommonwealthUniversity",2.5,150.9999926,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"3661","11","VirginiaCommonwealthUniversity",2,240.000002,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"3662","12","VirginiaCommonwealthUniversity",4.5,113.0000025,"18","First-year","Female","Asian-American","Fail"
"3663","13","VirginiaCommonwealthUniversity",5,240.000002,"18","First-year","Female","Asian-American","Pass"
"3664","14","VirginiaCommonwealthUniversity",7,239.9999932,"21","Sophomore","Male","Latino or Hispanic","Pass"
"3665","15","VirginiaCommonwealthUniversity",6,240.000002,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"3666","16","VirginiaCommonwealthUniversity",4.5,112.9999937,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3667","17","VirginiaCommonwealthUniversity",6,211.9999993,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3669","19","VirginiaCommonwealthUniversity",7,130.0000059,"18","Junior","Female","White, non-Hispanic or latino","Pass"
"3670","20","VirginiaCommonwealthUniversity",4.5,240.9999954,"18","First-year","Female","African-American","Pass"
"3671","21","VirginiaCommonwealthUniversity",5.5,239.9999932,"22","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3672","22","VirginiaCommonwealthUniversity",5,194.9999959,"20","Sophomore","Female","Other","Pass"
"3673","23","VirginiaCommonwealthUniversity",6,240.0000014,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3674","24","VirginiaCommonwealthUniversity",5,240.000002,"20","Junior","Female","Asian-American","Pass"
"3675","25","VirginiaCommonwealthUniversity",2,129.9999977,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3676","26","VirginiaCommonwealthUniversity",6,121.0000038,"22","Junior","Male","White, non-Hispanic or latino","Fail"
"3678","28","VirginiaCommonwealthUniversity",6,156.9999977,"18","First-year","Male","African-American","Fail"
"3679","29","VirginiaCommonwealthUniversity",4,103.0000058,"21","Senior","Female","African-American","Fail"
"3680","30","VirginiaCommonwealthUniversity",4,199.000005,"24","First-year","Female","African-American","Fail"
"3681","31","VirginiaCommonwealthUniversity",6,240.000002,"18","First-year","Female","African-American","Fail"
"3682","32","VirginiaCommonwealthUniversity",5.5,167.9999959,"18","First-year","Female","Latino or Hispanic","Pass"
"3683","33","VirginiaCommonwealthUniversity",7,240.000002,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"3684","34","VirginiaCommonwealthUniversity",7,240.000002,"18","First-year","Female","Latino or Hispanic","Pass"
"3685","35","VirginiaCommonwealthUniversity",6,205.9999947,"18","First-year","Male","Multiracial","Fail"
"3686","36","VirginiaCommonwealthUniversity",6,121.0000031,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3687","37","VirginiaCommonwealthUniversity",4.5,76.99999097,"21","Senior","Male","Asian-American","Fail"
