study,analysis,ori_ML2analysis,ori_stattype,ori_N,ori_N_weird,ori_n1_weird,ori_n2_weird,ori_N_lessweird,ML2_test,ML2_stattype,ML2_estimate,ML2_estimate1,ML2_estimate2,ML2_teststat,ML2_N,ML2_n1,ML2_n2,ML2_df,ML2_pval,ML2_sd.1,ML2_sd.2,ML2_d,ML2_r,ML2_OR,ML2_Q,N_ML2_pval,N_ori_pval,N_2.5ori_pval,N_50each_pval
"Direction & SES (Huang et al., 2014)",Huang.1,Huang.3,t,80,80,40,40,,Welch Two Sample t-test,t,34.4020012028874,11.7034427571251,-22.6985584457624,16.124865294846,6591,3331,3260,6554.05016473376,2.14621862733288e-57,84.3149764454922,88.7756118354266,0.39726,0.19484,2.05557,,0,0.0795331125985346,0.005466846108519,0.0497929143605496
"Structure & Goal Pursuit (Kay et al., 2014)",Kay.1,Kay.1,t,67,67,33,34,,Welch Two Sample t-test,t,-0.0331268363568871,5.47598654022637,5.50911337658326,-0.940918530315616,6506,3269,3237,6498.63043138903,0.346781583908772,1.44713883067446,1.39234951282838,-0.02333,-0.01167,0.95857,,0.346798770035427,0.924234320009398,0.880196237395746,0.907376132994624
"Incidental Disfluency (Alter et al., 2007)",Alter.1,Alter.3,t,41,41,20,21,,Two Sample t-test,t,,1.03398617511521,1.06237366445279,-1.36845176967448,6935,3463,3472,6933,0.171215050869259,0.870023155610991,0.857456596816372,-0.03287,-0.01643,0.94213,,0.171152880131592,0.916753136897104,0.868221860618375,0.869794124737112
"Moral Foundations (Graham et al., 2009)",Graham.1,Graham.1,t.r,1209,1209,1209,,,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,Z.f,0.144781343343842,0.1447813,,12.1667120676989,6966,6966,,6966,0,1.38328333397891,0.77893014874684,0.29265,0.14478,1.70029,0.14580587810984,0,4.11784931930725e-07,1.11022302462516e-15,0.317511224332872
"Affect & Risk (Rottenstreich & Hsee, 2001)",Rottenstreich.1,Rottenstreich.1,X2,40,40,20,20,,Two-sided Fisher's Exact Test (usual method using minimum likelihood),OR,0.86519643497645,,,,7218,3725,3493,,0.0021945683319021,,,-0.07983,-0.03988,0.8652,,0.0021336428902331,0.830560558060258,0.735109744547233,
"Priming Consumerism (Bauer et al., 2012)",Bauer.1,Bauer.1,t,78,78,39,39,,Two Sample t-test,t,,4.09727272727273,3.92230955259976,4.92539324793097,6608,3308,3300,6606,8.62378183976699e-07,1.43870148957898,1.44891545757389,0.12118,0.06049,1.24583,,8.62640327614628e-07,0.594131696701428,0.398548499225945,0.545981958138569
"Correspondence Bias (Miyamoto & Kitayama, 2002)",Miyamoto.1,Miyamoto.1,t,29,29,14,15,,GLM t-test,lm.t,,,,77.1024179211164,7197,3578,3619,7194,0,3.50584047999172,1.95019484343735,1.81795,0.67268,27.04228,,0,4.07054714433031e-05,5.39284172873522e-11,1.15463194561016e-14
"Disgust & Homophobia (Inbar et al., 2009)",Inbar.1a,Inbar.1a,Z.f,42,42,21,21,,Fisher r-to-Z transformed test for difference between 2 independent correlations,Z.f,0.0538888439739044,0.12445156,0.07103915,2.26214848956754,7041,3527,3514,,0.0236882305813289,0.239690116836193,1.87375061386673,,0.0276729290283633,,0.053941099590365,0.0236882305813289,0.871445005094463,0.788427165522713,0.793715290934409
"Incidental Anchors (Critcher & Gilovich, 2008)",Critcher.1,Critcher.1,t,200,200,100,100,,Two Sample t-test,t,,49.8728193960511,48.975617386162,1.68463536368283,6826,3444,3382,6824,0.0921046723823432,21.8597008862382,22.1416408514203,0.04078,0.02039,1.07678,,0.092122242779076,0.773374240808459,0.648636001182605,0.838854465465481
"Social Value Orientation (Van Lange et al., 1997)",vanLange.1,vanLange.1,f,536,536,307,229,,Fisher r-to-Z transformed test for difference between 1 observed correlation and a hypothesized value.,Z.f,-0.0168788236105377,-0.01687882,,-1.33248490589044,6234,6234,,6234,0.18270089818653,0.228688968216329,1.63856223014011,-0.03376,-0.01688,0.9406,-0.0168804267803075,0.182670396873564,0.696727275665193,0.537052686904813,0.907863008308898
"Trolley Dilemma 1 (Hauser et al., 2007)",Hauser.1,Hauser.1,X2,2646,2646,2646,,,Two-sided Fisher's Exact Test (usual method using minimum likelihood),OR,11.5415349786941,,,,6842,3484,3358,,0,,,1.34852,0.55905,11.54153,,0,0,0,
"SMS & Well-Being (Anderson et al., 2012)",Anderson.1,Anderson.1,t,116,116,58,58,,Two Sample t-test,t,,-0.0140318061155082,0.0139386388116233,-1.75933108897622,6905,3441,3464,6903,0.0785655833386204,0.665888405829991,0.655190347249852,-0.04234,-0.02117,0.92607,,0.0785981075996051,0.820048573512388,0.718728468827963,0.832780734745906
"False Consensus 1 (Ross et al., 1977)",Ross.1,Ross.1,f,80,80,53,27,,Welch Two Sample t-test,t,25.8409436023774,69.186428057554,43.3454844551766,49.9280910819951,7205,3892,3313,6420.76628223277,0,19.5402726293655,23.7157981450517,1.18023,0.50705,8.50532,,0,6.98042412095035e-06,9.39470723437807e-13,5.17652822829007e-08
"False Consensus 2 (Ross et al., 1977)",Ross.2,Ross.2,f,80,80,37,43,,Welch Two Sample t-test,t,23.7166926821703,72.4812783360598,48.7645856538895,41.9422994437687,7827,4279,3548,6728.25385880489,0,21.7488626104864,27.2442495281033,0.95233,0.42843,5.62563,,0,6.05565319811152e-05,2.03546068888727e-10,6.6418150799219e-06
"Position & Power (Giessner & Schubert, 2007)",Giessner.1,Giessner.1,t,64,64,32,32,,Two Sample t-test,t,,4.96681200307771,4.93274868454022,1.39761233220459,7890,3899,3991,7888,0.162268817247517,1.09151133369516,1.07338148216199,0.03147,0.01573,1.05874,,0.16227945424386,0.900234227665087,0.842492235441282,0.875292755852298
"Framing (Tversky & Kahneman, 1981)",Tversky.1,Tversky.1,OR,181,181,93,88,,Two-sided Fisher's Exact Test (usual method using minimum likelihood),OR,2.06217956569899,,,,7228,3609,3619,,1.01058454096145e-50,,,0.39903,0.19566,2.06218,,0,0.0305916293904605,0.000628593706515801,
"Trolley Dilemma 2 (Hauser et al., 2007)",Hauser.4,Hauser.4,X2,2612,2612,2612,,,Two-sided Fisher's Exact Test (usual method using minimum likelihood),OR,1.57359807864964,,,,7923,3955,3968,,4.66168706907651e-23,,,0.24995,0.12401,1.5736,,0,4.85272342309884e-08,0,
