"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"3424","101","UniversityOfVirginia","Agentic",72,"19","Sophomore","Male","White, non-Hispanic or latino","Pass",71
"3425","102","UniversityOfVirginia","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",71
"3426","103","UniversityOfVirginia","Communal",67,"18","First-year","Female","Asian-American","Pass",71
"3427","104","UniversityOfVirginia","Agentic",70,"18","First-year","Male","African-American","Pass",71
"3428","105","UniversityOfVirginia","Agentic",71,"18","First-year","Female","White, non-Hispanic or latino","Pass",71
"3429","106","UniversityOfVirginia","Agentic",75,NA,NA,NA,NA,NA,71
"3430","107","UniversityOfVirginia","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",71
"3431","108","UniversityOfVirginia","Communal",77,"21","Senior","Female","White, non-Hispanic or latino","Pass",71
"3432","109","UniversityOfVirginia","Communal",76,"18","First-year","Female","Other","Pass",72
"3434","110","UniversityOfVirginia","Agentic",68,"18","First-year","Male","Asian-American","Pass",72
"3435","111","UniversityOfVirginia","Agentic",75,"19","Sophomore","Male","White, non-Hispanic or latino","Pass",72
"3436","112","UniversityOfVirginia","Agentic",55,"19","First-year","Male","White, non-Hispanic or latino","Fail",72
"3437","113","UniversityOfVirginia","Agentic",73,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"3438","114","UniversityOfVirginia","Communal",68,"18","First-year","Male","African-American","Pass",NA
"3439","115","UniversityOfVirginia","Communal",69,"18","First-year","Male","Asian-American","Pass",NA
"3440","116","UniversityOfVirginia","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"3441","117","UniversityOfVirginia","Agentic",70,"21","Junior","Female","Other","Pass",NA
"3442","118","UniversityOfVirginia","Communal",73,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"3443","119","UniversityOfVirginia","Agentic",75,"20","Junior","Female","Asian-American","Pass",NA
"3444","12","UniversityOfVirginia","Communal",68,"18","First-year","Female","African-American","Pass",NA
"3445","120","UniversityOfVirginia","Communal",80,"18","First-year",NA,"Asian-American","Fail",NA
"3446","121","UniversityOfVirginia","Communal",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",NA
"3447","122","UniversityOfVirginia","Communal",75,"18","First-year","Female","Asian-American","Pass",NA
"3448","123","UniversityOfVirginia","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Fail",NA
"3449","124","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"3450","125","UniversityOfVirginia","Communal",70,"19","First-year","Female","Asian-American","Pass",NA
"3451","126","UniversityOfVirginia","Agentic",75,"19","Junior","Female","White, non-Hispanic or latino","Pass",NA
"3452","127","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",74
"3453","128","UniversityOfVirginia","Communal",74,"20","Junior","Female","Afghan","Pass",74
"3454","129","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",74
"3455","13","UniversityOfVirginia","Agentic",76,"19","Sophomore","Female","Asian-American","Pass",NA
"3456","130","UniversityOfVirginia","Agentic",70,"19","First-year","Female","White, non-Hispanic or latino","Pass",72
"3457","131","UniversityOfVirginia","Agentic",73,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",72
"3458","132","UniversityOfVirginia","Communal",75,"18","First-year","Male","Asian-American","Fail",72
"3459","133","UniversityOfVirginia","Communal",65,"19","First-year","Female","White, non-Hispanic or latino","Pass",72
"3460","134","UniversityOfVirginia","Communal",65,"19","First-year","Male","Latino or Hispanic","Pass",72
"3461","135","UniversityOfVirginia","Agentic",72,NA,NA,NA,NA,NA,72
"3463","137","UniversityOfVirginia","Agentic",68,"18","First-year","Female","Latino or Hispanic","Pass",72
"3464","138","UniversityOfVirginia","Agentic",72,"20","Junior","Female","Multiracial","Fail",72
"3465","139","UniversityOfVirginia","Communal",68,"19","First-year","Male","Asian-American","Pass",72
"3467","140","UniversityOfVirginia","Communal",70,"19","Sophomore",NA,"White, non-Hispanic or latino","Pass",72
"3469","142","UniversityOfVirginia","Communal",70,"20","Junior","Female","White, non-Hispanic or latino","Pass",72
"3473","146","UniversityOfVirginia","Communal",72,"18","First-year","Male","Multiracial","Pass",73
"3474","147","UniversityOfVirginia","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass",73
"3475","148","UniversityOfVirginia","Communal",72,"19","Sophomore","Female","Asian-American","Pass",73
"3476","149","UniversityOfVirginia","Communal",77,NA,NA,NA,NA,NA,73
"3478","150","UniversityOfVirginia","Agentic",72,"19","First-year","Female","White, non-Hispanic or latino","Pass",73
"3479","151","UniversityOfVirginia","Communal",71,"18","First-year","Female","White, non-Hispanic or latino","Pass",73
"3480","152","UniversityOfVirginia","Agentic",75,"18","First-year","Female","Asian-American","Fail",73
"3481","153","UniversityOfVirginia","Agentic",72,"22","Senior","Female","Multiracial","Fail",73
"3482","154","UniversityOfVirginia","Agentic",72,"19","Sophomore","Male","White, non-Hispanic or latino","Pass",73
"3483","155","UniversityOfVirginia","Agentic",70,"20","Sophomore","Female","White, non-Hispanic or latino","Pass",73
"3484","156","UniversityOfVirginia","Agentic",70,"20","Junior","Male","White, non-Hispanic or latino","Pass",73
"3485","157","UniversityOfVirginia","Communal",70,"19","First-year","Male","Other","Fail",73
"3486","158","UniversityOfVirginia","Communal",72,"18","First-year","Male","White, non-Hispanic or latino","Fail",NA
"3487","159","UniversityOfVirginia","Communal",60,"18","First-year","Female","Other","Fail",NA
"3489","161","UniversityOfVirginia","Agentic",75,"20","Junior","Female","Asian-American","Pass",NA
"3490","162","UniversityOfVirginia","Agentic",70,"18","First-year","Male","Asian-American","Fail",NA
"3491","163","UniversityOfVirginia","Communal",71,"20","Junior","Male","White, non-Hispanic or latino","Pass",NA
"3492","164","UniversityOfVirginia","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"3493","165","UniversityOfVirginia","Communal",70,"19","First-year","Female","African-American","Pass",NA
"3494","166","UniversityOfVirginia","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Fail",NA
"3495","167","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",NA
"3496","168","UniversityOfVirginia","Communal",73,"20","Junior","Male","White, non-Hispanic or latino","Pass",72
"3497","169","UniversityOfVirginia","Communal",72,"18","First-year","Female","Asian-American","Fail",72
"3498","169","UniversityOfVirginia","Communal",70,NA,NA,NA,NA,NA,72
"3499","17","UniversityOfVirginia","Communal",74,"21","Senior","Male","Multiracial","Fail",NA
"3501","171","UniversityOfVirginia","Communal",70,"18","First-year","Male","Asian-American","Fail",72
"3502","172","UniversityOfVirginia","Communal",70,"20","Junior","Male","Latino or Hispanic","Pass",72
"3503","173","UniversityOfVirginia","Agentic",73,"18","First-year","Male","White, non-Hispanic or latino","Fail",72
"3504","174","UniversityOfVirginia","Agentic",70,"18","First-year","Female","Latino or Hispanic","Pass",72
"3505","175","UniversityOfVirginia","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Fail",72
"3507","177","UniversityOfVirginia","Agentic",68,"19","First-year","Female","Asian-American","Pass",73
"3512","181","UniversityOfVirginia","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass",73
"3513","182","UniversityOfVirginia","Communal",60,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",73
"3514","183","UniversityOfVirginia","Agentic",73,"19","Sophomore","Male","Asian-American","Fail",72
"3515","184","UniversityOfVirginia","Communal",75,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",72
