unique.id,study.id,study.slate,study.name,study.analysis,study.vars,study.vars.labels,study.cases.include,study.sites.include,study.global.include,study.primary.include,study.secondary.include,study.figure2.include,study.table1.include,study.table1.weird.split,stat.vars,stat.type,stat.test,stat.params,stat.ncp,stat.df,stat.p.value,orig.sample.nation,ori.sample.weird,ori.study.figure2.include,orig.stat.type,orig.test.alternative,orig.test.sample,orig.stat.df1,orig.stat.df2,orig.stat.n1,orig.stat.n2,orig.stat.N,orig.stat.estimate,orig.stat.estimate1,orig.stat.estimate2,orig.stat.ncp,orig.stat.ncp.ciL,orig.stat.ncp.ciU,orig.stat.p.value,orig.ES.d,orig.ES.d.ciL,orig.ES.d.ciU,orig.ES.r,orig.ES.r.ciL,orig.ES.r.ciU,orig.ES.cohensQ,orig.ES.cohensQ.ciL,orig.ES.cohensQ.ciU,comments,study.description,cohensQ
1,1,1,Huang,Huang.1,"list(High=c('huan1.1_Y1','huan1.1_R0'), Low=c('huan2.1_Y1','huan2.1_R0'))","list(Condition=c('High','Low'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,1,1,1,varfun.Huang.1,t,"t.test(x = High, y = Low, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"US & Hong Kong, China",10,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Direction & SES (Huang et al., 2014)",
2,1,1,Huang,Huang.2,"list(High=c('huan1.1_Y1','huan1.1_R0','homewealth'), Low=c('huan2.1_Y1','huan2.1_R0', 'homewealth'))","list(Condition=c('High','Low'), HomeWealth = c('homewealth','homewealth'))","list(each=rbind(c('Condition','X > 0'),c('HomeWealth','X == 1')))",list(c('all')),1,1,0,0,0,0,varfun.Huang.1,t,"t.test(x = High, y = Low, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Direction & SES (Huang et al., 2014)",
3,1,1,Huang,Huang.3,"list(High=c('huan1.1_Y1','huan1.1_R0'), Low=c('huan2.1_Y1','huan2.1_R0'))","list(Condition=c('High','Low'))","list(each=c('Condition','X > 0'))","list(c('Source.Global==""ouhk"" | Source.Global == ""hkust"" '))",1,0,1,0,0,0,varfun.Huang.1,t,"t.test(x = High, y = Low, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,t,two.sided,independent,78,,40,40,80,,,,3.69,1.64,5.72,<.001,0.83,0.37,1.28,0.39,0.18,0.54,,,,,"Direction & SES (Huang et al., 2014)",
4,1,1,Huang,Huang.4,"list(High=c('huan1.1_Y1','huan1.1_R0'), Low=c('huan2.1_Y1','huan2.1_R0'))","list(Condition=c('High','Low'))","list(each=c('Condition','X > 0'))","list(c('Country==""USA"" '))",1,0,1,0,0,0,varfun.Huang.1,t,"t.test(x = High, y = Low, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Hong Kong, China",0,1,t,two.sided,independent,98,,50,50,100,,,,-2.95,-4.95,-0.94,0.00,-0.59,-0.99,-0.19,-0.29,-0.45,-0.09,,,,,"Direction & SES (Huang et al., 2014)",
5,1,1,Huang,Huang.5,"list(High=c('huan1.1_Y1','huan1.1_R0','homewealth'), Low=c('huan2.1_Y1','huan2.1_R0', 'homewealth'))","list(Condition=c('High','Low'), HomeWealth = c('homewealth','homewealth'))","list(each=rbind(c('Condition','X > 0'),c('HomeWealth','X == 1')))","list(c('Tablet==""Tablets"" '))",1,0,1,0,0,0,varfun.Huang.1,t,"t.test(x = High, y = Low, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Direction & SES (Huang et al., 2014)",
6,1,1,Huang,Huang.6,"list(High=c('huan1.1_Y1','huan1.1_R0','homewealth'), Low=c('huan2.1_Y1','huan2.1_R0', 'homewealth'))","list(Condition=c('High','Low'), HomeWealth = c('homewealth','homewealth'))","list(each=rbind(c('Condition','X > 0'),c('HomeWealth','X == 2')))","list(c('Tablet==""Tablets"" '))",1,0,1,0,0,0,varfun.Huang.1,t,"t.test(x = High, y = Low, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,"Hong Kong, China",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Direction & SES (Huang et al., 2014)",
7,2,1,Kay,Kay.1,"list(Order=c('kay1.4','kay1.5','kay1.6'), DisOrder=c('kay2.4','kay2.5','kay2.6'))","list(Condition=c('Order','DisOrder'))","list(each=c('Condition','X > 0'))",list(c('all')),1,1,0,1,1,0,varfun.Kay.1,t,"t.test(x = Order, y = DisOrder, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,t,two.sided,independent,65,,33,34,67,,,,2.00,0.00,3.98,0.05,0.49,0.00,0.97,0.24,0.00,0.44,,,,,"Structure & Goal Pursuit (Kay et al., 2014)",
8,3,1,Alter,Alter.1,"list(Fluent=c('alt1.3','alt1.4','alt1.5','alt1.6','alt1.7','alt1.8'), DisFluent=c('alt2.3','alt2.4','alt2.5','alt2.6','alt2.7','alt2.8'))","list(Condition=c('Fluent','DisFluent'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,1,1,0,varfun.Alter.1,t,"t.test(x = DisFluent, y = Fluent, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Incidental Disfluency (Alter et al., 2007)",
9,3,1,Alter,Alter.2,"list(Fluent=c('alt1.3','alt1.4','alt1.5','alt1.6','alt1.7','alt1.8'), DisFluent=c('alt2.3','alt2.4','alt2.5','alt2.6','alt2.7','alt2.8'))","list(Condition=c('Fluent','DisFluent'))","list(each=c('Condition','X > 0'))",list(c('all')),1,0,1,0,0,0,varfun.Alter.2,t,"t.test(x = DisFluent, y = Fluent, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,"Incidental Disfluency (Alter et al., 2007)",
10,3,1,Alter,Alter.3,"list(Fluent=c('alt1.3','alt1.4','alt1.5','alt1.6','alt1.7','alt1.8'), DisFluent=c('alt2.3','alt2.4','alt2.5','alt2.6','alt2.7','alt2.8'))","list(Condition=c('Fluent','DisFluent'))","list(each=c('Condition','X > 0'))","list(c('Language==""English""&Setting==""In a lab"" '))",1,1,0,0,0,0,varfun.Alter.1,t,"t.test(x = DisFluent, y = Fluent, conf.level=stat.params$conf.level, var.equal = stat.params$var.equal, alternative = stat.params$alternative)","list(conf.level=.95, var.equal=TRUE, censorNA=TRUE, alternative='two.sided',alpha=.05, within=FALSE)",stat.test$statistic,stat.test$parameter,stat.test$p.value,US,1,1,t,two.sided,independent,39,,20,21,41,,,,2.01,-0.01,4.01,0.05,0.63,0.00,1.25,0.31,0.00,0.54,,,,,"Incidental Disfluency (Alter et al., 2007)",
