"","session_id","referrer","ContactGroup","Imagineddv"
"4930",2421401,"tamu","Control group",5.5
"4931",2421408,"tamu","Control group",2.5
"4932",2421415,"tamu","Control group",2.25
"4933",2421419,"tamu","Contact group",3
"4934",2421535,"tamu","Control group",5
"4935",2421543,"tamu","Contact group",3.75
"4936",2421547,"tamu","Control group",2
"4937",2421553,"tamu","Contact group",4
"4938",2421557,"tamu","Contact group",2.75
"4939",2421562,"tamu","Control group",6.75
"4940",2421667,"tamu","Control group",3.25
"4941",2421669,"tamu","Contact group",7.25
"4942",2421671,"tamu","Control group",5
"4943",2421672,"tamu","Contact group",6.25
"4944",2421674,"tamu","Contact group",2
"4945",2421678,"tamu","Control group",4
"4946",2421853,"tamu","Control group",5.25
"4947",2421858,"tamu","Control group",1.5
"4948",2421859,"tamu","Control group",2.75
"4949",2421862,"tamu","Contact group",3.75
"4950",2421868,"tamu","Control group",3.25
"4951",2421869,"tamu","Contact group",4.75
"4952",2421991,"tamu","Contact group",5.25
"4953",2421993,"tamu","Contact group",6.25
"4954",2421995,"tamu","Control group",4.25
"4955",2421999,"tamu","Control group",1.75
"4956",2422000,"tamu","Contact group",8.5
"4957",2422002,"tamu","Control group",2.75
"4958",2422125,"tamu","Control group",1
"4959",2422126,"tamu","Control group",6.5
"4960",2422127,"tamu","Control group",5.25
"4961",2422128,"tamu","Control group",2.25
"4962",2422131,"tamu","Control group",5
"4963",2422135,"tamu","Control group",5.5
"4964",2422245,"tamu","Control group",3.75
"4965",2422249,"tamu","Contact group",2
"4966",2422252,"tamu","Control group",3.75
"4967",2422437,"tamu","Contact group",6.25
"4968",2422444,"tamu","Contact group",2.75
"4969",2422449,"tamu","Control group",2.5
"4970",2422459,"tamu","Control group",2.5
"4971",2422461,"tamu","Control group",4
"4972",2422679,"tamu","Contact group",2
"4973",2422682,"tamu","Contact group",4.25
"4974",2422684,"tamu","Control group",8
"4975",2422687,"tamu","Contact group",5.5
"4976",2422689,"tamu","Contact group",5.75
"4977",2422691,"tamu","Control group",3.5
"4978",2422857,"tamu","Contact group",5.75
"4979",2422861,"tamu","Contact group",7
"4980",2422867,"tamu","Contact group",9
"4981",2422874,"tamu","Control group",2
"4982",2422877,"tamu","Contact group",2.25
"4983",2422882,"tamu","Control group",4
"4984",2423034,"tamu","Control group",5.5
"4985",2423038,"tamu","Control group",4.5
"4986",2423251,"tamu","Contact group",2.25
"4987",2423254,"tamu","Control group",4.5
"4988",2423256,"tamu","Contact group",3
"4989",2423258,"tamu","Contact group",7.25
"4990",2423262,"tamu","Contact group",1.5
"4991",2423266,"tamu","Control group",1
"4992",2425458,"tamu","Control group",2.75
"4993",2425485,"tamu","Control group",9
"4994",2425490,"tamu","Control group",6
"4995",2425493,"tamu","Contact group",7.5
"4996",2425497,"tamu","Contact group",4.5
"4997",2425499,"tamu","Contact group",4
"4998",2425602,"tamu","Contact group",2
"4999",2425606,"tamu","Contact group",4.25
"5000",2425608,"tamu","Contact group",5.75
"5001",2425611,"tamu","Control group",6.5
"5002",2425612,"tamu","Contact group",2.5
"5003",2425622,"tamu","Control group",5.75
"5004",2425777,"tamu","Control group",2.75
"5005",2425783,"tamu","Control group",2.75
"5006",2425785,"tamu","Contact group",4.5
"5007",2425791,"tamu","Control group",4.25
"5008",2425794,"tamu","Contact group",2
"5009",2425815,"tamu","Control group",6
"5010",2425901,"tamu","Control group",2
"5011",2425903,"tamu","Control group",5.5
"5012",2425904,"tamu","Contact group",2.5
"5013",2426028,"tamu","Contact group",1.75
"5014",2426035,"tamu","Control group",5.75
"5015",2426040,"tamu","Contact group",1.75
"5016",2426042,"tamu","Control group",4
"5017",2426067,"tamu","Control group",9
"5018",2426071,"tamu","Contact group",4.25
"5019",2426153,"tamu","Control group",4.25
"5020",2426156,"tamu","Contact group",3
"5021",2426160,"tamu","Contact group",3.5
"5022",2426162,"tamu","Contact group",3.25
"5023",2426169,"tamu","Contact group",6.5
"5024",2426307,"tamu","Control group",6.25
"5025",2426309,"tamu","Control group",7
"5026",2426320,"tamu","Control group",6.5
"5027",2426433,"tamu","Control group",6
"5028",2426436,"tamu","Control group",1.25
"5029",2426441,"tamu","Control group",2.5
"5030",2426558,"tamu","Control group",8.5
"5031",2426560,"tamu","Contact group",3.75
"5032",2426564,"tamu","Control group",6.75
"5033",2426568,"tamu","Contact group",6.5
"5034",2426571,"tamu","Control group",4.5
"5035",2426688,"tamu","Control group",3.75
"5036",2426692,"tamu","Contact group",1
"5037",2426694,"tamu","Control group",4.75
"5038",2426695,"tamu","Contact group",2.5
"5039",2426699,"tamu","Contact group",5.75
"5040",2426838,"tamu","Control group",5.5
"5041",2426842,"tamu","Control group",3.75
"5042",2426844,"tamu","Contact group",6.5
"5043",2426847,"tamu","Control group",5.75
"5044",2426854,"tamu","Contact group",7.25
"5045",2426866,"tamu","Contact group",2.25
"5046",2428570,"tamu","Control group",4.75
"5047",2428571,"tamu","Control group",7
"5048",2428572,"tamu","Contact group",6.5
"5049",2428574,"tamu","Contact group",4.75
"5050",2428575,"tamu","Contact group",1
"5051",2428668,"tamu","Control group",7.5
"5052",2428670,"tamu","Contact group",2.5
"5053",2428758,"tamu","Contact group",5
"5054",2428759,"tamu","Control group",8.75
"5055",2428762,"tamu","Contact group",3
"5056",2428764,"tamu","Contact group",2.25
"5057",2428846,"tamu","Control group",1.5
"5058",2428847,"tamu","Contact group",4.5
"5059",2428848,"tamu","Contact group",3
"5060",2428851,"tamu","Contact group",1.5
"5061",2428930,"tamu","Contact group",3
"5062",2428939,"tamu","Contact group",2.25
"5063",2428942,"tamu","Contact group",4.25
"5064",2428944,"tamu","Contact group",2.25
"5065",2429015,"tamu","Control group",1.75
"5066",2429017,"tamu","Contact group",6.5
"5067",2429020,"tamu","Control group",5
"5068",2429091,"tamu","Control group",3
"5069",2429093,"tamu","Contact group",2.25
"5070",2429098,"tamu","Control group",7
"5071",2429192,"tamu","Contact group",3.75
"5072",2429193,"tamu","Contact group",2.5
"5073",2429211,"tamu","Control group",6
"5074",2429343,"tamu","Control group",3
"5075",2429345,"tamu","Contact group",3.5
"5076",2429351,"tamu","Contact group",4.5
"5077",2429353,"tamu","Contact group",6.75
"5078",2429354,"tamu","Control group",4
"5079",2429513,"tamu","Contact group",8.5
"5080",2429516,"tamu","Contact group",6.25
"5081",2429593,"tamu","Contact group",4
"5082",2429598,"tamu","Control group",2.25
"5083",2429605,"tamu","Contact group",5.75
"5084",2429628,"tamu","Contact group",2.5
"5085",2429631,"tamu","Control group",5.25
"5086",2430828,"tamu","Control group",3.75
"5087",2430833,"tamu","Contact group",4.25
"5088",2430836,"tamu","Control group",3.75
"5089",2430914,"tamu","Control group",6.25
"5090",2430915,"tamu","Control group",3.75
"5091",2430916,"tamu","Control group",7.25
"5092",2430992,"tamu","Control group",6.25
"5093",2430993,"tamu","Contact group",5.25
"5094",2430994,"tamu","Contact group",3.25
"5095",2430997,"tamu","Contact group",3
"5096",2431000,"tamu","Control group",5.75
"5097",2431063,"tamu","Contact group",7.75
"5098",2431064,"tamu","Control group",2.5
"5099",2431066,"tamu","Contact group",3.5
"5100",2431067,"tamu","Contact group",4.25
"5101",2431068,"tamu","Control group",1.25
"5102",2431113,"tamu","Contact group",4.5
"5103",2431450,"tamu","Contact group",2.25
"5104",2431454,"tamu","Contact group",8
"5105",2431456,"tamu","Contact group",5.75
"5106",2431571,"tamu","Contact group",2.75
"5107",2431577,"tamu","Control group",1
"5108",2431581,"tamu","Control group",4.75
"5109",2431605,"tamu","Contact group",5.75
"5110",2431608,"tamu","Control group",6
"5111",2431630,"tamu","Control group",1
"5112",2431631,"tamu","Contact group",3.75
"5113",2431633,"tamu","Control group",6.75
"5114",2431707,"tamu","Control group",1.5
"5115",2431710,"tamu","Contact group",3.75
"5116",2431712,"tamu","Contact group",5.25
