"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"16","R_XFdwam4xhs45fvX","michiganstate",4,3.3,NA,NA,"somewhat liberal (3)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"67","R_3P4yUY4vwngDmlm","michiganstate",4,3.2,"female",NA,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","","Not In College","no college"
"68","R_3CVNUBoeLXRapkH","michiganstate",4,3.1,"female",21,"center (4)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"","Not In College","no college"
"846","R_1CBaRWVVRJHJfZU","michiganstate",3,1.8,"male",22,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","MichiganState","Currently In College","some college"
"847","R_3JLymNsUbcwIKYD","michiganstate",3.5,2.8,"female",20,"apolitical","democrat (2)",NA,"not say","yes","Other race/ethincity","MichiganState","Currently In College","some college"
"849","R_2e5tcdK2FfxIDMs","michiganstate",4,3.6,"female",19,"center (4)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","MichiganState","Currently In College","some college"
"850","R_aYsknH4ladjmXap","michiganstate",4,2.6,"female",22,"strongly liberal (1)","strongly democrat (1)",NA,"60-79,999","yes","Caucasian","MichiganState","Currently In College","some college"
"851","R_2ckKWB2nzlzgJJH","michiganstate",3.5,3.1,"female",23,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","MichiganState","Currently In College","some college"
"852","R_3HUNzK6We5vrDNE","michiganstate",3,3.1,"female",18,"somewhat conservative (5)","middle (4)",NA,"under20,000","no","Other race/ethincity","MichiganState","Currently In College","some college"
"853","R_6zqgT9bCk5DR0lj","michiganstate",3.5,1.9,"female",20,"somewhat conservative (5)","conservative (6)",NA,"20-39,999","yes","Caucasian","MichiganState","Currently In College","some college"
"854","R_vMqbe00ginSC8md","michiganstate",3,2.3,"female",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","MichiganState","Currently In College","some college"
"855","R_UXBq31PgA3jyh1f","michiganstate",3,2.4,"male",20,"center (4)","middle (4)",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"856","R_3PXDCm4llHJfdkw","michiganstate",3.5,2.1,"female",20,"apolitical","strongly democrat (1)",NA,"under20,000","yes",NA,"MichiganState","Currently In College","some college"
"857","R_AijONe4XZmMvwjL","michiganstate",4,3.1,"female",20,"strongly liberal (1)","democrat (2)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"858","R_323p4MCWEpXOeRJ","michiganstate",2.5,2.9,"female",18,"liberal (2)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"859","R_1LtD2GLeucMGWPn","michiganstate",3,3.4,"female",20,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"860","R_UK3SOXcuKZBJ3ix","michiganstate",2.5,1.9,"female",19,"center (4)","conservative (6)",NA,"200-999,999","yes","Caucasian","MichiganState","Currently In College","some college"
"861","R_22lkazOnucljZ8T","michiganstate",3,2.5,"female",20,"somewhat conservative (5)","somewhat conservative (5)",NA,"80-99,999","yes","Caucasian","MichiganState","Currently In College","some college"
"862","R_2scYCyo4idHmHo8","michiganstate",3,2.6,"female",21,"strongly liberal (1)","democrat (2)",NA,"40-59,999","yes","Caucasian","MichiganState","Currently In College","some college"
"863","R_3Pdw3PWx4qGgG6y","michiganstate",3,2.5,"female",20,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","MichiganState","Currently In College","some college"
"864","R_2cjh1mNyan83uQH","michiganstate",3.5,2.4,"female",19,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","MichiganState","Currently In College","some college"
"865","R_3EYXqOgMMNEwjr5","michiganstate",3,2.9,"female",19,"center (4)","middle (4)",NA,"60-79,999","yes","Caucasian","MichiganState","Currently In College","some college"
"866","R_yXdevlGkmVvTG0h","michiganstate",3.5,3,"female",18,"conservative (6)","strongly conservative (7)",NA,"over1,000,000","yes","Caucasian","MichiganState","Currently In College","some college"
"867","R_2uPUtZjItpDvXKM","michiganstate",4,3,"female",20,"conservative (6)","conservative (6)",NA,"200-999,999","yes","Other race/ethincity","MichiganState","Currently In College","some college"
"868","R_1psZg7vvoFxxaLf","michiganstate",3.5,2.7,"female",18,"somewhat conservative (5)","conservative (6)",NA,"60-79,999","yes","Caucasian","MichiganState","Currently In College","some college"
"869","R_12LQUiollwEFzsN","michiganstate",4,3.4,"female",20,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"870","R_0xPHZrS6QJxGCaJ","michiganstate",3.5,3.1,"female",22,"apolitical","independent",NA,"under20,000","yes","Other race/ethincity","MichiganState","Currently In College","some college"
"871","R_2eVzCqaNUygCbda","michiganstate",3.5,3.3,"female",21,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"872","R_2D7YhUy5seo8Wx2","michiganstate",3.5,3.9,"female",18,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","MichiganState","Currently In College","some college"
"873","R_2cC7dtJDnhYAOTT","michiganstate",4,3.6,"female",18,"apolitical","independent",NA,"60-79,999","yes","Caucasian","MichiganState","Currently In College","some college"
"874","R_2TG18LAjJAJNtIH","michiganstate",4,3.1,"female",19,"liberal (2)","democrat (2)",NA,"200-999,999","yes","Caucasian","MichiganState","Currently In College","some college"
"875","R_3DALumW9R7XhYdP","michiganstate",4,4.1,"female",18,"strongly liberal (1)","strongly democrat (1)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"876","R_1djp0B5WnReh6Dw","michiganstate",3,1.8,"female",22,"apolitical","independent",NA,"100-199,999","no","Caucasian","MichiganState","Currently In College","some college"
"877","R_2OZpSM3xzN8gmbN","michiganstate",3,3,"male",21,"center (4)","strongly conservative (7)",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"878","R_10osRVYQTozmPQz","michiganstate",3,2.6,"female",18,"apolitical","independent",NA,"not say","yes","Caucasian","MichiganState","Currently In College","some college"
"879","R_1Lp1bH7dOUV5KrS","michiganstate",3,3.2,"male",19,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","MichiganState","Currently In College","some college"
"880","R_2zBd4wqLdeELawO","michiganstate",4,3.5,"female",19,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"881","R_yPg2lwzLLvdyRKV","michiganstate",4,3.6,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","MichiganState","Currently In College","some college"
"882","R_2WxqmMtet2BuQvl","michiganstate",4,2.9,"male",19,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","MichiganState","Currently In College","some college"
"883","R_a9Upb7St5916Wop","michiganstate",4,3.2,"female",20,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Caucasian","MichiganState","Currently In College","some college"
"884","R_3MEFW36sI2EQVMD","michiganstate",2.5,2.9,"female",18,"apolitical","middle (4)",NA,"20-39,999","yes","Other race/ethincity","MichiganState","Currently In College","some college"
