"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"9","R_1EihKePhUenEL9L","depauw",3,2.4,NA,NA,"apolitical","middle (4)",NA,NA,NA,NA,"",NA,NA
"47","R_31nGwNgxwqw9xzj","depauw",4,3.6,"female",NA,"center (4)","somewhat democrat (3)",NA,"100-199,999","yes","Other race/ethincity","DePauw","Not In College","no college"
"378","R_12fZ4Uf4AjC0nPp","depauw",3,2.2,"female",NA,"conservative (6)","conservative (6)",NA,"60-79,999","yes","Caucasian","DePauw","Currently In College","some college"
"379","R_20Orih5jLNND5PU","depauw",3.5,2.6,"male",NA,"somewhat liberal (3)","democrat (2)",NA,"not say","yes","Caucasian","DePauw","Currently In College","some college"
"380","R_263IEVcTPtYKrSS","depauw",3.5,2.7,"female",NA,"apolitical","democrat (2)",NA,"60-79,999","yes","Caucasian","DePauw","Currently In College","some college"
"381","R_3FPtAehfPcuh4LI","depauw",3.5,3.6,"female",NA,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","DePauw","Currently In College","some college"
"382","R_3EaLTFqzGRzx9ky","depauw",1,3.7,"male",NA,"center (4)","middle (4)",NA,"80-99,999","yes","Caucasian","DePauw","Currently In College","some college"
"383","R_e5SxP52n9CVEVgZ","depauw",3.5,1.6,"male",NA,"liberal (2)","middle (4)",NA,"80-99,999","no","Other race/ethincity","DePauw","Currently In College","some college"
"384","R_1DFNnlVLJ9jjt8Y","depauw",4,3.8,"female",NA,"conservative (6)","independent",NA,"40-59,999","yes","Caucasian","DePauw","Currently In College","some college"
"385","R_w0qcNYgS9WUdI6l","depauw",2.5,2.9,"male",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","DePauw","Currently In College","some college"
"386","R_3D15KnqHmnyeHVG","depauw",4,3.9,"female",NA,"conservative (6)","strongly conservative (7)",NA,"200-999,999","yes","Caucasian","DePauw","Currently In College","some college"
"387","R_1EXs59TJEUsiMYW","depauw",3,2.4,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","no","Other race/ethincity","DePauw","Currently In College","some college"
"388","R_3p2STt3UoE7O3ZS","depauw",3,2.8,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"60-79,999","yes","Caucasian","DePauw","Currently In College","some college"
"389","R_2zwJ3Qzwr24KAhb","depauw",3.5,2.2,"female",NA,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","DePauw","Currently In College","some college"
"390","R_1Ok0hWwYlNKgsUu","depauw",3,3.1,"female",NA,"center (4)","independent",NA,"100-199,999","yes","Other race/ethincity","DePauw","Currently In College","some college"
"391","R_tLonsOXII9JFU09","depauw",3.5,3.1,"female",NA,"conservative (6)","strongly conservative (7)",NA,"200-999,999","yes","Caucasian","DePauw","Currently In College","some college"
"392","R_20UOFaG6hkJPef6","depauw",4,3.2,"female",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","DePauw","Currently In College","some college"
"393","R_2Se7lrarYPtqjow","depauw",2,3.2,"female",NA,"liberal (2)","independent",NA,"100-199,999","yes","Other race/ethincity","DePauw","Currently In College","some college"
"394","R_1rNZLRWgaprzgCW","depauw",4,2,"female",NA,"center (4)","democrat (2)",NA,"200-999,999","yes","Caucasian","DePauw","Currently In College","some college"
"395","R_1gjA6dxe6FV4Yk6","depauw",3.5,1.7,"male",NA,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","DePauw","Currently In College","some college"
"396","R_2QYQ3KDoDiGbVMg","depauw",3,2.8,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","DePauw","Currently In College","some college"
"397","R_ag8JblvZHbmpqa5","depauw",3,2.8,"female",NA,"apolitical","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","DePauw","Currently In College","some college"
"398","R_wYiU7404tbzVDe9","depauw",4,2.5,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Other race/ethincity","DePauw","Currently In College","some college"
"399","R_6lKpqQCTCUP0Ni1","depauw",3.5,4,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","DePauw","Currently In College","some college"
"400","R_6FhkvDoN4GOBWKd","depauw",4,2.8,"female",NA,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","DePauw","Currently In College","some college"
"401","R_1qeyqVMMeYgHjG2","depauw",4,3.4,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"200-999,999","yes","Caucasian","DePauw","Currently In College","some college"
"402","R_1QFr5Gp6IqQSDgZ","depauw",4,3.2,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","DePauw","Currently In College","some college"
"403","R_1OHO4R2WBSycyyu","depauw",3,2.7,"female",NA,"liberal (2)","democrat (2)",NA,"40-59,999","yes","Caucasian","DePauw","Currently In College","some college"
"404","R_2rGCDYiuihlt4IK","depauw",4,3.6,"female",NA,"somewhat conservative (5)","middle (4)",NA,"not say","yes","Caucasian","DePauw","Currently In College","some college"
"405","R_2wgDNIUoOvVHvHO","depauw",4,2.5,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","DePauw","Currently In College","some college"
"406","R_1pJMsbCUjgFR8eU","depauw",3.5,2.9,"female",NA,"conservative (6)","somewhat conservative (5)",NA,"over1,000,000","yes","Caucasian","DePauw","Currently In College","some college"
"407","R_OJx2ubWWBpXdsit","depauw",3,2.3,"female",NA,"conservative (6)","somewhat conservative (5)",NA,"20-39,999","yes","Caucasian","DePauw","Currently In College","some college"
