"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"11","R_vdVCROJS4vLRUJz","GeorgiaGwinett",4,4,"female",NA,"center (4)","independent",NA,NA,NA,NA,"",NA,NA
"48","R_240qSRCE5T6u03o","GeorgiaGwinett",4,2.6,"female",21,"center (4)","democrat (2)",NA,"under20,000","yes","Caucasian","","Not In College","some college"
"49","R_3nkmgoIf0qQqN8l","GeorgiaGwinett",3,1.4,"female",27,"somewhat liberal (3)","independent",NA,"under20,000","yes",NA,"","Not In College","no college"
"50","R_263FLzicZVj0MbW","GeorgiaGwinett",3,3.3,"female",22,"conservative (6)","middle (4)",NA,"not say","no","Other race/ethincity","GGwinnettC","Not In College","some college"
"51","R_1I4VcCEduKkmtZR","GeorgiaGwinett",4,4,"female",18,"center (4)","democrat (2)",NA,"not say","yes","Other race/ethincity","GGwinnettC","Not In College","no college"
"52","R_DMEchCEU8cgojWV","GeorgiaGwinett",2,2.5,"male",18,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","GGwinnettC","Not In College","no college"
"460","R_24l7YXES2J8ZtwD","GeorgiaGwinett",3,1.6,"male",24,"apolitical","independent",NA,"under20,000","yes","Caucasian","GGwinnettC","Currently In College","some college"
"461","R_7PaiUNNOijvDkBP","GeorgiaGwinett",3.5,3.1,"female",22,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","no","Other race/ethincity","GGwinnettC","Currently In College","some college"
"462","R_3sjFZODuy47n9ra","GeorgiaGwinett",2,2,"male",23,"somewhat conservative (5)","middle (4)",NA,"under20,000","yes","Caucasian","GGwinnettC","Currently In College","some college"
"463","R_3JrrOGLvXzLcTcj","GeorgiaGwinett",4,2.4,"male",22,"somewhat liberal (3)","democrat (2)",NA,"not say","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"464","R_2YxfN7P12DIDkj8","GeorgiaGwinett",4,3,"female",18,"apolitical","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"465","R_VPAHwtPP4h79ri1","GeorgiaGwinett",2.5,2.4,"female",21,"strongly conservative (7)","strongly conservative (7)",NA,"100-199,999","yes",NA,"GGwinnettC","Currently In College","some college"
"466","R_2bZYGlwKUc60l1E","GeorgiaGwinett",3.5,4.3,"female",21,"apolitical","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","GGwinnettC","Currently In College","some college"
"467","R_5BwLAWlEznzq6ZP","GeorgiaGwinett",4,3,"female",25,"liberal (2)","somewhat democrat (3)","yes","20-39,999","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"468","R_1qVdIxDJFKKrNdQ","GeorgiaGwinett",3,3.1,"female",21,"strongly conservative (7)","strongly democrat (1)",NA,"80-99,999","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"469","R_33exxoX8qRLXXof","GeorgiaGwinett",3.5,3,"male",20,"center (4)","democrat (2)",NA,"not say","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"470","R_3sntj2JASxIiflP","GeorgiaGwinett",3.5,3.5,"female",22,"conservative (6)","somewhat conservative (5)",NA,"under20,000","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"471","R_0p0o20iOMuxc813","GeorgiaGwinett",3,2.7,"female",48,"center (4)","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"472","R_urkLUi8fdV4VzMd","GeorgiaGwinett",3.5,3.6,"female",23,"conservative (6)","conservative (6)",NA,"not say","yes","Caucasian","GGwinnettC","Currently In College","some college"
"473","R_1OUHnldFOgsrt4B","GeorgiaGwinett",4,3.2,"female",23,"center (4)","somewhat democrat (3)",NA,"100-199,999","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"474","R_R4cdv8F6iVBnatH","GeorgiaGwinett",4,4,"female",22,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
"475","R_2wF5B2Ry6zXnzSA","GeorgiaGwinett",3.5,3,"female",22,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","GGwinnettC","Currently In College","some college"
