"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2414","R_27r6ACgeWUdSump","tennknox",4,3,"female",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2415","R_YbFSLhmurtOWZJ7","tennknox",3.5,3,"male",NA,"center (4)","middle (4)",NA,"60-79,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2416","R_qIUP7nPS48ZINFL","tennknox",3.5,2.8,"female",NA,"center (4)","somewhat conservative (5)",NA,"40-59,999","yes",NA,"UT-Knoxville","Currently In College","some college"
"2417","R_3MG3QOs9gXbeh1D","tennknox",2.5,3,"female",NA,"somewhat liberal (3)","strongly democrat (1)",NA,"20-39,999","yes","Other race/ethincity","UT-Knoxville","Currently In College","some college"
"2418","R_oXnq409WsdfBKuJ","tennknox",4,3.8,"male",NA,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","UT-Knoxville","Currently In College","some college"
"2419","R_WDoTF7qZXCfkIbD","tennknox",4,2.3,"male",22,"somewhat conservative (5)","conservative (6)",NA,"20-39,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2420","R_cutMtotPBvuuxxz","tennknox",3,2.6,"female",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2421","R_4SDT2vqWhmmXFnj","tennknox",4,3.7,"female",NA,"center (4)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","UT-Knoxville","Currently In College","some college"
"2422","R_ywki5fArUkja91f","tennknox",4,2.2,"female",NA,"strongly conservative (7)","strongly conservative (7)",NA,"200-999,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2423","R_ey2PQi7GAQsHapP","tennknox",3,1.9,"male",NA,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2424","R_UKiODuTDvxOlV7z","tennknox",4,2.6,"female",NA,"conservative (6)","conservative (6)",NA,"60-79,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2425","R_3Iaw1qfUEgztcTX","tennknox",4,3.3,"female",NA,"somewhat conservative (5)","conservative (6)",NA,"under20,000","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2426","R_2X7rnNpwzHLO7nM","tennknox",4,2.9,"female",NA,"center (4)","middle (4)",NA,"not say","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2427","R_2wvi5U7EsxnFicU","tennknox",4,3.8,"female",NA,"apolitical","independent","yes","20-39,999","yes","Other race/ethincity","UT-Knoxville","Currently In College","some college"
"2428","R_1MTjw8yuGTQ2yLd","tennknox",4,2.6,"female",NA,"somewhat conservative (5)","middle (4)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2429","R_6QDeeUFTsWDn3KF","tennknox",4,3.8,"female",NA,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2430","R_TckKoMAaKdnIHnz","tennknox",4,2.1,"female",NA,"center (4)","middle (4)",NA,"20-39,999","yes",NA,"UT-Knoxville","Currently In College","some college"
"2431","R_3HGKQmDefN6jne2","tennknox",3.5,4,"male",NA,"apolitical","middle (4)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2432","R_1dofwoAs8fbkdUl","tennknox",4,3.4,"male",NA,"strongly conservative (7)","strongly conservative (7)",NA,"40-59,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2433","R_1ONcZAn2MGUPbjf","tennknox",4,3.7,"male",NA,"conservative (6)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2434","R_1rwB6Qfvq1WhV8k","tennknox",2.5,3,"male",NA,"center (4)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2435","R_UgXGC2pm03oBQHv","tennknox",3.5,2.4,"male",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2436","R_DzZaFKTcGrL5cGd","tennknox",4,2.4,"male",NA,"strongly conservative (7)","conservative (6)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2437","R_1dy8DzF9od00vCL","tennknox",4,3.7,"female",NA,"apolitical","independent",NA,"80-99,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2438","R_xzp39EAu9iscVW1","tennknox",3,2.3,"female",NA,"conservative (6)","strongly conservative (7)",NA,"200-999,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2439","R_afNATK95e4Wu8oN","tennknox",4,3.4,"female",NA,"center (4)","somewhat democrat (3)",NA,"100-199,999","yes",NA,"UT-Knoxville","Currently In College","some college"
"2440","R_3JgWoQDqbCvIlQW","tennknox",4,2.7,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2441","R_1mFt7koCU8MK8m5","tennknox",3,2,"male",NA,"somewhat conservative (5)","middle (4)",NA,"under20,000","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2442","R_31SeuqCMxfU8PFP","tennknox",4,3.7,"male",NA,"strongly liberal (1)","democrat (2)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2443","R_3IQdkEciJRwqEJL","tennknox",3.5,2.5,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2444","R_T5Wdqoi0tdi9fLX","tennknox",4,2.8,"male",NA,"conservative (6)","somewhat conservative (5)",NA,"60-79,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
"2445","R_3e1eQiirpoJwxtT","tennknox",3.5,2.3,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"100-199,999","yes","Caucasian","UT-Knoxville","Currently In College","some college"
