"","ResponseId","referrer","IDEA8_negativity","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"87","R_3GlFGYtaQukcnyE","northwestnazarene",2.5,2.6,"female",18,"conservative (6)","conservative (6)",NA,"100-199,999","yes","Caucasian","NWNazarine","Not In College","no college"
"1147","R_3EcnN4iq4xHqtAB","northwestnazarene",4,2.6,"female",22,"center (4)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1148","R_1QlLZAvRpIaJ1dc","northwestnazarene",4,2,"female",18,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1149","R_1OUgtNkPBKneDHk","northwestnazarene",3.5,3.1,"female",21,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","NWNazarine","Currently In College","some college"
"1150","R_3JFAoNVqsGGQ0n1","northwestnazarene",4,3.5,"female",20,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1151","R_2c89KxLZ6GAtUig","northwestnazarene",4,3.6,"female",28,"apolitical","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1152","R_1NwzpvS7Yw0G8WV","northwestnazarene",4,4.1,"female",22,"apolitical","independent",NA,"60-79,999","yes","Other race/ethincity","NWNazarine","Currently In College","some college"
"1153","R_2diq2NUiuINIINd","northwestnazarene",3.5,3.2,"female",21,"liberal (2)","democrat (2)",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
"1154","R_7NZ8qFNNhYd1N6h","northwestnazarene",3.5,4.2,"female",18,"center (4)","middle (4)",NA,"40-59,999","yes","Caucasian","NWNazarine","Currently In College","some college"
"1155","R_1eS6CWOUDS9wCsx","northwestnazarene",2.5,2,"female",18,"apolitical","independent",NA,"under20,000","yes","Caucasian","NWNazarine","Currently In College","some college"
