"","ResponseId","referrer","IDEA8_between","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"4","R_UmAcYCOHFxw8TBv","adamsstate",3.5,2,NA,NA,"somewhat conservative (5)","conservative (6)",NA,NA,NA,NA,"",NA,NA
"5","R_3oNRQpbh3zLtqym","adamsstate",3,3,NA,NA,"somewhat liberal (3)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"6","R_Y69XOURBCDXZd0R","adamsstate",3,3.2,NA,NA,"strongly liberal (1)","middle (4)",NA,NA,NA,NA,"",NA,NA
"7","R_1gOVKn7qRSpswn9","adamsstate",3.5,3,NA,NA,"conservative (6)","conservative (6)",NA,NA,NA,NA,"",NA,NA
"36","R_1OOBxAPPYH14BYY","adamsstate",4,4.1,"female",NA,"somewhat liberal (3)","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","","Not In College","some college"
"37","R_3fZekGwp7cIWYX2","adamsstate",3.5,2.8,"male",NA,"apolitical","independent",NA,"20-39,999","yes","Other race/ethincity","","Not In College","no college"
"38","R_2e57UwEsOWLgdSS","adamsstate",3.5,3.1,"female",NA,"conservative (6)","conservative (6)",NA,"60-79,999","yes",NA,"","Not In College","no college"
"39","R_3m4f0IbAqIeSukO","adamsstate",4,3.3,"female",18,"apolitical","strongly conservative (7)",NA,"20-39,999","yes","Other race/ethincity","AdamState","Not In College","no college"
"40","R_3oQK4n6zaxsYxaz","adamsstate",4,2.5,"male",18,"center (4)","democrat (2)",NA,"20-39,999","yes",NA,"AdamState","Not In College","no college"
"41","R_sdJ4kmTgc08ajsd","adamsstate",3.5,3.8,"male",25,"apolitical","independent",NA,"under20,000","yes","Other race/ethincity","","Not In College","no college"
"168","R_vC4FtURnQmdSJbj","adamsstate",3.5,2.8,"female",NA,"center (4)","independent",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"169","R_3HvNzQmbwTb54nG","adamsstate",4,3.9,"other",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"170","R_3ql8PVoKNIuR1uh","adamsstate",3,3.3,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"171","R_3nw3PRMAS9LML1P","adamsstate",3.5,3.4,"male",NA,"somewhat conservative (5)","conservative (6)",NA,"20-39,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"172","R_232c9iXXdYzFxTM","adamsstate",3.5,3.4,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"173","R_22LBk84ts8GMm7W","adamsstate",4,3.9,"female",NA,"center (4)","democrat (2)",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"174","R_3FQfQYcirFboAvx","adamsstate",4,2.2,"male",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"not say","yes","Caucasian","AdamState","Currently In College","some college"
"175","R_2TMMRapMd1CSO6G","adamsstate",3.5,2.7,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"176","R_1rcO6p6Q28b3XYe","adamsstate",4,1.8,"female",NA,"liberal (2)","independent",NA,"under20,000","yes",NA,"AdamState","Currently In College","some college"
"177","R_29jkoHvZxqFOOsL","adamsstate",3,2.5,"female",NA,"conservative (6)","conservative (6)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
"178","R_10SGNtXcRPxkKPL","adamsstate",3,2.5,"female",NA,"center (4)","democrat (2)",NA,"40-59,999","yes","Caucasian","AdamState","Currently In College","some college"
"179","R_10uS04Ubp4IwfYE","adamsstate",4,3.5,"male",NA,"center (4)","conservative (6)",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"180","R_AhRJhYLmfKrTJzH","adamsstate",1.5,1.2,"male",NA,"somewhat conservative (5)","somewhat conservative (5)","yes","20-39,999","yes","Other race/ethincity","AdamState","Currently In College","some college"
"181","R_1dshhiOR4EH7u1t","adamsstate",4,2.9,"female",NA,"center (4)","middle (4)",NA,"80-99,999","yes","Caucasian","AdamState","Currently In College","some college"
"182","R_1rH2QXWLNQSLNMT","adamsstate",3.5,3.1,"female",NA,"center (4)","democrat (2)",NA,"100-199,999","yes","Caucasian","AdamState","Currently In College","some college"
"183","R_2Bg4tR1HrQv6D8X","adamsstate",4,3.7,"male",NA,"somewhat conservative (5)","middle (4)",NA,"not say","yes",NA,"AdamState","Currently In College","some college"
"184","R_3Pt7zQy8ymZjLAB","adamsstate",3,2.3,"female",NA,"center (4)","democrat (2)",NA,"not say","yes","Other race/ethincity","AdamState","Currently In College","some college"
"185","R_sQZvt8xr3XGCwXT","adamsstate",4,3.4,"male",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","AdamState","Currently In College","some college"
