"","ResponseId","referrer","IDEA8_between","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"120","R_3MxIekcmwVE8xsB","acgreece",3.5,3.7,"female",22,"somewhat conservative (5)","somewhat conservative (5)",NA,"60-79,999","no","Caucasian","Kapodistrian","Currently In College","some college"
"121","R_8B10Ngqp3pWcqqZ","acgreece",2.5,3.8,"male",20,"somewhat liberal (3)","conservative (6)",NA,"40-59,999","no","Caucasian","Piraes","Currently In College","some college"
"122","R_2b1UTqKFLhWzJ34","acgreece",3,3.1,"female",22,"liberal (2)","somewhat democrat (3)",NA,"not say","no","Caucasian","ACG","Currently In College","some college"
"123","R_ZqrZHpaqfrgPhlL","acgreece",2,2.4,"male",26,"somewhat liberal (3)","somewhat democrat (3)",NA,"under20,000","no","Caucasian","ACG","Currently In College","some college"
"124","R_UihzHe19xeVHFa9","acgreece",3,3,"female",24,"somewhat liberal (3)","strongly democrat (1)",NA,"not say","no","Other race/ethincity","ACG","Currently In College","some college"
"125","R_24G9XvgDyG70C7Y","acgreece",3,3,"female",24,"liberal (2)","middle (4)",NA,"20-39,999","no","Caucasian","ACG","Currently In College","some college"
"126","R_1QsDGqNVEg3UVmr","acgreece",2.5,4,"female",23,"liberal (2)","strongly democrat (1)",NA,"not say","no","Caucasian","ACG","Currently In College","some college"
"127","R_1qfjJtGMGGefsyF","acgreece",4,3.3,"female",21,"liberal (2)","democrat (2)",NA,"not say","no","Caucasian","ACG","Currently In College","some college"
"128","R_e3BOQP4HMzXuvoB","acgreece",3.5,2,"female",23,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","no","Caucasian","ACG","Currently In College","some college"
"129","R_2B4jnD5h5s909ct","acgreece",4,2.8,"male",21,"liberal (2)","independent",NA,"20-39,999","no","Caucasian","Patras","Currently In College","some college"
"130","R_3JmBijdH1z82QU2","acgreece",4,3.7,"female",21,"somewhat liberal (3)","independent",NA,"20-39,999","no","Caucasian","ACG","Currently In College","some college"
"131","R_2v0uaPOXYQlnqnk","acgreece",3,2.9,"male",25,"somewhat conservative (5)","democrat (2)","yes","not say","no","Caucasian","ACG","Currently In College","some college"
"132","R_3sjMSa5neuzNatZ","acgreece",3.5,4.3,"female",20,"apolitical","independent",NA,"not say","no","Caucasian","ACG","Currently In College","some college"
"133","R_1LYgGk0vFABmwJ5","acgreece",3,2.9,"female",25,"somewhat liberal (3)","somewhat democrat (3)",NA,"not say","no","Caucasian","ACG","Currently In College","some college"
