"","ResponseId","referrer","IDEA8_between","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"95","R_125z5zdnETjS0jd","snevada",2.5,2.2,"female",37,"liberal (2)","strongly democrat (1)",NA,"60-79,999","yes","Other race/ethincity","CSNevada","Not In College","some college"
"1879","R_12sDTIswZPCWT2V","snevada",4,3.1,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","CSNevada","Currently In College","some college"
"1880","R_3lGfB843AzNouXO","snevada",3.5,2.8,"female",NA,"conservative (6)","conservative (6)",NA,"100-199,999","yes",NA,"CSNevada","Currently In College","some college"
"1881","R_porZWmm9H1MjCG5","snevada",4,3.9,"female",NA,"liberal (2)","strongly democrat (1)",NA,"not say","yes",NA,"CSNevada","Currently In College","some college"
"1882","R_27fM2msOO257uNp","snevada",3.5,2.3,"female",NA,"apolitical","strongly democrat (1)",NA,"40-59,999","yes","Other race/ethincity","CSNevada","Currently In College","some college"
"1883","R_2V4p4xgVgQy7SMk","snevada",4,2.9,"female",NA,"apolitical","independent",NA,"60-79,999","yes","Other race/ethincity","CSNevada","Currently In College","some college"
"1884","R_2OQ5qpi9CTywjf4","snevada",3,3.6,"female",NA,"apolitical","somewhat conservative (5)",NA,"under20,000","yes","Caucasian","CSNevada","Currently In College","some college"
"1885","R_2zpBaPc31FCrVB7","snevada",4,3.8,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","CSNevada","Currently In College","some college"
"1886","R_2eXolMgWb7Bj8Pw","snevada",3,3.1,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","CSNevada","Currently In College","some college"
"1887","R_22JHPtFAINiXIsv","snevada",4,3,"female",NA,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","CSNevada","Currently In College","some college"
"1888","R_3EB7OmWYhKexmpy","snevada",3,2.5,"female",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","CSNevada","Currently In College","some college"
"1889","R_3LdaB5DaWB3sO0W","snevada",3,2.3,"female",NA,"conservative (6)","conservative (6)",NA,"80-99,999","yes",NA,"UNLV","Currently In College","some college"
"1890","R_3dKPMRFscpV8313","snevada",3,4.2,"female",NA,"center (4)","independent",NA,"under20,000","yes","Caucasian","CSNevada","Currently In College","some college"
"1891","R_1q7E5eELkoDKPF1","snevada",4,3.5,"female",NA,"center (4)","conservative (6)",NA,"60-79,999","yes",NA,"UNLV","Currently In College","some college"
"1892","R_zeWrXx8kySc3FCh","snevada",3,2.7,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes",NA,"CSNevada","Currently In College","some college"
"1893","R_2yqk8UlTeFlXO4q","snevada",4,3.4,"female",NA,"center (4)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","CSNevada","Currently In College","some college"
