"","ResponseId","referrer","IDEA8_between","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"91","R_3EorfeQIIy4TMFQ","plu",2.5,3,"male",NA,"conservative (6)","middle (4)",NA,"100-199,999","yes","Caucasian","","Not In College","no college"
"93","R_3EchSoM0RXLCiRG","plu",3.5,2.5,"male",18,"somewhat liberal (3)","democrat (2)",NA,"under20,000","yes","Caucasian","PLU","Not In College","no college"
"1301","R_ylrlUzwFzk6D0L7","plu",4,2.9,"female",NA,"liberal (2)","democrat (2)",NA,"under20,000","yes","Other race/ethincity","PLU","Currently In College","some college"
"1302","R_3RxsdyQAbJwJKWK","plu",4,2.9,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","PLU","Currently In College","some college"
"1303","R_1rNbEmfkJQkopc5","plu",3.5,3.3,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","PLU","Currently In College","some college"
"1304","R_1ItkqL2yuD3Mo82","plu",4,3.4,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"PLU","Currently In College","some college"
"1305","R_zTIWeOowIY0VPQR","plu",4,2.6,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes",NA,"PLU","Currently In College","some college"
"1306","R_3JfQtsuRvmVi3s4","plu",3.5,1.9,"female",NA,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","PLU","Currently In College","some college"
"1307","R_2ccI0mwWBJgUA3D","plu",3.5,3,"female",NA,"strongly liberal (1)","democrat (2)",NA,"40-59,999","yes","Other race/ethincity","PLU","Currently In College","some college"
"1308","R_2tc817r1ndfTHAl","plu",4,4.5,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","PLU","Currently In College","some college"
"1309","R_3jSrgtSu59YxpQg","plu",3.5,3.3,"other",NA,"liberal (2)","democrat (2)",NA,"60-79,999","yes","Caucasian","PLU","Currently In College","some college"
"1310","R_869rMWvB780FYe5","plu",3.5,2.8,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","yes",NA,"PLU","Currently In College","some college"
"1311","R_3NDmSpf4Qk1z3yA","plu",4,4.1,"female",NA,"liberal (2)","strongly democrat (1)",NA,"40-59,999","yes","Caucasian","PLU","Currently In College","some college"
"1312","R_1Qa7PlpsShoKNnC","plu",4,2.5,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes","Caucasian","PLU","Currently In College","some college"
"1313","R_3hgLAKbVO6I9FnD","plu",4,2.9,"female",NA,"liberal (2)","democrat (2)",NA,"80-99,999","yes","Caucasian","PLU","Currently In College","some college"
"1314","R_3Hof4XtRDVIneCD","plu",4,2.3,"female",NA,"conservative (6)","conservative (6)",NA,"40-59,999","yes","Caucasian","PLU","Currently In College","some college"
"1315","R_3gMf09YXE3MOx9C","plu",3.5,3.5,"male",NA,"somewhat conservative (5)","middle (4)",NA,"under20,000","yes","Other race/ethincity","PLU","Currently In College","some college"
"1316","R_31NSS7CbfPwo24e","plu",3.5,3.7,"other",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","PLU","Currently In College","some college"
