"","ResponseId","referrer","IDEA8_exp","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"1660","R_5pZVKGoDU1Rxbep","riversidecc",4,3.1,"female",19,"liberal (2)","somewhat democrat (3)",NA,"100-199,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1661","R_a05oPweqLQnFyYd","riversidecc",4,3.5,"female",19,"apolitical","independent",NA,"not say","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1662","R_6KfyH9IwwUiiDKR","riversidecc",3.5,2.6,"male",20,"conservative (6)","conservative (6)",NA,"80-99,999","yes","Caucasian","RiversideCC","Currently In College","some college"
"1663","R_1nZmxXNGj6GapmP","riversidecc",2.5,4.1,"male",27,"somewhat liberal (3)","somewhat democrat (3)",NA,"40-59,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1664","R_3nBg1jkRzeNyzby","riversidecc",3.5,2.5,"female",19,"somewhat conservative (5)","somewhat conservative (5)",NA,"20-39,999","yes",NA,"RiversideCC","Currently In College","some college"
"1665","R_3VH7cPr7jFKeCXj","riversidecc",4,1.7,"male",26,"somewhat conservative (5)","independent",NA,"not say","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1666","R_1Lwh9TIBR6kWKZb","riversidecc",2.5,2.7,"male",18,"somewhat conservative (5)","somewhat democrat (3)",NA,"80-99,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1667","R_2wuyTg1hduHxRFH","riversidecc",2.5,2.1,"male",26,"center (4)","somewhat democrat (3)",NA,"20-39,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1668","R_1owfHRmvEi0WtSh","riversidecc",3,3.6,"female",18,"strongly liberal (1)","somewhat democrat (3)",NA,"not say","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
"1669","R_9srlhVxzSrlEaQl","riversidecc",4,3,"male",18,"apolitical","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","RiversideCC","Currently In College","some college"
"1670","R_6PzeWbjbCWCOfqV","riversidecc",3,3.1,"male",26,"apolitical","middle (4)","yes","20-39,999","yes","Caucasian","RiversideCC","Currently In College","some college"
"1671","R_2WBzlWVMIjXN9Qh","riversidecc",4,2.5,"male",19,"apolitical","democrat (2)",NA,"under20,000","yes",NA,"RiversideCC","Currently In College","some college"
"1672","R_qzttEhRtpNKbOmd","riversidecc",4,2.7,"female",18,"apolitical","middle (4)",NA,"40-59,999","yes","Other race/ethincity","RiversideCC","Currently In College","some college"
