"","ResponseId","referrer","IDEA8_exp","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"2029","R_31nKwc6SeUZn8jL","stockton",4,2.5,"female",NA,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","Stockton","Currently In College","some college"
"2030","R_1K8ZzebpWoyD6uA","stockton",3.5,2.9,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Stockton","Currently In College","some college"
"2031","R_1kZhXIoqdru4d3R","stockton",4,4,"female",NA,"liberal (2)","strongly democrat (1)",NA,"not say","yes","Other race/ethincity","Stockton","Currently In College","some college"
"2032","R_SPh0iKrxFCo3p6h","stockton",4,3.5,"female",NA,"liberal (2)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Stockton","Currently In College","some college"
"2033","R_cSfKnw3TPbVqqSR","stockton",4,3.2,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"80-99,999","yes",NA,"Stockton","Currently In College","some college"
"2034","R_QgDEUzAr7l4BedX","stockton",4,2.6,"female",NA,"somewhat conservative (5)","somewhat conservative (5)",NA,"100-199,999","yes","Caucasian","Stockton","Currently In College","some college"
"2035","R_2XjJtx9cy5TKQ36","stockton",4,2.5,"female",NA,"center (4)","middle (4)",NA,"not say","yes","Caucasian","Stockton","Currently In College","some college"
"2036","R_2qq6qie0nwMmI8z","stockton",4,3,"female",NA,"liberal (2)","democrat (2)",NA,"100-199,999","yes","Caucasian","Stockton","Currently In College","some college"
"2037","R_2uvPxblYnxCeGK4","stockton",2.5,3.5,"female",NA,"center (4)","somewhat democrat (3)",NA,"not say","yes","Caucasian","Stockton","Currently In College","some college"
"2038","R_1o7r8RRqmvck9Fi","stockton",4,3.4,"female",NA,"strongly liberal (1)","strongly democrat (1)",NA,"not say","yes","Caucasian","Stockton","Currently In College","some college"
"2039","R_2YQgdxe3igqlUc3","stockton",4,3,"female",NA,"apolitical","independent",NA,"20-39,999","yes","Other race/ethincity","Stockton","Currently In College","some college"
"2040","R_1oifxgDij4YWvPV","stockton",3.5,2.6,"female",NA,"apolitical","independent",NA,"60-79,999","yes","Caucasian","Stockton","Currently In College","some college"
"2041","R_3iF3jqgWKbsuQdn","stockton",1,2.2,"female",NA,"apolitical","independent",NA,"under20,000","yes","Caucasian","Stockton","Currently In College","some college"
"2042","R_1MVYEwQkS8mOYKt","stockton",3.5,1.9,"female",NA,"apolitical","independent",NA,"60-79,999","yes","Caucasian","Stockton","Currently In College","some college"
"2043","R_3MAoElHsWx9stsc","stockton",4,2.4,"female",NA,"center (4)","somewhat democrat (3)",NA,"under20,000","yes","Caucasian","Stockton","Currently In College","some college"
"2044","R_w5ebJR3z0EfKyAh","stockton",3.5,3,"female",NA,"liberal (2)","somewhat democrat (3)",NA,"60-79,999","yes",NA,"Stockton","Currently In College","some college"
"2045","R_qFp5bDSUHkK3ArL","stockton",4,3.8,"female",NA,"liberal (2)","democrat (2)",NA,"not say","yes","Caucasian","Stockton","Currently In College","some college"
"2046","R_11ZRxisCLB5shIK","stockton",3.5,2.6,"female",NA,"liberal (2)","democrat (2)",NA,"20-39,999","yes","Other race/ethincity","Stockton","Currently In College","some college"
"2047","R_3LgSsqJIHHK6SoQ","stockton",4,2.7,"male",NA,"liberal (2)","somewhat democrat (3)",NA,"60-79,999","yes",NA,"Stockton","Currently In College","some college"
"2048","R_1K9j4n47nK85Bwr","stockton",4,4.8,"female",NA,"apolitical","independent",NA,"60-79,999","yes","Caucasian","Stockton","Currently In College","some college"
"2049","R_1DpSVgNK2WGepmU","stockton",4,2.4,"female",NA,"liberal (2)","middle (4)",NA,"under20,000","yes","Caucasian","Stockton","Currently In College","some college"
