"","ResponseId","referrer","IDEA8_exp","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"23","R_2dWSCpXYNBDfz2v","samaug",4,1.8,NA,NA,"conservative (6)","strongly conservative (7)",NA,NA,NA,NA,"",NA,NA
"94","R_3QWf0L0WBXuxOGQ","samaug",4,3,"male",18,"apolitical","independent",NA,"20-39,999","yes","Caucasian","Samaug","Not In College","no college"
"1753","R_e4B1QJzFDqihgyZ","samaug",4,2.8,"female",18,"conservative (6)","strongly conservative (7)",NA,"under20,000","yes","Caucasian","Samaug","Currently In College","some college"
"1754","R_1NCyQfFQ9nS6wzE","samaug",4,2.7,"female",18,"conservative (6)","strongly conservative (7)",NA,"100-199,999","yes","Caucasian","Samaug","Currently In College","some college"
"1755","R_2EAHtZnShZZyfbP","samaug",4,2.9,"female",20,"apolitical","strongly democrat (1)",NA,"under20,000","yes","Other race/ethincity","Samaug","Currently In College","some college"
"1756","R_2V7njCNwv7La0ZP","samaug",4,1.7,"female",21,"liberal (2)","somewhat democrat (3)",NA,"80-99,999","yes",NA,"Samaug","Currently In College","some college"
"1757","R_xryJBM8NY8bAlZD","samaug",3,3.3,"female",24,"center (4)","middle (4)",NA,"under20,000","yes","Caucasian","Samaug","Currently In College","some college"
"1758","R_1exz3bknyDCeGzS","samaug",4,1.9,"female",18,"liberal (2)","somewhat democrat (3)",NA,"40-59,999","yes","Caucasian","Samaug","Currently In College","some college"
"1759","R_1ds2OpjJH90Kgk3","samaug",4,2.7,"female",18,"apolitical","independent",NA,"60-79,999","yes","Caucasian","Samaug","Currently In College","some college"
"1760","R_2v87kDh4pf2fbnu","samaug",3.5,3,"other",19,"center (4)","middle (4)",NA,"40-59,999","yes","Caucasian","Samaug","Currently In College","some college"
"1761","R_zdsbKsrHU1kq99L","samaug",4,3.6,"female",18,"apolitical","strongly democrat (1)",NA,"80-99,999","yes","Other race/ethincity","Samaug","Currently In College","some college"
"1762","R_eJAxvSkp0Rs4qqt","samaug",4,3.1,"male",18,"apolitical","conservative (6)",NA,"not say","yes","Caucasian","Samaug","Currently In College","some college"
"1763","R_3nDzsYDFxsp3weL","samaug",3.5,3,"female",19,"conservative (6)","strongly conservative (7)",NA,"not say","yes","Caucasian","Samaug","Currently In College","some college"
"1764","R_upPIwjCybhkGURb","samaug",4,3.3,"female",19,"center (4)","conservative (6)",NA,"20-39,999","yes","Other race/ethincity","Samaug","Currently In College","some college"
"1765","R_28Y6NpaZQLC5twX","samaug",4,3,"female",18,"somewhat conservative (5)","conservative (6)",NA,"not say","yes","Caucasian","Samaug","Currently In College","some college"
