"","ResponseId","referrer","IDEA8_exp","Stress","sex","age","politics","party","armedservices","income","USresidency","RaceDichotomized","School_coded","EducationCoded","EducationDichotomized"
"25","R_6sO4a1z8iDHY1kV","StGeorges",3.5,3.7,NA,NA,"apolitical","democrat (2)",NA,NA,NA,NA,"",NA,NA
"27","R_305Key80H7Ngi5j","StGeorges",3,2.7,NA,NA,"conservative (6)","somewhat democrat (3)",NA,NA,NA,NA,"",NA,NA
"96","R_1ocnmDdiI7iMQ9X","StGeorges",2.5,3.1,"female",21,"center (4)","democrat (2)",NA,"not say","no","Other race/ethincity","StGeorges","Not In College","no college"
"97","R_2S32Sx0KOo2BgMs","StGeorges",3,3,"female",32,"apolitical","independent",NA,"not say","no","Other race/ethincity","StGeorges","Not In College","no college"
"98","R_1KqZDnDKWqvqcSa","StGeorges",3.5,3.4,"male",22,"apolitical","independent",NA,"not say","no","Other race/ethincity","","Not In College","no college"
"99","R_22y7uLZWzTI3s2O","StGeorges",4,3.1,"female",23,"strongly liberal (1)","strongly democrat (1)",NA,"40-59,999","no",NA,"StGeorges","Not In College","no college"
"100","R_28zYNLtoYHUK24M","StGeorges",4,3.1,"female",26,"apolitical","strongly democrat (1)",NA,"not say","no","Other race/ethincity","StGeorges","Not In College","no college"
"1959","R_2BhBKwXTxFJECJt","StGeorges",2.5,3.1,"female",25,"liberal (2)","democrat (2)",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1960","R_1DLOJSE9D2PTGQr","StGeorges",2.5,3.8,"female",21,"liberal (2)","independent",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1961","R_1MLZuixXpfAKWXY","StGeorges",3,2.4,"female",25,"apolitical","middle (4)",NA,"not say","no",NA,"StGeorges","Currently In College","some college"
"1962","R_DM0AMqNatMtraVz","StGeorges",3,3.5,"female",19,"conservative (6)","middle (4)",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1963","R_dp8T55s5Z8l3nKd","StGeorges",3,3.6,"female",35,"apolitical","democrat (2)",NA,"under20,000","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1964","R_2uJ4F6XHIVA5jLO","StGeorges",4,3.9,"female",18,"apolitical","independent",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1965","R_1jrCueJLMwyBQEG","StGeorges",4,2.8,"female",23,"apolitical","independent",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1966","R_zfiAXwOzjsI5ZkJ","StGeorges",3.5,3,"male",19,"liberal (2)","independent",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1967","R_5dlLQzDR3EBh5pD","StGeorges",3.5,2.5,"male",32,"liberal (2)","independent",NA,"20-39,999","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1968","R_1kIwxTYzrZ3FB2m","StGeorges",3,2.1,"female",23,"somewhat conservative (5)","independent",NA,"under20,000","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1969","R_0B4gtR1WbBTM34Z","StGeorges",3.5,2.6,"female",22,NA,NA,NA,"not say","no",NA,"StGeorges","Currently In College","some college"
"1970","R_6WLIWs1Xs2u7Vv3","StGeorges",3.5,3.7,"female",33,"apolitical","independent",NA,"not say","no",NA,"StGeorges","Currently In College","some college"
"1971","R_11gyCdnzpxAimFV","StGeorges",3,2.7,"male",21,"somewhat conservative (5)","somewhat conservative (5)",NA,"200-999,999","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1972","R_3QFOpJZISHn1ME9","StGeorges",3,2.9,"female",19,"apolitical","middle (4)",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1973","R_2VDTPb0RvqemhYC","StGeorges",3,3.3,"female",26,"strongly conservative (7)","strongly democrat (1)",NA,"not say","no","Other race/ethincity","","Currently In College","some college"
"1974","R_1F4VD768SxNs4Rf","StGeorges",3.5,3,"male",23,"apolitical","independent",NA,"20-39,999","yes","Other race/ethincity","Omega","Currently In College","some college"
"1975","R_3szQyS8wd1dQx0Z","StGeorges",4,3.5,"male",22,"somewhat liberal (3)","independent",NA,"40-59,999","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1976","R_3iwg5n4AE52ZPCm","StGeorges",3,3.2,"male",20,"strongly liberal (1)","independent",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"1977","R_NWFWnxlP1soIISJ","StGeorges",4,3.7,"female",20,"apolitical","independent",NA,NA,"no","Caucasian","London","Currently In College","some college"
"1978","R_2aWiI7whFCxc227","StGeorges",4,2.8,"female",24,"somewhat conservative (5)","middle (4)",NA,"under20,000","no",NA,"StGeorges","Currently In College","some college"
"1979","R_3D6mEmL35SKzt6f","StGeorges",4,3.4,"female",21,"center (4)","somewhat democrat (3)",NA,"not say","no","Other race/ethincity","StGeorges","Currently In College","some college"
"2724","R_2Ei6UfeBsyJgyBw","StGeorges",3.5,2.8,"female",24,"center (4)","democrat (2)",NA,"under20,000","no","Other race/ethincity","StGeorges","Completed 2 year degree","some college"
