itemID,Condition,stimDV,stimSD,N
2,Prominent2nd,12.4615384615385,4.58128824481358,1794
2,Prominent1st,12.3585011185682,4.48370804348911,1788
3,Prominent2nd,9.82385730211817,4.39504480062274,1794
3,Prominent1st,9.73937360178971,4.29107088810928,1788
4,Prominent2nd,14.0978747203579,3.9614731002035,1788
4,Prominent1st,14.1454849498328,4.09037805755231,1794
5,Prominent2nd,13.6705685618729,5.03840830951605,1794
5,Prominent1st,13.6006711409396,5.06890844160604,1788
6,Prominent2nd,11.5967561521253,4.71066971559035,1788
6,Prominent1st,12.0501672240803,4.63993462015651,1794
7,Prominent2nd,6.71812080536913,4.50529334173468,1788
7,Prominent1st,6.99275362318841,4.70495376803459,1794
8,Prominent2nd,13.2790827740492,4.2484229732023,1788
8,Prominent1st,13.5719063545151,4.31402750166783,1794
9,Prominent2nd,7.45693512304251,4.61862146578931,1788
9,Prominent1st,7.52229654403567,4.64810848779964,1794
10,Prominent2nd,6.98266219239374,4.66772020745316,1788
10,Prominent1st,7.23188405797102,4.63849506768777,1794
11,Prominent2nd,12.8467112597547,4.15019507107316,1794
11,Prominent1st,12.8087248322148,4.0918787470129,1788
12,Prominent2nd,7.09810479375697,4.42529447700353,1794
12,Prominent1st,6.83668903803132,4.36539741276866,1788
13,Prominent2nd,13.574384787472,4.55084481006766,1788
13,Prominent1st,13.8901895206243,4.60009016470978,1794
14,Prominent2nd,10.0535117056856,4.98670082273968,1794
14,Prominent1st,9.5917225950783,4.88536509449922,1788
15,Prominent2nd,8.37192393736018,4.66887145957337,1788
15,Prominent1st,8.57190635451505,4.65348187053421,1794
16,Prominent2nd,11.0144927536232,4.43630154949369,1794
16,Prominent1st,11.0430648769575,4.49682372542008,1788
17,Prominent2nd,12.1923076923077,4.80916661937064,1794
17,Prominent1st,12.2444071588367,4.81732290054768,1788
18,Prominent2nd,14.3779264214047,4.03634947182742,1794
18,Prominent1st,14.4093959731544,4.18021040238389,1788
19,Prominent2nd,13.8182831661093,4.17297230849,1794
19,Prominent1st,13.6493288590604,4.27804805121458,1788
20,Prominent2nd,11.0425055928412,4.5978005967346,1788
20,Prominent1st,11.2865105908584,4.54786366229823,1794
21,Prominent2nd,12.2326621923937,4.59064110402054,1788
21,Prominent1st,12.2263099219621,4.68566408831368,1794
22,Prominent2nd,12.3840579710145,4.27357697427242,1794
22,Prominent1st,12.4004474272931,4.29098817783061,1788
