"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"229","10","CarletonUniversity","HighPower",4,"24","First-year","Female","Other","Pass"
"230","11","CarletonUniversity","HighPower",3,"21","First-year","Male","Native Hawaiian and other Pacific Islander","Pass"
"232","13","CarletonUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"233","14","CarletonUniversity","LowPower",2,"17","First-year","Female","Latino or Hispanic","Pass"
"236","17","CarletonUniversity","LowPower",3,"18","First-year","Female","Other","Pass"
"237","18","CarletonUniversity","LowPower",1,"20","Sophomore","Male","African-American","Fail"
"238","19","CarletonUniversity","HighPower",4,"18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"241","21","CarletonUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"243","23","CarletonUniversity","LowPower",4,"18","Sophomore","Female","African-American","Pass"
"244","25","CarletonUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"245","26","CarletonUniversity","HighPower",5,"17","First-year","Female","Other","Fail"
"246","27","CarletonUniversity","LowPower",1,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"249","3","CarletonUniversity","HighPower",1,"26","Junior","Female","Multiracial",NA
"250","30","CarletonUniversity","LowPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"252","32","CarletonUniversity","HighPower",3,"19","Junior","Female","African-American","Pass"
"253","33","CarletonUniversity","HighPower",5,"18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"254","34","CarletonUniversity","HighPower",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"256","36","CarletonUniversity","LowPower",4,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"257","37","CarletonUniversity","LowPower",3,"20","Sophomore","Female","Asian-American","Pass"
"259","39","CarletonUniversity","HighPower",6,"20","Junior","Female","African-American","Pass"
"261","40","CarletonUniversity","HighPower",2,"21","Senior","Female","Multiracial","Pass"
"262","41","CarletonUniversity","HighPower",4,"22","Sophomore","Female","African-American","Fail"
"263","42","CarletonUniversity","LowPower",5,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"265","44","CarletonUniversity","HighPower",5,"18","Sophomore","Male","White, non-Hispanic or latino","Pass"
"266","45","CarletonUniversity","LowPower",5,"27","Junior","Female","Other","Pass"
"269","6","CarletonUniversity","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"270","7","CarletonUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"271","8","CarletonUniversity","LowPower",5,"17","First-year","Male","White, non-Hispanic or latino","Pass"
"272","9","CarletonUniversity","LowPower",4,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"276",NA,"CarletonUniversity","LowPower",5,"29","First-year","Female","African-American","Fail"
"277",NA,"CarletonUniversity","HighPower",5,"20","Sophomore","Female","African-American","Fail"
