"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"1906","1","OSUNewark","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"1908","100","OSUNewark","HighPower",1,NA,"First-year","Male","African-American","Pass"
"1909","101","OSUNewark","LowPower",3,"21",NA,"Female","White, non-Hispanic or latino","Pass"
"1910","102","OSUNewark","HighPower",5,"22","Junior","Female","White, non-Hispanic or latino","Pass"
"1911","103","OSUNewark","HighPower",1,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"1914","106","OSUNewark","HighPower",1,"19","First-year","Male","Multiracial","Fail"
"1915","107","OSUNewark","HighPower",3,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"1916","108","OSUNewark","LowPower",4,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"1918","11","OSUNewark","LowPower",6,"18","Other","Female","White, non-Hispanic or latino","Fail"
"1919","110","OSUNewark","HighPower",1,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"1920","111","OSUNewark","LowPower",4,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"1921","112","OSUNewark","LowPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"1922","113","OSUNewark","LowPower",5,"20","Junior","Female","Latino or Hispanic","Pass"
"1923","114","OSUNewark","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1924","115","OSUNewark","HighPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"1925","116","OSUNewark","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1926","117","OSUNewark","HighPower",1,"18","First-year","Male","Other","Fail"
"1929","12","OSUNewark","LowPower",6,"21","Junior","Female","White, non-Hispanic or latino","Fail"
"1930","120","OSUNewark","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"1931","121","OSUNewark","LowPower",5,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"1933","123","OSUNewark","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1934","124","OSUNewark","HighPower",3,"18","First-year","Female","African-American","Pass"
"1935","125","OSUNewark","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1936","126","OSUNewark","HighPower",5,NA,"First-year","Male","White, non-Hispanic or latino","Pass"
"1937","127","OSUNewark","HighPower",2,"19","First-year","Male","African-American","Fail"
