"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"2482","","TexasAandM","HighPower",2,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2484","","TexasAandM","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2485","","TexasAandM","LowPower",6,"22","Senior","Male","White, non-Hispanic or latino","Pass"
"2486","10","TexasAandM","HighPower",5,"19","Sophomore","Female","Multiracial","Fail"
"2487","100","TexasAandM","HighPower",3,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2488","101","TexasAandM","HighPower",5,"18","First-year",NA,NA,"Fail"
"2489","102","TexasAandM","LowPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2490","103","TexasAandM","LowPower",5,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"2491","104","TexasAandM","HighPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2492","105","TexasAandM","HighPower",2,"18","First-year","Female","Multiracial","Fail"
"2493","106","TexasAandM","LowPower",2,"19","Sophomore","Male","African-American","Pass"
"2494","107","TexasAandM","LowPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2496","109","TexasAandM","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2497","11","TexasAandM","HighPower",4,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"2498","110","TexasAandM","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2500","112","TexasAandM","HighPower",3,"18","First-year","Male","Asian-American","Pass"
"2501","113","TexasAandM","HighPower",2,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2502","114","TexasAandM","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2505","117","TexasAandM","LowPower",1,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"2506","118","TexasAandM","LowPower",5,"20","Sophomore","Male","Latino or Hispanic","Pass"
"2507","119","TexasAandM","LowPower",5,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2508","12","TexasAandM","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2509","120","TexasAandM","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2510","121","TexasAandM","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2513","124","TexasAandM","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2516","127","TexasAandM","LowPower",6,"18","First-year","Female","Latino or Hispanic","Fail"
"2518","13","TexasAandM","HighPower",2,"20","Junior","Male","Asian-American","Pass"
"2519","130","TexasAandM","HighPower",2,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
