"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"3422","10","UniversityOfVirginia","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"3426","103","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"3427","104","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","African-American","Pass"
"3428","105","UniversityOfVirginia","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3429","106","UniversityOfVirginia","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"3434","110","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","Asian-American","Pass"
"3435","111","UniversityOfVirginia","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3436","112","UniversityOfVirginia","object-centric","Ego-Inconsistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"3439","115","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","18","First-year","Male","Asian-American","Pass"
"3440","116","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3441","117","UniversityOfVirginia","object-centric","Ego-Consistent","Yes","21","Junior","Female","Other","Pass"
"3442","118","UniversityOfVirginia","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3446","121","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3447","122","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"3448","123","UniversityOfVirginia","object-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3449","124","UniversityOfVirginia","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3452","127","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3453","128","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","Afghan","Pass"
"3454","129","UniversityOfVirginia","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3455","13","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","Asian-American","Pass"
"3456","130","UniversityOfVirginia","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"3459","133","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"3460","134","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","19","First-year","Male","Latino or Hispanic","Pass"
"3461","135","UniversityOfVirginia","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"3462","136","UniversityOfVirginia","object-centric","Ego-Consistent","Yes","18","First-year","Male","African-American","Pass"
"3465","139","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","19","First-year","Male","Asian-American","Pass"
"3467","140","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","19","Sophomore",NA,"White, non-Hispanic or latino","Pass"
"3469","142","UniversityOfVirginia","object-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"3472","145","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"3473","146","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","Multiracial","Pass"
"3475","148","UniversityOfVirginia","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","Asian-American","Pass"
"3479","151","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3480","152","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"3481","153","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","22","Senior","Female","Multiracial","Fail"
"3486","158","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3488","16","UniversityOfVirginia","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"3492","164","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3494","166","UniversityOfVirginia","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3497","169","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"3498","169","UniversityOfVirginia","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"3500","170","UniversityOfVirginia","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
