"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"1756","10","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","almost 19","First-year","Female","White, non-Hispanic or latino","Pass"
"1760","103","NovaSoutheasternUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1761","104","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"1762","105","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Other","Pass"
"1766","109","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1768","110","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"1769","111","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","21","Senior","Female","Asian-American","Fail"
"1770","112","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","Asian-American","Pass"
"1773","115","NovaSoutheasternUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1774","116","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1775","117","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1780","121","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","Latino or Hispanic","Pass"
"1781","122","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"1782","123","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"1786","127","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","13","First-year","Female","Multiracial","Pass"
"1787","128","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1788","129","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1789","13","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"1790","130","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Male","African-American","Pass"
"1794","134","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"1796","136","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"1799","14","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1801","16","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1804","19","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1805","20","NovaSoutheasternUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1806","21","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","Latino or Hispanic","Fail"
"1807","22","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","24","First-year","Male","White, non-Hispanic or latino","Pass"
"1810","25","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"1811","26","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","21","Junior","Male","White, non-Hispanic or latino","Pass"
"1816","31","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","Latino or Hispanic","Fail"
"1817","32","NovaSoutheasternUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","Multiracial","Pass"
"1818","33","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Fail"
"1819","34","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","24","Junior",NA,"Multiracial","Fail"
"1822","37","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"1823","38","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","African-American","Fail"
"1824","39","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","49","Junior","Female","Multiracial","Pass"
"1825","40","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Multiracial","Fail"
"1829","44","NovaSoutheasternUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1830","45","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1831","46","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1834","49","NovaSoutheasternUniversity","ego-centric","Ego-Inconsistent","Yes","18","Sophomore","Female","African-American","Pass"
"1835","50","NovaSoutheasternUniversity","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"1837","52","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Other","Fail"
"1840","55","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","Other","Fail"
"1841","56","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","Sophomore","Male","Multiracial","Pass"
"1842","57","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"1843","58","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","25","Junior","Female","Multiracial","Fail"
"1847","62","NovaSoutheasternUniversity","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"1848","63","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"1852","67","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1853","68","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","21","Junior","Male","White, non-Hispanic or latino","Pass"
"1855","7","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Fail"
"1856","70","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Multiracial","Pass"
"1859","73","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","22","Other","Female","African-American","Pass"
"1860","74","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Fail"
"1862","76","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1865","79","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Pass"
"1866","8","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","22","Sophomore","Female","Multiracial","Pass"
"1867","80","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","21","Junior","Female","Asian-American","Fail"
"1868","81","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Fail"
"1872","85","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Fail"
"1873","86","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"1877","9","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","21","Senior","Female","Asian-American","Fail"
"1879","91","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1880","92","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","20","Junior","Female","Latino or Hispanic","Pass"
"1882","94","NovaSoutheasternUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"1885","97","NovaSoutheasternUniversity","ego-centric","Ego-Consistent","Yes","21","Junior","Female","African-American","Pass"
"1887","99","NovaSoutheasternUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
