"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"417","10","MiamiUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"418","100","MiamiUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"421","103","MiamiUniversity","ego-centric","Ego-Consistent","Yes","22","Sophomore",NA,"Asian-American","Fail"
"422","104","MiamiUniversity","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"423","105","MiamiUniversity","object-centric","Ego-Inconsistent","Yes","20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"426","13","MiamiUniversity","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"427","14","MiamiUniversity","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"428","15","MiamiUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"432","19","MiamiUniversity","ego-centric","Ego-Inconsistent","Yes","19",NA,"Female","White, non-Hispanic or latino","Fail"
"433","20","MiamiUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","African-American","Pass"
"438","25","MiamiUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"439","26","MiamiUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"440","27","MiamiUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"444","31","MiamiUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","African-American","Fail"
"445","32","MiamiUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"446","33","MiamiUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Native American and Alaska Native","Pass"
"447","34","MiamiUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"450","37","MiamiUniversity","ego-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"451","38","MiamiUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"453","40","MiamiUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","African-American","Pass"
"456","43","MiamiUniversity","ego-centric","Ego-Consistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Pass"
