"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"3656","10","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","Asian-American","Fail"
"3659","102","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Pass"
"3660","103","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"3663","13","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"3664","14","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","21","Sophomore","Male","Latino or Hispanic","Pass"
"3665","15","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","21","Junior","Male","White, non-Hispanic or latino","Pass"
"3666","16","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3669","19","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","Junior","Female","White, non-Hispanic or latino","Pass"
"3670","20","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Pass"
"3671","21","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","22","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3673","23","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3675","25","VirginiaCommonwealthUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3676","26","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","22","Junior","Male","White, non-Hispanic or latino","Fail"
"3677","27","VirginiaCommonwealthUniversity","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"3678","28","VirginiaCommonwealthUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","African-American","Fail"
"3681","31","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Fail"
"3683","33","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","21","Senior","Male","White, non-Hispanic or latino","Pass"
"3684","34","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"3688","38","VirginiaCommonwealthUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3689","39","VirginiaCommonwealthUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","Multiracial","Pass"
"3693","43","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Fail"
"3694","44","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3695","45","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"3699","49","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3700","50","VirginiaCommonwealthUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","African-American","Fail"
"3705","55","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"3706","56","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3707","57","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Male","Other","Fail"
"3708","58","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"3711","61","VirginiaCommonwealthUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","African-American","Fail"
"3712","62","VirginiaCommonwealthUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"3713","63","VirginiaCommonwealthUniversity","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"3714","64","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","22","Junior","Male","Latino or Hispanic","Pass"
"3717","67","VirginiaCommonwealthUniversity","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","African-American","Pass"
"3718","68","VirginiaCommonwealthUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3719","69","VirginiaCommonwealthUniversity","object-centric","Ego-Consistent","Yes","19","First-year","Male","Asian-American","Pass"
