"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"282","103","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"285","106","IthacaCollege","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"288","109","IthacaCollege","ego-centric","Ego-Consistent","Yes","19","Sophomore",NA,"White, non-Hispanic or latino","Fail"
"295","115","IthacaCollege","ego-centric","Ego-Inconsistent","Yes","21","Senior","Male","White, non-Hispanic or latino","Pass"
"298","118","IthacaCollege","object-centric","Ego-Consistent","Yes","21","Senior","Female","White, non-Hispanic or latino","Pass"
"302","121","IthacaCollege","ego-centric","Ego-Consistent","Yes","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"309","128","IthacaCollege","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","Multiracial","Pass"
"310","129","IthacaCollege","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","Other","Fail"
"311","13","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"317","14","IthacaCollege","ego-centric","Ego-Consistent","Yes","21","Senior","Female","White, non-Hispanic or latino","Pass"
"323","20","IthacaCollege","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Asian-American","Pass"
"324","21","IthacaCollege","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"325","22","IthacaCollege","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"328","25","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"329","26","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"330","27","IthacaCollege","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"331","28","IthacaCollege","object-centric","Ego-Consistent","Yes","18","First-year","Female","Other","Fail"
"334","31","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"335","32","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"340","37","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"341","38","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"346","43","IthacaCollege","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"348","45","IthacaCollege","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"352","49","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"359","56","IthacaCollege","ego-centric","Ego-Consistent","Yes","21","Junior","Male","White, non-Hispanic or latino","Pass"
"361","58","IthacaCollege","object-centric","Ego-Consistent","Yes","21","Senior","Female","White, non-Hispanic or latino","Pass"
"364","61","IthacaCollege","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"366","63","IthacaCollege","object-centric","Ego-Inconsistent","Yes","22","Sophomore","Female","White, non-Hispanic or latino","Pass"
"371","68","IthacaCollege","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"373","7","IthacaCollege","ego-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Fail"
"374","70","IthacaCollege","object-centric","Ego-Consistent","Yes","21","Junior","Female","White, non-Hispanic or latino","Pass"
"378","74","IthacaCollege","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"380","76","IthacaCollege","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"383","79","IthacaCollege","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"386","81","IthacaCollege","object-centric","Ego-Inconsistent","Yes","21","Senior","Male","White, non-Hispanic or latino","Pass"
"391","86","IthacaCollege","ego-centric","Ego-Consistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Pass"
"397","91","IthacaCollege","object-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Fail"
"403","97","IthacaCollege","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"405","99","IthacaCollege","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
