"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"2486","10","TexasAandM","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Multiracial","Fail"
"2487","100","TexasAandM","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2490","103","TexasAandM","ego-centric","Ego-Consistent","Yes","22","Senior","Female","White, non-Hispanic or latino","Pass"
"2491","104","TexasAandM","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2493","106","TexasAandM","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","African-American","Pass"
"2496","109","TexasAandM","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2499","111","TexasAandM","object-centric","Ego-Consistent","Yes","20","Sophomore","Female","African-American","Fail"
"2500","112","TexasAandM","object-centric","Ego-Consistent","Yes","18","First-year","Male","Asian-American","Pass"
"2503","115","TexasAandM","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2504","116","TexasAandM","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2505","117","TexasAandM","object-centric","Ego-Inconsistent","Yes","21","Junior","Male","White, non-Hispanic or latino","Pass"
"2506","118","TexasAandM","object-centric","Ego-Inconsistent","Yes","20","Sophomore","Male","Latino or Hispanic","Pass"
"2510","121","TexasAandM","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2511","122","TexasAandM","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2513","124","TexasAandM","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2516","127","TexasAandM","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Latino or Hispanic","Fail"
"2517","128","TexasAandM","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2518","13","TexasAandM","ego-centric","Ego-Inconsistent","Yes","20","Junior","Male","Asian-American","Pass"
"2522","133","TexasAandM","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2523","134","TexasAandM","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2524","135","TexasAandM","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2525","136","TexasAandM","object-centric","Ego-Consistent","Yes","20","Junior","Male","Asian-American","Pass"
"2527","139","TexasAandM","ego-centric","Ego-Inconsistent","Yes","19","First-year","Male","Latino or Hispanic","Fail"
"2528","14","TexasAandM","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2529","140","TexasAandM","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2530","141","TexasAandM","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","Latino or Hispanic","Pass"
"2531","142","TexasAandM","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2534","145","TexasAandM","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2535","146","TexasAandM","ego-centric","Ego-Inconsistent","Yes","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2536","147","TexasAandM","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2537","148","TexasAandM","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2539","15","TexasAandM","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2541","151","TexasAandM","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
