"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"228","1","CarletonUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"232","13","CarletonUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"235","16","CarletonUniversity","object-centric","Ego-Inconsistent","Yes","25","Sophomore","Female","White, non-Hispanic or latino","Pass"
"238","19","CarletonUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"239","2","CarletonUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"240","20","CarletonUniversity","ego-centric","Ego-Consistent","Yes","16","First-year","Female","African-American","Fail"
"241","21","CarletonUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"242","22","CarletonUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Other","Pass"
"244","25","CarletonUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"245","26","CarletonUniversity","ego-centric","Ego-Consistent","Yes","17","First-year","Female","Other","Fail"
"246","27","CarletonUniversity","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"247","28","CarletonUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"251","31","CarletonUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","Native Hawaiian and other Pacific Islander","Pass"
"252","32","CarletonUniversity","ego-centric","Ego-Consistent","Yes","19","Junior","Female","African-American","Pass"
"253","33","CarletonUniversity","object-centric","Ego-Consistent","Yes","18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"254","34","CarletonUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"257","37","CarletonUniversity","ego-centric","Ego-Inconsistent","Yes","20","Sophomore","Female","Asian-American","Pass"
"258","38","CarletonUniversity","ego-centric","Ego-Consistent","Yes","22","First-year","Female","Multiracial","Fail"
"259","39","CarletonUniversity","object-centric","Ego-Consistent","Yes","20","Junior","Female","African-American","Pass"
"261","40","CarletonUniversity","object-centric","Ego-Consistent","Yes","21","Senior","Female","Multiracial","Pass"
"264","43","CarletonUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"270","7","CarletonUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"271","8","CarletonUniversity","ego-centric","Ego-Inconsistent","Yes","17","First-year","Male","White, non-Hispanic or latino","Pass"
