"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"2066","10","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2067","100","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2070","103","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2075","109","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2077","110","PacificLutheranUniversity","ego-centric","Ego-Inconsistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2078","111","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"2080","13","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","Other","Female","White, non-Hispanic or latino","Pass"
"2081","14","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2082","15","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2083","16","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Fail"
"2086","19","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","20","Other","Female","White, non-Hispanic or latino","Fail"
"2087","20","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","17","First-year","Female","White, non-Hispanic or latino","Pass"
"2088","21","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2089","22","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes","18","Other","Female","Asian-American","Pass"
"2092","25","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","Sophomore","Female","Asian-American","Fail"
"2093","26","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2094","27","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2098","31","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2099","32","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","African-American","Pass"
"2100","33","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2101","34","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Multiracial","Pass"
"2104","37","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2105","38","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2106","39","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","African-American","Fail"
"2107","40","PacificLutheranUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2110","43","PacificLutheranUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2111","44","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2116","49","PacificLutheranUniversity","ego-centric","Ego-Inconsistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"2117","50","PacificLutheranUniversity","ego-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2118","51","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Male","Asian-American","Pass"
"2122","55","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2123","56","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"2124","57","PacificLutheranUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Fail"
"2128","61","PacificLutheranUniversity","ego-centric","Ego-Inconsistent","Yes","22","Senior","Male","White, non-Hispanic or latino","Pass"
"2129","62","PacificLutheranUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
