"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"877","10","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","21","Junior","Female","White, non-Hispanic or latino","Pass"
"878","100","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"881","103","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"882","104","MontanaStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"884","106","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"887","109","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"889","110","MontanaStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Asian-American","Fail"
"891","112","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","21","First-year","Male","White, non-Hispanic or latino","Fail"
"895","116","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"896","117","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","22","Senior","Female","White, non-Hispanic or latino","Fail"
"897","118","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"902","122","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"907","127","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"908","128","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"911","130","MontanaStateUniversity","object-centric","Ego-Consistent","Yes","22","Junior","Male","White, non-Hispanic or latino","Pass"
"914","133","MontanaStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Asian-American","Pass"
"915","134","MontanaStateUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"916","135","MontanaStateUniversity","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
