"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"97","1","BradleyUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"98","10","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"102","103","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","23","Senior","Female","White, non-Hispanic or latino","Pass"
"104","105","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"105","106","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"108","109","BradleyUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"110","110","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"112","112","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","Latino or Hispanic","Pass"
"116","116","BradleyUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female",NA,"Fail"
"118","118","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"123","13","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"124","14","BradleyUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"129","19","BradleyUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"130","2","BradleyUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"133","22","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"136","25","BradleyUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"141","3","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino",NA
"143","31","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"144","32","BradleyUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","Other","Fail"
"146","34","BradleyUniversity","object-centric","Ego-Consistent","Yes","20","Sophomore","Female","Asian-American","Fail"
"149","37","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","21","Senior","Female","White, non-Hispanic or latino","Pass"
"150","38","BradleyUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"151","39","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"152","4","BradleyUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"156","43","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"157","44","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"158","45","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"159","46","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"162","49","BradleyUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"164","50","BradleyUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","Multiracial","Fail"
"166","52","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"169","55","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","African-American","Pass"
"170","56","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"171","57","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"176","61","BradleyUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"177","62","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes",NA,"First-year","Female","Latino or Hispanic","Pass"
"178","63","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"179","64","BradleyUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"182","67","BradleyUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"183","68","BradleyUniversity","ego-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Fail"
"185","7","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"186","70","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"189","73","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"190","74","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","21","Senior","Male","White, non-Hispanic or latino","Pass"
"191","75","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"196","8","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"197","80","BradleyUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore",NA,"Multiracial","Pass"
"202","85","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"203","86","BradleyUniversity","ego-centric","Ego-Consistent","Yes","21","Senior","Female","African-American","Pass"
"205","88","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"207","9","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Male","Other","Fail"
"209","91","BradleyUniversity","ego-centric","Ego-Consistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Pass"
"210","92","BradleyUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"211","93","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"212","94","BradleyUniversity","object-centric","Ego-Inconsistent","Yes","21","Senior","Female","White, non-Hispanic or latino","Pass"
"215","97","BradleyUniversity","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"216","98","BradleyUniversity","ego-centric","Ego-Consistent","Yes","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"217","99","BradleyUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Multiracial","Pass"
