"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"3224","1","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"3225","10","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3228","13","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","34","Junior","Female","African-American","Pass"
"3229","14","UniversityOfSouthernMississippi","ego-centric","Ego-Inconsistent","Yes","39","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3230","15","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","21","Senior","Male","White, non-Hispanic or latino","Fail"
"3234","19","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3235","2","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Pass"
"3238","22","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","24","Senior","Female","African-American","Fail"
"3241","25","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","21","Junior","Female","White, non-Hispanic or latino","Pass"
"3243","27","UniversityOfSouthernMississippi","object-centric","Ego-Inconsistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Pass"
"3248","32","UniversityOfSouthernMississippi","ego-centric","Ego-Inconsistent","Yes","23","Senior","Female","African-American","Fail"
"3249","33","UniversityOfSouthernMississippi","object-centric","Ego-Inconsistent","Yes","23","Senior","Female","Asian-American","Pass"
"3255","39","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","22","Senior","Female","White, non-Hispanic or latino","Fail"
"3257","40","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"3262","46","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","32","Senior","Female","White, non-Hispanic or latino","Fail"
"3265","49","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","20","Sophomore","Female","African-American","Pass"
"3268","51","UniversityOfSouthernMississippi","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"3269","52","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Fail"
"3272","55","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","22","Senior","Male","White, non-Hispanic or latino","Fail"
"3273","56","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","20","Junior","Female","African-American","Pass"
"3275","58","UniversityOfSouthernMississippi","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","African-American","Pass"
"3279","61","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","22","Junior","Female","African-American","Fail"
"3280","62","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"3285","67","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","19","First-year","Female","African-American","Fail"
"3286","68","UniversityOfSouthernMississippi","ego-centric","Ego-Inconsistent","Yes","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3288","7","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","21","Senior","Male","White, non-Hispanic or latino","Pass"
"3292","73","UniversityOfSouthernMississippi","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3294","75","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","20","Sophomore","Female","African-American","Fail"
"3295","76","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","19","First-year","Female","African-American","Pass"
"3298","79","UniversityOfSouthernMississippi","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3299","8","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3300","80","UniversityOfSouthernMississippi","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"3302","82","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","22","Other","Female","African-American","Pass"
"3305","85","UniversityOfSouthernMississippi","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Multiracial","Pass"
"3306","86","UniversityOfSouthernMississippi","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3307","87","UniversityOfSouthernMississippi","object-centric","Ego-Consistent","Yes","22","Sophomore","Female","African-American","Fail"
"3308","88","UniversityOfSouthernMississippi","object-centric","Ego-Inconsistent","Yes","20","Sophomore","Female","African-American","Pass"
"3310","9","UniversityOfSouthernMississippi","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3312","91","UniversityOfSouthernMississippi","ego-centric","Ego-Inconsistent","Yes","23","Junior","Female","African-American","Fail"
