"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"2179","1","PennStateAbington","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2180","10","PennStateAbington","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2187","106","PennStateAbington","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"2192","110","PennStateAbington","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2193","111","PennStateAbington","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2194","112","PennStateAbington","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"2195","113","PennStateAbington","object-centric","Ego-Consistent","Yes","18","First-year","Female","Other","Fail"
"2198","116","PennStateAbington","ego-centric","Ego-Inconsistent","Yes","21","Junior","Female","African-American","Fail"
"2205","13","PennStateAbington","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2206","14","PennStateAbington","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2207","15","PennStateAbington","object-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Pass"
"2208","16","PennStateAbington","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2210","19","PennStateAbington","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2212","20","PennStateAbington","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2213","21","PennStateAbington","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","Multiracial","Pass"
"2214","22","PennStateAbington","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2217","25","PennStateAbington","ego-centric","Ego-Consistent","Yes","21","Junior","Female","White, non-Hispanic or latino","Fail"
"2218","26","PennStateAbington","ego-centric","Ego-Consistent","Yes","21","Senior","Female","Multiracial","Pass"
"2219","27","PennStateAbington","object-centric","Ego-Inconsistent","Yes","17","First-year","Female","White, non-Hispanic or latino","Fail"
