"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"2680","103","UCDavis","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2681","104","UCDavis","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2682","105","UCDavis","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Other","Pass"
"2683","106","UCDavis","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Latino or Hispanic","Fail"
"2686","109","UCDavis","ego-centric","Ego-Consistent","Yes","21","Senior","Female","White, non-Hispanic or latino","Pass"
"2693","115","UCDavis","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","Native American and Alaska Native","Pass"
"2694","116","UCDavis","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","Asian-American","Pass"
"2695","117","UCDavis","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Asian-American","Fail"
"2696","118","UCDavis","object-centric","Ego-Consistent","Yes","21","Junior","Female","Native Hawaiian and other Pacific Islander","Pass"
"2700","13","UCDavis","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Multiracial","Pass"
"2701","14","UCDavis","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2702","15","UCDavis","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"2703","16","UCDavis","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","Asian-American","Pass"
"2706","19","UCDavis","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2707","2","UCDavis","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2709","21","UCDavis","object-centric","Ego-Inconsistent","Yes","20","Junior","Female","Multiracial","Fail"
"2710","22","UCDavis","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Asian-American","Fail"
"2714","25","UCDavis","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2715","26","UCDavis","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
