"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"1906","1","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"1907","10","OSUNewark","object-centric","Ego-Inconsistent","Yes",NA,"First-year","Female","White, non-Hispanic or latino","Pass"
"1911","103","OSUNewark","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"1912","104","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"1913","105","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"1917","109","OSUNewark","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1919","110","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1921","112","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1924","115","OSUNewark","ego-centric","Ego-Consistent","Yes","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"1925","116","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1926","117","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Male","Other","Fail"
"1932","122","OSUNewark","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1933","123","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"1934","124","OSUNewark","object-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Pass"
"1944","133","OSUNewark","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","African-American","Fail"
"1945","134","OSUNewark","ego-centric","Ego-Inconsistent","Yes","19",NA,"Male","White, non-Hispanic or latino","Fail"
"1946","136","OSUNewark","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"1950","14","OSUNewark","ego-centric","Ego-Consistent","Yes",NA,"Junior","Female","Asian-American","Fail"
"1951","140","OSUNewark","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"1952","141","OSUNewark","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"1953","142","OSUNewark","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
