"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"1","10","AshlandUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"4","13","AshlandUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"5","14","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"7","16","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"10","19","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"11","20","AshlandUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"12","21","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","20","Sophomore","Female","Other","Fail"
"13","22","AshlandUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"16","25","AshlandUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"17","26","AshlandUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"18","27","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"22","31","AshlandUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"23","32","AshlandUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"24","33","AshlandUniversity","object-centric","Ego-Consistent","Yes","18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"25","34","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"28","37","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"29","38","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"31","40","AshlandUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"34","43","AshlandUniversity","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","Other","Pass"
"35","44","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"36","45","AshlandUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"40","49","AshlandUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"41","50","AshlandUniversity","ego-centric","Ego-Consistent","Yes","20","Senior","Female","White, non-Hispanic or latino","Fail"
"42","51","AshlandUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"43","52","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"46","55","AshlandUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"47","56","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"48","57","AshlandUniversity","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"52","61","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Fail"
"54","63","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"58","67","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"65","73","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"66","74","AshlandUniversity","ego-centric","Ego-Consistent","Yes","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"67","75","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"68","76","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"71","79","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"72","8","AshlandUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"73","80","AshlandUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","African-American","Fail"
"75","82","AshlandUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"78","85","AshlandUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"79","86","AshlandUniversity","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"81","88","AshlandUniversity","object-centric","Ego-Inconsistent","Yes","26","Junior","Female","White, non-Hispanic or latino","Fail"
"83","9","AshlandUniversity","object-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Fail"
"85","91","AshlandUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","African-American","Pass"
