"","lab","r","n","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","N","recruitment.methods","researcher","insitution","location","Country","USAorNot","CarnegieID","SIZESET2018","BASIC2018","IPUG2018","ENRPROFILE2018","SECTOR","OBEREG","LOCALE","HIS","MSI","ACTCAT"
"1","acgreece",0.134018815376764,63,-0.117652902827677,0.369514068464274,0.939393939393939,0.0302910195875385,TRUE,0.888,500,63,"","Eleni Vousoura","American College of Greece","Athens, Greece","Greece","NotUSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","adamsstate",0.0158600503591995,146,-0.146966985988604,0.177850214819919,0.757575757575758,0.0336362951292737,TRUE,0.942,500,147,"email invitations","Leslie Cramblet Alvarez","Adams State University","Colorado, USA","USA","USA",126182,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Majority undergraduate","Public, 4-year or above","Rocky Mountains CO ID MT UT WY","Town Remote","Yes","Yes","Inclusive"
"3","ballstate",0.248861920141441,26,-0.153264255802819,0.580276828173225,0.939393939393939,0.0303345774844872,TRUE,0.816,500,26,"posted on social media","Scott Hall","Ball State University","IN, USA","USA","USA",150136,"Four-year, large, primarily residential","Doctoral Universities: High Research Activity","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Public, 4-year or above","Great Lakes IL IN MI OH WI","City Small","No","No","Selective"
"4","bradley",0.060164472798188,102,-0.135900525422413,0.251694424200674,0.909090909090909,0.0317606847067675,TRUE,0.93,500,102,"posted on social media","Anthony Hermann","Bradley University","Peoria IL","USA","USA",143358,"Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","City Midsize","No","No","More selective"
"5","depauw",-0.0131786384193857,85,-0.225668888485036,0.200508610090814,0.818181818181818,0.0339278077369205,TRUE,0.902,500,86,"institution participant pool","Susanne Biehle","DePauw University","Greencastle, IN","USA","USA",150400,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Great Lakes IL IN MI OH WI","Town Distant","No","No","More selective"
"6","GeorgiaGwinett",-0.012046017501806,92,-0.216329685535799,0.193248174968876,0.787878787878788,0.0340151063793936,TRUE,0.938,500,93,"institution participant pool","Matt Schmolesky","Georgia Gwinnett College","Lawrenceville GA","USA","USA",447689,"Four-year, medium, primarily nonresidential","Baccalaureate Colleges: Diverse Fields","Balanced arts & sciences/professions, no graduate coexistence","Exclusively undergraduate four-year","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","Suburb Large","No","No","Inclusive"
"7","gettysburg",0.238191416264094,38,-0.0882086606123129,0.518400717858859,0.878787878787879,0.0294774874086373,TRUE,0.756,500,38,"email invitations","Christopher Barlett","Gettysburg College","PA, USA","USA","USA",212674,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Exclusively undergraduate four-year","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","City Small","No","No","Inclusive"
"8","juniata",-0.0336012544619135,147,-0.194436841191992,0.128993735597526,0.696969696969697,0.0357932839407651,TRUE,0.896,500,147,"institution participant pool","Kathryn Westcott","Juniata College","Huntingdon, PA USA","USA","USA",213251,"Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Balanced arts & sciences/professions, some graduate coexistence","Very high undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Town Distant","No","No","Inclusive"
"9","mcdaniel",-0.0740071491308706,73,-0.298983742671412,0.158763331400228,0.727272727272727,0.0350665174098165,TRUE,0.86,500,73,"institution participant pool, email invitations","Holly M. Chalk","McDaniel College","Westminster, MD","USA","USA",164270,"Four-year, small, highly residential","Master's Colleges & Universities: Larger Programs","Arts & sciences plus professions, no graduate coexistence","High undergraduate","Private not-for-profit, 4-year or above","Mid East DE DC MD NJ NY PA","Suburb Small","No","No","Selective"
"10","memphis",0.233163985301374,24,-0.187906782537222,0.581834726140275,0.939393939393939,0.0306849143083449,TRUE,0.84,500,24,"email invitations","Chia-chen Yang","University of Memphis","TN, USA","USA","USA",220862,"Four-year, large, primarily nonresidential","Doctoral Universities: High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","High undergraduate","Public, 4-year or above","Southeast AL AR FL GA KY LA MS NC SC TN VA WV","City Large","No","No","Selective"
