study.labels,source.Source,loc,dens,offset,offset_dens,offset_fix,offset_densN,tsize,relSize
"Actions are Choices (Savani et al., 2010)",amity,-0.01426,0.312888324878153,0,0.312888324878153,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",amityon,-0.00656,0.280579045952025,0,0.280579045952025,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",armstrong,-0.05352,0.421619141029622,0,0.421619141029622,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",aus2,-0.10525,0.435495684131488,0,0.435495684131488,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",bogota,-0.06954,0.442736212494078,0,0.442736212494078,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",brookcuny,-0.07985,0.449222545198671,0,0.449222545198671,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",carleton,-0.11955,0.410888261169141,0,0.410888261169141,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",cas,0.066,0.0504712030945155,0,0.0504712030945155,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",csunorthonline,-0.06274,0.435259103582627,0,0.435259103582627,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",fmkbelgrade,-0.16531,0.322724443202617,0,0.322724443202617,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",georgefox,-0.20992,0.276461817708494,0,0.276461817708494,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",hawaiion,-0.25764,0.136242046359736,0,0.136242046359736,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",help,-0.08573,0.44994026600759,0,0.44994026600759,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",isb,-0.01638,0.321250363933317,0,0.321250363933317,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",jmu,-0.19343,0.296483597881862,0,0.296483597881862,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",kenyon,-0.01462,0.314329137383275,0,0.314329137383275,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",krakowon,-0.03679,0.38664145929438,0,0.38664145929438,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",kwazulu,-0.21199,0.272865689224284,0,0.272865689224284,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",louvain,-0.16692,0.320705122712078,0,0.320705122712078,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",loyola,-0.1419,0.36308006540879,0,0.36308006540879,0.2,3,2,0.5
"Actions are Choices (Savani et al., 2010)",lse,-0.13749,0.372444590812593,0,0.372444590812593,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",mcdanielonline,-0.17416,0.312760122423948,0,0.312760122423948,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",metu,-0.10228,0.439301329556827,0,0.439301329556827,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",moralsense,-0.05289,0.420546377700307,0,0.420546377700307,0.2,3,2,0.5
"Actions are Choices (Savani et al., 2010)",mturk,-0.04042,0.395481186212975,0,0.395481186212975,0.2,3,2,0.5
"Actions are Choices (Savani et al., 2010)",mturk_india,-0.03876,0.391525007617149,0,0.391525007617149,0.2,3,2,0.5
"Actions are Choices (Savani et al., 2010)",munich,-0.02247,0.343687609692999,0,0.343687609692999,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",northumbria,0.03231,0.121226395083088,0,0.121226395083088,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",osnabruck,-0.09318,0.447461280256937,0,0.447461280256937,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",ouhk,-0.06958,0.442772673737347,0,0.442772673737347,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",padua,-0.12935,0.390193786571985,0,0.390193786571985,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",pascal,-0.12768,0.393823659911954,0,0.393823659911954,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",psualtoona,-0.13576,0.376192141816376,0,0.376192141816376,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",puc,-0.11202,0.42499700291331,0,0.42499700291331,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",queensland2,-0.07944,0.449092978857297,0,0.449092978857297,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",ritonline,-0.26656,0.107344006281005,0,0.107344006281005,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",rotterdam,-0.09207,0.448071057420812,0,0.448071057420812,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",salford,-0.07787,0.44848196521121,0,0.44848196521121,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",seznam,-0.02296,0.34538453330996,0,0.34538453330996,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",seznamon,-0.07068,0.443750175923329,0,0.443750175923329,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",simmons,-0.1048,0.436109142438205,0,0.436109142438205,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",swps,-0.01665,0.322294255388333,0,0.322294255388333,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",tamu,-0.21038,0.275694301189206,0,0.275694301189206,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",tamucc,-0.22523,0.242875521537153,0,0.242875521537153,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",tanzania,0.02071,0.16184987554427,0,0.16184987554427,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",tilburg,-0.16612,0.321692131605627,0,0.321692131605627,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",tilburgcaf,-0.10629,0.434045802913499,0,0.434045802913499,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",ulatina,-0.20017,0.289843747784321,0,0.289843747784321,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",umich,-0.2006,0.289356561056926,0,0.289356561056926,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",uned,-0.23605,0.210265019209398,0,0.210265019209398,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",unswonline,-0.16311,0.325648673780987,0,0.325648673780987,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",vcu,-0.05951,0.430917178070112,0,0.430917178070112,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",vuw,-0.21626,0.26453651897473,0,0.26453651897473,0.2,1,2,0.166666666666667
"Actions are Choices (Savani et al., 2010)",westernkentucky,-0.22917,0.231711947157461,0,0.231711947157461,0.2,2,2,0.333333333333333
"Actions are Choices (Savani et al., 2010)",yale,-0.01438,0.313368595713194,0,0.313368595713194,0.2,3,2,0.5
"Affect & Risk (Rottenstreich & Hsee, 2001)",aus,-0.16772,0.248218449789506,1,1.24821844978951,1.2,2,3,1.33333333333333
"Affect & Risk (Rottenstreich & Hsee, 2001)",badaniaon,-0.17248,0.239631043590311,1,1.23963104359031,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",bc,0.05443,0.337308108904553,1,1.33730810890455,1.2,1,3,1.16666666666667
"Affect & Risk (Rottenstreich & Hsee, 2001)",bilgi,0.00718,0.446811598059378,1,1.44681159805938,1.2,2,3,1.33333333333333
