"","session_id","referrer","scalesgroup","scales"
"289",2457210,"conncoll","low category scale","less than 2 1/2 hrs"
"290",2457211,"conncoll","low category scale","less than 2 1/2 hrs"
"291",2457212,"conncoll","high category scale","less than 2 1/2 hrs"
"293",2457219,"conncoll","low category scale","less than 2 1/2 hrs"
"294",2457222,"conncoll","low category scale","less than 2 1/2 hrs"
"295",2457223,"conncoll","high category scale","less than 2 1/2 hrs"
"296",2457225,"conncoll","high category scale","less than 2 1/2 hrs"
"297",2457226,"conncoll","low category scale","less than 2 1/2 hrs"
"298",2457230,"conncoll","low category scale","less than 2 1/2 hrs"
"299",2457231,"conncoll","high category scale","less than 2 1/2 hrs"
"300",2457233,"conncoll","high category scale","less than 2 1/2 hrs"
"301",2457237,"conncoll","low category scale","less than 2 1/2 hrs"
"302",2457239,"conncoll","high category scale","less than 2 1/2 hrs"
"303",2457241,"conncoll","high category scale","more than 2 1/2 hrs"
"304",2457242,"conncoll","high category scale","less than 2 1/2 hrs"
"305",2457247,"conncoll","high category scale","more than 2 1/2 hrs"
"306",2457266,"conncoll","low category scale","less than 2 1/2 hrs"
"307",2457376,"conncoll","high category scale","less than 2 1/2 hrs"
"308",2457377,"conncoll","high category scale","less than 2 1/2 hrs"
"309",2457395,"conncoll","high category scale","more than 2 1/2 hrs"
"310",2457410,"conncoll","high category scale","less than 2 1/2 hrs"
"311",2457483,"conncoll","low category scale","less than 2 1/2 hrs"
"312",2457484,"conncoll","low category scale","less than 2 1/2 hrs"
"313",2457485,"conncoll","high category scale","less than 2 1/2 hrs"
"315",2457487,"conncoll","high category scale","less than 2 1/2 hrs"
"316",2457489,"conncoll","low category scale","less than 2 1/2 hrs"
"317",2457490,"conncoll","low category scale","less than 2 1/2 hrs"
"318",2457492,"conncoll","high category scale","less than 2 1/2 hrs"
"319",2457497,"conncoll","high category scale","less than 2 1/2 hrs"
"320",2457498,"conncoll","low category scale","less than 2 1/2 hrs"
"321",2457706,"conncoll","low category scale","less than 2 1/2 hrs"
"324",2457723,"conncoll","low category scale","less than 2 1/2 hrs"
"325",2457724,"conncoll","low category scale","less than 2 1/2 hrs"
"326",2457725,"conncoll","low category scale","less than 2 1/2 hrs"
"327",2457726,"conncoll","low category scale","less than 2 1/2 hrs"
"328",2457727,"conncoll","high category scale","less than 2 1/2 hrs"
"329",2457728,"conncoll","low category scale","less than 2 1/2 hrs"
"330",2457730,"conncoll","low category scale","less than 2 1/2 hrs"
"331",2457731,"conncoll","high category scale","less than 2 1/2 hrs"
"333",2457733,"conncoll","high category scale","less than 2 1/2 hrs"
"334",2457734,"conncoll","low category scale","less than 2 1/2 hrs"
"335",2457735,"conncoll","low category scale","less than 2 1/2 hrs"
"337",2457737,"conncoll","low category scale","less than 2 1/2 hrs"
"338",2457738,"conncoll","low category scale","less than 2 1/2 hrs"
"339",2459368,"conncoll","low category scale","less than 2 1/2 hrs"
"340",2459414,"conncoll","high category scale","less than 2 1/2 hrs"
"341",2459417,"conncoll","low category scale","less than 2 1/2 hrs"
"342",2459418,"conncoll","low category scale","less than 2 1/2 hrs"
"343",2459420,"conncoll","low category scale","less than 2 1/2 hrs"
"344",2459421,"conncoll","low category scale","less than 2 1/2 hrs"
"345",2459422,"conncoll","high category scale","less than 2 1/2 hrs"
"346",2459423,"conncoll","low category scale","less than 2 1/2 hrs"
"347",2459425,"conncoll","high category scale","less than 2 1/2 hrs"
"348",2459427,"conncoll","high category scale","less than 2 1/2 hrs"
"349",2459429,"conncoll","low category scale","less than 2 1/2 hrs"
"351",2459434,"conncoll","high category scale","less than 2 1/2 hrs"
"352",2459436,"conncoll","low category scale","less than 2 1/2 hrs"
"353",2459439,"conncoll","low category scale","less than 2 1/2 hrs"
"354",2459458,"conncoll","high category scale","less than 2 1/2 hrs"
"355",2459547,"conncoll","low category scale","less than 2 1/2 hrs"
"356",2459550,"conncoll","high category scale","less than 2 1/2 hrs"
"357",2459551,"conncoll","high category scale","less than 2 1/2 hrs"
"358",2459553,"conncoll","high category scale","less than 2 1/2 hrs"
"359",2459554,"conncoll","low category scale","less than 2 1/2 hrs"
"360",2459555,"conncoll","high category scale","less than 2 1/2 hrs"
"361",2459556,"conncoll","high category scale","less than 2 1/2 hrs"
"362",2459557,"conncoll","high category scale","less than 2 1/2 hrs"
"363",2459558,"conncoll","high category scale","less than 2 1/2 hrs"
"365",2459562,"conncoll","high category scale","less than 2 1/2 hrs"
"366",2459567,"conncoll","high category scale","less than 2 1/2 hrs"
"367",2459568,"conncoll","high category scale","less than 2 1/2 hrs"
"369",2459709,"conncoll","low category scale","less than 2 1/2 hrs"
"370",2459710,"conncoll","low category scale","less than 2 1/2 hrs"
"371",2459711,"conncoll","high category scale","less than 2 1/2 hrs"
"372",2459712,"conncoll","high category scale","less than 2 1/2 hrs"
"373",2459714,"conncoll","low category scale","less than 2 1/2 hrs"
"374",2459715,"conncoll","high category scale","less than 2 1/2 hrs"
"375",2459716,"conncoll","high category scale","less than 2 1/2 hrs"
"376",2459718,"conncoll","low category scale","less than 2 1/2 hrs"
"377",2459720,"conncoll","low category scale","less than 2 1/2 hrs"
"378",2459721,"conncoll","low category scale","less than 2 1/2 hrs"
"379",2459722,"conncoll","high category scale","less than 2 1/2 hrs"
"380",2459723,"conncoll","high category scale","more than 2 1/2 hrs"
"381",2459724,"conncoll","high category scale","less than 2 1/2 hrs"
"382",2459727,"conncoll","high category scale","less than 2 1/2 hrs"
"383",2459730,"conncoll","low category scale","less than 2 1/2 hrs"
