"","session_id","referrer","scalesgroup","scales"
"1348",2451767,"luc","high category scale","more than 2 1/2 hrs"
"1349",2451771,"luc","high category scale","less than 2 1/2 hrs"
"1350",2451779,"luc","low category scale","less than 2 1/2 hrs"
"1351",2451792,"luc","low category scale","less than 2 1/2 hrs"
"1353",2452090,"luc","high category scale","less than 2 1/2 hrs"
"1354",2452092,"luc","low category scale","less than 2 1/2 hrs"
"1356",2452100,"luc","low category scale","less than 2 1/2 hrs"
"1357",2452275,"luc","low category scale","less than 2 1/2 hrs"
"1358",2452282,"luc","low category scale","less than 2 1/2 hrs"
"1359",2452290,"luc","high category scale","less than 2 1/2 hrs"
"1360",2452295,"luc","low category scale","less than 2 1/2 hrs"
"1362",2452390,"luc","low category scale","less than 2 1/2 hrs"
"1363",2452391,"luc","low category scale","less than 2 1/2 hrs"
"1364",2452392,"luc","low category scale","less than 2 1/2 hrs"
"1365",2452399,"luc","high category scale","less than 2 1/2 hrs"
"1366",2452769,"luc","low category scale","less than 2 1/2 hrs"
"1367",2452772,"luc","low category scale","less than 2 1/2 hrs"
"1368",2452776,"luc","high category scale","less than 2 1/2 hrs"
"1369",2452780,"luc","low category scale","less than 2 1/2 hrs"
"1370",2452782,"luc","high category scale","more than 2 1/2 hrs"
"1371",2452877,"luc","high category scale","less than 2 1/2 hrs"
"1372",2452890,"luc","high category scale","more than 2 1/2 hrs"
"1373",2456872,"luc","high category scale","less than 2 1/2 hrs"
"1374",2456978,"luc","low category scale","more than 2 1/2 hrs"
"1375",2457300,"luc","high category scale","less than 2 1/2 hrs"
"1376",2457542,"luc","high category scale","less than 2 1/2 hrs"
"1377",2458634,"luc","low category scale","less than 2 1/2 hrs"
"1378",2458720,"luc","high category scale","less than 2 1/2 hrs"
"1380",2459311,"luc","low category scale","less than 2 1/2 hrs"
"1381",2459317,"luc","high category scale","less than 2 1/2 hrs"
"1382",2459322,"luc","high category scale","more than 2 1/2 hrs"
"1383",2461808,"luc","low category scale","less than 2 1/2 hrs"
"1384",2462172,"luc","high category scale","less than 2 1/2 hrs"
"1385",2462453,"luc","low category scale","less than 2 1/2 hrs"
"1387",2465954,"luc","low category scale","less than 2 1/2 hrs"
"1388",2466179,"luc","low category scale","less than 2 1/2 hrs"
"1389",2466185,"luc","high category scale","more than 2 1/2 hrs"
"1390",2466187,"luc","low category scale","less than 2 1/2 hrs"
"1391",2466456,"luc","high category scale","less than 2 1/2 hrs"
"1392",2466507,"luc","high category scale","more than 2 1/2 hrs"
"1393",2466516,"luc","low category scale","less than 2 1/2 hrs"
"1395",2466528,"luc","high category scale","less than 2 1/2 hrs"
"1396",2466602,"luc","low category scale","less than 2 1/2 hrs"
"1398",2466618,"luc","high category scale","less than 2 1/2 hrs"
"1400",2467761,"luc","low category scale","less than 2 1/2 hrs"
"1401",2467845,"luc","low category scale","less than 2 1/2 hrs"
"1402",2467850,"luc","high category scale","less than 2 1/2 hrs"
"1403",2467851,"luc","high category scale","less than 2 1/2 hrs"
"1405",2468035,"luc","high category scale","less than 2 1/2 hrs"
"1408",2468405,"luc","low category scale","less than 2 1/2 hrs"
"1409",2468407,"luc","low category scale","less than 2 1/2 hrs"
"1410",2468495,"luc","low category scale","less than 2 1/2 hrs"
"1411",2468500,"luc","high category scale","less than 2 1/2 hrs"
"1412",2468578,"luc","low category scale","less than 2 1/2 hrs"
"1413",2468580,"luc","low category scale","less than 2 1/2 hrs"
"1414",2469734,"luc","low category scale","less than 2 1/2 hrs"
"1415",2469736,"luc","high category scale","less than 2 1/2 hrs"
"1416",2470219,"luc","low category scale","less than 2 1/2 hrs"
"1417",2470513,"luc","high category scale","less than 2 1/2 hrs"
"1420",2470662,"luc","low category scale","less than 2 1/2 hrs"
"1421",2470667,"luc","high category scale","less than 2 1/2 hrs"
"1422",2470690,"luc","high category scale","less than 2 1/2 hrs"
"1424",2470917,"luc","low category scale","less than 2 1/2 hrs"
"1425",2471871,"luc","high category scale","less than 2 1/2 hrs"
"1426",2472160,"luc","low category scale","less than 2 1/2 hrs"
"1427",2472634,"luc","low category scale","less than 2 1/2 hrs"
"1428",2472639,"luc","low category scale","less than 2 1/2 hrs"
"1429",2472648,"luc","high category scale","more than 2 1/2 hrs"
"1430",2472651,"luc","high category scale","less than 2 1/2 hrs"
"1431",2472658,"luc","low category scale","less than 2 1/2 hrs"
"1432",2472667,"luc","high category scale","less than 2 1/2 hrs"
"1433",2472724,"luc","low category scale","less than 2 1/2 hrs"
"1434",2472803,"luc","high category scale","less than 2 1/2 hrs"
"1435",2472847,"luc","low category scale","less than 2 1/2 hrs"
"1436",2472871,"luc","high category scale","less than 2 1/2 hrs"
"1437",2473592,"luc","low category scale","less than 2 1/2 hrs"
"1438",2473867,"luc","low category scale","less than 2 1/2 hrs"
"1441",2474074,"luc","high category scale","less than 2 1/2 hrs"
"1442",2474078,"luc","low category scale","less than 2 1/2 hrs"
"1443",2474085,"luc","high category scale","less than 2 1/2 hrs"
"1444",2474087,"luc","low category scale","less than 2 1/2 hrs"
"1445",2474142,"luc","high category scale","less than 2 1/2 hrs"
"1446",2474145,"luc","high category scale","less than 2 1/2 hrs"
"1447",2482189,"luc","high category scale","less than 2 1/2 hrs"
"1448",2482407,"luc","low category scale","less than 2 1/2 hrs"
"1449",2482414,"luc","low category scale","less than 2 1/2 hrs"
"1450",2482597,"luc","low category scale","less than 2 1/2 hrs"
"1451",2482607,"luc","high category scale","more than 2 1/2 hrs"
"1452",2482937,"luc","high category scale","less than 2 1/2 hrs"
"1453",2482938,"luc","high category scale","less than 2 1/2 hrs"
"1454",2482939,"luc","low category scale","less than 2 1/2 hrs"
"1455",2482940,"luc","low category scale","less than 2 1/2 hrs"
"1456",2482943,"luc","low category scale","less than 2 1/2 hrs"
"1457",2482948,"luc","high category scale","less than 2 1/2 hrs"
"1459",2483016,"luc","low category scale","less than 2 1/2 hrs"
"1460",2483025,"luc","low category scale","less than 2 1/2 hrs"
"1461",2485100,"luc","high category scale","less than 2 1/2 hrs"
"1462",2485116,"luc","low category scale","less than 2 1/2 hrs"
"1463",2485124,"luc","low category scale","less than 2 1/2 hrs"
"1464",2485126,"luc","low category scale","less than 2 1/2 hrs"
"1465",2485131,"luc","low category scale","less than 2 1/2 hrs"
"1466",2485209,"luc","high category scale","more than 2 1/2 hrs"
"1467",2485211,"luc","high category scale","less than 2 1/2 hrs"
"1468",2485214,"luc","high category scale","less than 2 1/2 hrs"
"1469",2485217,"luc","high category scale","less than 2 1/2 hrs"
"1470",2485220,"luc","high category scale","less than 2 1/2 hrs"
"1471",2485330,"luc","high category scale","less than 2 1/2 hrs"
"1472",2485341,"luc","high category scale","less than 2 1/2 hrs"
"1473",2485430,"luc","high category scale","less than 2 1/2 hrs"
"1474",2486251,"luc","low category scale","less than 2 1/2 hrs"
"1475",2486475,"luc","low category scale","less than 2 1/2 hrs"
"1476",2486827,"luc","low category scale","less than 2 1/2 hrs"
"1477",2487052,"luc","high category scale","less than 2 1/2 hrs"
"1478",2487127,"luc","low category scale","less than 2 1/2 hrs"
"1479",2490201,"luc","low category scale","less than 2 1/2 hrs"
"1480",2490205,"luc","low category scale","less than 2 1/2 hrs"
"1481",2490444,"luc","high category scale","less than 2 1/2 hrs"
"1482",2490448,"luc","low category scale","less than 2 1/2 hrs"
"1483",2490694,"luc","high category scale","more than 2 1/2 hrs"
"1484",2490695,"luc","low category scale","less than 2 1/2 hrs"
"1485",2490700,"luc","high category scale","less than 2 1/2 hrs"
"1486",2491069,"luc","low category scale","less than 2 1/2 hrs"
"1487",2492314,"luc","low category scale","less than 2 1/2 hrs"
"1488",2492445,"luc","high category scale","less than 2 1/2 hrs"
"1492",2492867,"luc","low category scale","less than 2 1/2 hrs"
"1493",2492869,"luc","high category scale","less than 2 1/2 hrs"
